,unitedhealth_male,unitedhealth_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
55,-3.455613,-3.5887156,"('incompetent', 'clever')",1.6224542,1.0862597,-0.24612704,-0.35365736,-0.6930953,-0.9520377,0.2589424
46,-2.707145,-2.9969356,"('uncompetitive', 'competitive')",1.9721541,1.3323591,-0.88946533,-1.0583305,-0.5414854,-0.9076357,0.3661503
69,2.5989845,2.6768284,"('lazy', 'industrious')",0.24296135,0.5728855,-0.5179902,-0.23544598,0.7746519,1.004756,-0.2301041
10,-2.3042593,-2.3204908,"('unsympathetic', 'sympathetic')",0.900973,0.51571333,-0.21242177,-0.30619502,-0.5385693,-0.7036575,0.1650882
58,-2.0929387,-2.3893347,"('undiscriminating', 'discriminating')",0.6819299,0.3456574,0.15404062,0.16673249,-0.4189894,-0.6256483,0.2066589
45,-2.0160732,-2.2526078,"('incompetent', 'competent')",1.0596719,0.40628624,-0.4194732,-0.59724617,-0.4586248,-0.8145226,0.3558978
85,2.0098033,2.1929343,"('insignificant', 'prestigious')",-1.3978114,-0.87811875,0.72421664,1.286638,0.4454029,0.8671512,-0.4217483
59,1.9691972,2.1743386,"('foolish', 'wise')",-1.3536507,-0.80930036,0.5141723,0.7637516,0.3765729,0.7095966,-0.3330237
0,-1.9134653,-2.0048814,"('unsociable', 'sociable')",0.9589619,0.63944197,-0.7226446,-0.7268178,-0.5590493,-0.6974191,0.1383698
53,-1.8552552,-1.7352893,"('uncreative', 'creative')",-0.271356,-0.47137216,1.0359632,1.1312007,-0.3635494,-0.3584869,-0.0050625
82,-1.8459175,-1.9070518,"('poor', 'rich')",-0.5668735,-0.5736222,6.292023,6.0057626,1.2930774,1.1750295,0.1180479
35,1.7420479,1.8397336,"('corrupt', 'incorrupt')",-1.7515872,-1.3347986,0.26903945,0.5045849,0.0865001,0.3365066,-0.2500065
60,-1.7017702,-1.840001,"('inefficient', 'efficient')",2.2327247,1.714876,-0.3176227,-0.6373037,0.0711106,-0.2541429,0.3252535
86,-1.7010211,-1.7140527,"('uninfluential', 'influential')",0.5232009,0.14939237,-0.30581984,-0.45066613,-0.4945467,-0.6717755,0.1772288
62,-1.6913804,-1.8210886,"('incompetent', 'brilliant')",1.1310575,0.6665908,-0.10364595,-0.27549917,-0.2213229,-0.4766657,0.2553428
13,-1.661287,-1.6919237,"('impolite', 'polite')",0.60410744,0.17334744,-0.50474113,-0.65939134,-0.5206402,-0.7259892,0.205349
51,-1.6231128,-1.6818274,"('uneducated', 'educated')",0.8262488,0.6887704,0.3567539,0.22501296,-0.1467034,-0.2560147,0.1093113
57,-1.6221572,-1.7827755,"('unimaginative', 'imaginative')",0.15401877,-0.4866481,-2.5798554,-2.7244503,-1.3493312,-1.6646247,0.3152935
76,-1.6046841,-1.6589115,"('anxious', 'daring')",1.0171033,0.7118011,0.12674186,0.15309474,-0.153613,-0.2646719,0.1110589
6,1.6025302,1.9515684,"('distant', 'open')",-2.250437,-1.8423715,0.42102122,0.7848415,-0.0756285,0.2980128,-0.3736413
65,-1.5919223,-1.7608874,"('insecure', 'secure')",1.4890349,1.0869787,-0.26176488,-0.5060059,-0.1215508,-0.3933049,0.2717541
3,-1.583515,-1.5943401,"('repellent', 'pleasant')",0.9634917,0.7827504,0.33872318,0.11224214,-0.0937667,-0.2331158,0.1393491
79,1.5753644,1.6092093,"('wavering', 'unwavering')",-2.0626273,-1.8848535,0.24233197,0.22534238,-0.0816437,-0.0167673,-0.0648764
71,1.5650382,1.6489229,"('diffident', 'self-confident')",0.3913491,0.19948809,0.69141465,0.58860314,0.8826006,0.812338,0.0702626
70,-1.5267254,-1.5885438,"('lethargic', 'energetic')",1.0334644,0.67786115,0.69113594,0.50911367,0.0659583,-0.1338563,0.1998146
30,-1.5205047,-1.4755663,"('intolerant', 'tolerant')",0.1904861,0.13192461,0.9725626,1.0869402,-0.119152,-0.0855672,-0.0335848
14,-1.5186993,-1.8170459,"('antisocial', 'social')",2.0650651,1.4929203,-0.6204739,-0.8892934,-0.0247027,-0.404473,0.3797703
61,-1.4619668,-1.4905616,"('illogical', 'logical')",-0.20144519,-0.48062873,0.08510434,0.11138439,-0.5261025,-0.6199353,0.0938328
48,-1.3952768,-1.4205023,"('unintelligent', 'intelligent')",-0.10630888,-0.21038167,0.14874917,0.33461472,-0.4509455,-0.4320897,-0.0188558
21,-1.2736467,-1.3175541,"('immoral', 'moral')",0.7428277,0.6997454,-0.9774508,-0.9282903,-0.5027566,-0.5153663,0.0126097
11,-1.2080636,-1.2043233,"('unhelpful', 'helpful')",0.08396353,0.08179974,1.7576054,1.6543386,0.2111684,0.1772717,0.0338967
5,1.2041304,1.4645213,"('distant', 'outgoing')",-2.1757886,-1.8989275,-0.31276667,-0.08835286,-0.4281416,-0.174253,-0.2538886
68,-1.1711746,-1.253582,"('dependent', 'independent')",-0.24127936,-0.2775767,-0.6114453,-0.56971854,-0.6746331,-0.7002924,0.0256593
81,-1.1686649,-1.2152777,"('submissive', 'aggressive')",1.9538708,1.5387964,-0.83520305,-1.0403855,-0.0166657,-0.2389556,0.2222899
42,1.1180987,1.0216554,"('unreliable', 'reliable')",1.7607925,1.5551082,-2.9984932,-2.9201202,-0.0398673,-0.1144522,0.0745849
28,-1.1103168,-1.0454258,"('disloyal', 'loyal')",0.45768547,0.38260728,1.0196232,0.9349851,0.1223306,0.0907222,0.0316084
77,-1.0868967,-1.2405895,"('unmotivated', 'motivated')",0.6339485,0.22929925,-1.3959595,-1.5482644,-0.6163026,-0.8531849,0.2368823
33,1.0860182,1.238468,"('wrong', 'right')",-0.39800566,-0.25158608,-0.5173814,-0.30899662,0.056877,0.2259618,-0.1690848
39,1.0578306,1.0845144,"('exploitative', 'cooperative')",2.2447405,2.2167315,0.15874745,0.28794256,1.1537728,1.1963962,-0.0426234
43,-1.0212942,-1.0642047,"('irresponsible', 'responsible')",1.2186704,0.8703065,0.553426,0.35219663,0.2502674,0.0527661,0.1975013
22,-1.0166606,-1.1804233,"('untrustworthy', 'trustworthy')",1.153715,0.74338496,-1.0457792,-1.0376203,-0.3029083,-0.4915529,0.1886446
63,-0.9823238,-0.98050964,"('unperceptive', 'insightful')",1.683016,1.3147013,0.79705507,0.7526802,0.4992491,0.3622906,0.1369585
73,0.9769634,0.92848146,"('helpless', 'self-reliant')",-0.33356377,-0.008614976,-3.2158363,-3.11972,-0.8574789,-0.7332845,-0.1241944
8,-0.9386028,-0.67456806,"('unaffectionate', 'affectionate')",-0.6947579,-0.42857555,0.7399024,0.91565293,-0.2978194,-0.0624969,-0.2353225
12,0.93154347,0.9872446,"('unsupportive', 'supportive')",1.4824573,1.2919673,-1.8076223,-1.7181208,0.2021261,0.1870304,0.0150957
7,-0.9143729,-0.8924818,"('insensitive', 'sensitive')",0.3274417,0.059350766,0.7945388,0.67899036,0.0692025,-0.0513802,0.1205827
20,-0.88351506,-0.9519941,"('rough', 'thoughtful')",1.2280934,1.2054414,1.3359785,1.4388695,0.5601856,0.5641056,-0.00392
26,0.8414884,0.9602415,"('hardhearted', 'benevolent')",0.9051236,0.91757786,1.7146355,2.009565,1.1537491,1.2957948,-0.1420457
23,-0.81415874,-0.70911425,"('insincere', 'sincere')",0.18976887,0.09199762,5.9414005,5.7119265,1.772337,1.69827,0.074067
50,0.8107103,0.7893754,"('clumsy', 'skillful')",-0.3112977,-0.10069105,0.25458905,0.28760436,0.2513339,0.3254296,-0.0740957
40,0.74326396,0.8315183,"('stingy', 'generous')",0.5666318,0.6705335,-1.588526,-1.30171,-0.0928768,0.0667806,-0.1596574
44,0.7116595,0.64995915,"('prejudiced', 'unprejudiced')",-0.15385881,0.095031545,-1.0571599,-1.112139,-0.1664531,-0.1223828,-0.0440703
38,-0.679375,-0.72868204,"('untruthful', 'truthful')",-1.0723641,-1.0399809,-0.10062103,-0.064584196,-0.6174533,-0.6110824,-0.0063709
41,-0.6726993,-0.64070004,"('unforgiving', 'forgiving')",0.8239896,0.7844149,0.05199939,0.30814254,0.0677632,0.1506191,-0.0828559
31,0.66980004,0.8289133,"('evil', 'good')",-1.6405137,-1.2763808,-0.73501414,-0.4811465,-0.5685759,-0.309538,-0.2590379
32,0.6550446,0.76929384,"('unkind', 'kind')",1.3863063,1.46362,0.82040334,0.9332101,0.9539181,1.0553746,-0.1014565
15,0.60109806,0.6709918,"('boring', 'funny')",-1.3206052,-1.2629354,0.24672318,0.39882615,-0.1575946,-0.0643725,-0.0932221
67,0.5886272,0.61587447,"('doubtful', 'determined')",0.7358535,0.65484625,-0.87960356,-0.838204,0.1482924,0.1441722,0.0041202
24,-0.5206708,-0.3540142,"('dishonest', 'honest')",-0.3155941,-0.10533204,0.54261357,0.7199683,-0.0978838,0.086874,-0.1847578
