,us_male,us_female,tuple,bancorp_male,bancorp_female,del_male,del_female,average_male,average_female,male-female
35,-2.067264,-1.795675,"('corrupt', 'incorrupt')",0.4463648,0.56371695,-0.98478025,-0.938895,-0.8685598,-0.7236177,-0.1449421
62,2.0598803,1.810715,"('incompetent', 'brilliant')",0.16435875,0.10162629,0.78713435,0.77855456,1.0037912,0.8969653,0.1068259
11,2.0516582,1.7865138,"('unhelpful', 'helpful')",-0.44133168,-0.40710923,1.833642,1.8492303,1.1479895,1.0762116,0.0717779
36,-1.8974953,-1.8716916,"('hostile', 'amicable')",1.7895967,1.7090644,-0.8963448,-0.6895996,-0.3347478,-0.2840756,-0.0506722
85,-1.7709466,-1.616844,"('insignificant', 'prestigious')",1.1621203,1.0800714,-0.82082,-0.7891726,-0.4765488,-0.4419817,-0.0345671
56,1.7154486,1.4634159,"('impractical', 'practical')",-0.090535715,-0.1331836,0.49709946,0.3031088,0.7073375,0.544447,0.1628905
39,1.7039095,1.496788,"('exploitative', 'cooperative')",0.61038655,0.6351068,-0.23457947,-0.31578106,0.6932388,0.6053712,0.0878676
12,1.6870191,1.492486,"('unsupportive', 'supportive')",0.081175655,0.05859577,-1.2398511,-1.2221287,0.1761146,0.109651,0.0664636
60,1.598018,1.2963878,"('inefficient', 'efficient')",-0.5938572,-0.7032201,0.19271344,0.12462698,0.3989581,0.2392649,0.1596932
23,1.5677054,1.1141951,"('insincere', 'sincere')",0.2328308,0.13893676,6.4648805,6.1276565,2.755139,2.4602628,0.2948762
51,1.4877856,1.5611563,"('uneducated', 'educated')",-1.5082347,-1.4332328,0.3483559,0.33346832,0.1093022,0.1537973,-0.0444951
43,1.4719931,1.2474257,"('irresponsible', 'responsible')",-0.75681865,-0.79500955,0.7119693,0.66833764,0.4757146,0.3735846,0.10213
63,1.3603281,1.2394798,"('unperceptive', 'insightful')",0.417315,0.3039431,0.97965467,0.9579665,0.9190993,0.8337965,0.0853028
31,-1.2778143,-1.1742052,"('evil', 'good')",0.4739493,0.6035636,-0.734544,-0.60679805,-0.512803,-0.3924799,-0.1203231
42,1.2443705,1.2113533,"('unreliable', 'reliable')",0.21128494,0.3283409,-2.396851,-2.295998,-0.3137319,-0.2521013,-0.0616306
2,1.2123084,1.040878,"('unlikable', 'likable')",1.470144,1.3547045,0.62955964,0.7821096,1.1040041,1.0592308,0.0447733
74,1.1736046,1.247654,"('undedicated', 'dedicated')",-0.091831475,0.0043020695,0.09493146,-0.04812989,0.3922349,0.4012754,-0.0090405
38,1.1497798,0.9538141,"('untruthful', 'truthful')",1.0832611,1.0475072,0.14812821,0.06534751,0.793723,0.6888896,0.1048334
40,1.0525292,1.0195216,"('stingy', 'generous')",1.266238,1.3079245,-1.432105,-1.4821543,0.295554,0.2817639,0.0137901
21,1.0320207,0.97870755,"('immoral', 'moral')",-0.95312256,-0.9772709,-0.3865596,-0.23431322,-0.1025538,-0.0776255,-0.0249283
80,1.0287282,1.2842155,"('dominated', 'dominating')",-0.5146626,-0.37902117,-0.44403666,-0.40442422,0.023343,0.1669234,-0.1435804
5,-0.9738554,-1.0078409,"('distant', 'outgoing')",1.5106636,1.5304215,0.50699097,0.43362376,0.3479331,0.3187348,0.0291983
87,0.9708649,0.94811755,"('unsuccessful', 'successful')",0.8895782,0.9172578,0.62811375,0.6161959,0.829519,0.8271904,0.0023286
8,-0.9675975,-1.0649351,"('unaffectionate', 'affectionate')",0.21676011,0.12686698,1.1260253,1.236113,0.1250626,0.0993483,0.0257143
65,0.9058468,0.76283884,"('insecure', 'secure')",-0.5401267,-0.60498077,0.31131244,0.24550381,0.2256775,0.134454,0.0912235
32,0.8893231,0.720414,"('unkind', 'kind')",0.11397228,0.115043014,1.5612206,1.5732906,0.8548387,0.8029159,0.0519228
37,-0.88254774,-0.8975967,"('fake', 'genuine')",-1.669322,-1.6129241,0.34724608,0.5186011,-0.7348746,-0.6639733,-0.0709013
28,0.8706893,0.75935066,"('disloyal', 'loyal')",-0.48579305,-0.5197749,0.51543605,0.36056358,0.3001108,0.2000464,0.1000644
24,0.86785764,0.76311284,"('dishonest', 'honest')",-0.9087237,-0.7856835,1.5897048,1.7402049,0.5162795,0.5725447,-0.0562652
10,0.8596855,0.8977296,"('unsympathetic', 'sympathetic')",-2.2382863,-2.1598325,0.63757336,0.75115263,-0.2470092,-0.1703167,-0.0766925
88,-0.8464779,-0.5468026,"('low', 'eminent')",-1.5295802,-1.4190551,0.1011316,0.24708392,-0.7583088,-0.5729246,-0.1853842
70,0.8431879,0.81248033,"('lethargic', 'energetic')",-1.0942316,-1.0377702,1.1321906,1.0672297,0.2937156,0.2806466,0.013069
13,0.8392359,0.72866,"('impolite', 'polite')",-0.04578766,-0.004876077,-0.03245326,-0.04824976,0.253665,0.225178,0.028487
76,0.8346046,0.9335531,"('anxious', 'daring')",-0.48569193,-0.3478628,0.29171982,0.46934828,0.2135442,0.3516795,-0.1381353
30,0.83056474,0.7515984,"('intolerant', 'tolerant')",-0.797246,-0.7480439,0.51089305,0.51531684,0.1814039,0.1729571,0.0084468
81,0.82920307,0.8316398,"('submissive', 'aggressive')",-0.9302182,-1.0004864,-0.0283404,0.01677382,-0.0431185,-0.0506909,0.0075724
72,0.80729365,0.709787,"('unambitious', 'ambitious')",-0.39477754,-0.3384139,0.6179956,0.6773703,0.3435039,0.3495812,-0.0060773
9,0.8024995,0.48530105,"('unaffectionate', 'caring')",1.3163842,1.1697464,1.7051202,1.6919444,1.2746679,1.1156639,0.159004
73,0.7925528,0.94905347,"('helpless', 'self-reliant')",1.1758126,1.1454406,-3.3948243,-3.2553399,-0.4754863,-0.3869486,-0.0885377
6,-0.75922656,-0.83680993,"('distant', 'open')",1.3111054,1.2585157,0.777978,0.731639,0.4432856,0.3844483,0.0588373
61,0.74124736,0.57861406,"('illogical', 'logical')",0.64425707,0.58556175,0.10824205,0.082198076,0.4979155,0.4154579,0.0824576
46,0.70740217,0.42994356,"('uncompetitive', 'competitive')",-0.4654771,-0.65270585,-0.90388215,-1.1517707,-0.2206524,-0.4581776,0.2375252
71,0.69430995,0.56101906,"('diffident', 'self-confident')",1.4514873,1.4066757,0.7931346,0.75975364,0.979644,0.9091495,0.0704945
55,0.6858696,0.5705377,"('incompetent', 'clever')",-1.4796216,-1.6217903,0.11267994,0.11561155,-0.227024,-0.3118804,0.0848564
3,0.6847016,0.5222966,"('repellent', 'pleasant')",-0.61974573,-0.7007427,0.5868984,0.65502787,0.2172848,0.1588606,0.0584242
16,-0.6814692,-0.813743,"('unpopular', 'popular')",0.4065299,0.36060452,0.051906005,-0.026865277,-0.0743444,-0.1600012,0.0856568
27,0.6691273,0.49552518,"('hardhearted', 'softhearted')",-0.07798507,-0.031541552,1.6627303,1.570272,0.7512909,0.6780852,0.0732057
