,coca_male,coca_female,tuple,cola_male,cola_female,europacific_male,europacific_female,partners_male,partners_female,average_male,average_female,male-female
73,2.64975,2.4741654,"('helpless', 'self-reliant')",0.42667162,0.45313513,0.6822943,0.5995906,-3.8410618,-4.000503,-0.0205864,-0.118403,0.0978166
45,-1.993794,-1.4692389,"('incompetent', 'competent')",-0.47412372,-0.43966228,-0.5351977,-0.3382689,0.18752542,0.11636497,-0.7038975,-0.5327013,-0.1711962
85,1.6694387,1.6354209,"('insignificant', 'prestigious')",-0.4841967,-0.2778326,-0.2694853,-0.12860921,-0.6454508,-0.7282798,0.0675765,0.1251748,-0.0575983
3,-1.4695209,-1.41512,"('repellent', 'pleasant')",-0.6942929,-0.75730985,0.17719972,0.1774931,0.9185552,0.92147535,-0.2670147,-0.2683653,0.0013506
39,1.3880013,1.4296516,"('exploitative', 'cooperative')",1.5320553,1.5506078,1.2732537,1.2738446,1.2767576,1.1842605,1.367517,1.3595911,0.0079259
28,-1.3871918,-1.0833598,"('disloyal', 'loyal')",-0.27277583,-0.19845834,-0.7157641,-0.54592663,1.3506043,1.3278931,-0.2562819,-0.1249629,-0.131319
65,-1.1985558,-1.2038602,"('insecure', 'secure')",0.5815358,0.4400001,0.45043546,0.4898515,1.1061809,1.1516074,0.2348991,0.2193997,0.0154994
51,-1.1702434,-1.1514173,"('uneducated', 'educated')",-0.30347812,-0.4294091,-0.5591767,-0.5979098,0.60145736,0.5808399,-0.3578602,-0.3994741,0.0416139
69,1.1701707,0.87139845,"('lazy', 'industrious')",0.585888,0.65619123,1.3342975,1.1395375,-1.5223639,-1.5616804,0.3919981,0.2763617,0.1156364
77,-1.1694734,-1.141595,"('unmotivated', 'motivated')",-0.18007497,-0.23109713,-0.14695047,-0.07927228,-0.14816654,-0.10570338,-0.4111663,-0.3894169,-0.0217494
18,-1.1473185,-1.1030686,"('disagreeable', 'welcoming')",-0.7815398,-0.7921203,-0.6434784,-0.6239017,-0.44140184,-0.4760199,-0.7534347,-0.7487776,-0.0046571
82,-1.11456,-1.114727,"('poor', 'rich')",-0.59316874,-0.7110286,-0.7410276,-0.714591,6.1905518,6.1328783,0.9354489,0.8981329,0.037316
40,-1.1094528,-0.8893202,"('stingy', 'generous')",-0.35944253,-0.35924834,-0.08611974,0.062149573,-2.0291944,-2.1589894,-0.8960524,-0.8363521,-0.0597003
41,-1.1018499,-0.7036913,"('unforgiving', 'forgiving')",0.50481737,0.53975815,-0.735287,-0.5188429,0.4519745,0.3869991,-0.2200862,-0.0739442,-0.146142
81,-1.0981834,-0.98407304,"('submissive', 'aggressive')",-0.41184893,-0.49886334,0.53280795,0.6577413,0.3022734,0.3096735,-0.1687377,-0.1288804,-0.0398573
71,1.0701132,1.0591638,"('diffident', 'self-confident')",1.1738591,1.1971592,-1.062417,-0.9904421,0.75307983,0.75029117,0.4836588,0.504043,-0.0203842
56,1.0579818,1.2491745,"('impractical', 'practical')",1.4146168,1.3306725,0.19667315,0.2873698,0.26340234,0.1279857,0.7331685,0.7488006,-0.0156321
64,-1.0079148,-0.90641266,"('shy', 'confident')",-0.55347705,-0.5024647,0.62448853,0.6861437,-5.389431,-5.4501033,-1.5815836,-1.5432092,-0.0383744
57,-1.0013636,-0.6258642,"('unimaginative', 'imaginative')",-1.0213846,-0.86103797,-1.5125726,-1.1671656,-2.6366243,-2.720617,-1.5429863,-1.3436713,-0.199315
5,0.99456376,1.0850723,"('distant', 'outgoing')",0.034092024,0.0943749,-0.915118,-0.8799076,-0.35749134,-0.42891642,-0.0609884,-0.0323442,-0.0286442
10,-0.9862465,-0.53877866,"('unsympathetic', 'sympathetic')",-0.5097017,-0.43797567,-1.6521962,-1.4285685,0.7398112,0.824988,-0.6020833,-0.3950837,-0.2069996
14,-0.9800268,-0.6197503,"('antisocial', 'social')",0.3019303,0.25467548,0.37993714,0.61779135,0.26919624,0.29997623,-0.0072408,0.1381732,-0.145414
0,-0.97057945,-0.7399525,"('unsociable', 'sociable')",1.0482444,0.96012366,-1.0443518,-0.97925484,0.8474012,0.7482092,-0.0298214,-0.0027186,-0.0271028
27,-0.9456179,-0.86183625,"('hardhearted', 'softhearted')",-0.44086862,-0.5377703,-0.4476677,-0.5851938,0.6774387,0.61504525,-0.2891789,-0.3424388,0.0532599
58,0.9225794,1.143213,"('undiscriminating', 'discriminating')",0.22769289,0.29795983,-1.5586145,-1.327062,-0.5733777,-0.5869819,-0.24543,-0.1182178,-0.1272122
83,0.91136163,1.0027293,"('powerless', 'powerful')",0.6199256,0.6290057,0.15182656,0.24513483,-0.65619874,-0.53458035,0.2567288,0.3355724,-0.0788436
