,general_male,general_female,tuple,mills_male,mills_female,inc_male,inc_female,average_male,average_female,male-female
39,1.6296481,1.6619031,"('exploitative', 'cooperative')",0.7482773,0.8020692,0.25291482,0.1465436,0.8769468,0.8701719,0.0067749
6,-1.5318902,-1.465859,"('distant', 'open')",-0.4536816,-0.48424464,0.30261353,0.6089142,-0.5609861,-0.4470632,-0.1139229
67,1.4896789,1.6768547,"('doubtful', 'determined')",0.5022548,0.55090404,-0.23377818,-0.26743573,0.5860518,0.653441,-0.0673892
26,1.3751317,1.0026319,"('hardhearted', 'benevolent')",2.461318,2.0745418,1.3693076,1.25723,1.7352524,1.4448013,0.2904511
1,-1.3664808,-1.1761773,"('unfriendly', 'friendly')",0.15020972,0.014552388,1.4836957,1.7287707,0.0891415,0.1890486,-0.0999071
49,-1.3193552,-0.90381736,"('unable', 'able')",-0.9499657,-0.6865559,-0.39918852,-0.12043644,-0.8895032,-0.5702699,-0.3192333
27,-1.2513429,-1.4320557,"('hardhearted', 'softhearted')",-0.24179646,-0.24548723,1.6035707,1.4584302,0.0368104,-0.0730376,0.109848
73,1.2454283,1.4468552,"('helpless', 'self-reliant')",0.88462615,0.98111993,-3.5914116,-3.333164,-0.487119,-0.3017296,-0.1853894
12,1.2316269,1.1704891,"('unsupportive', 'supportive')",0.40226015,0.3605073,-1.9685307,-1.866818,-0.1115479,-0.1119405,0.0003926
84,1.188454,1.3843871,"('inferior', 'superior')",-0.009759638,-0.03555891,0.38725978,0.4545974,0.5219847,0.6011419,-0.0791572
68,-1.1818821,-1.1553378,"('dependent', 'independent')",-1.2705433,-1.0816386,-0.528635,-0.58526796,-0.9936868,-0.9407481,-0.0529387
31,-1.1772327,-1.4242637,"('evil', 'good')",0.0124866385,-0.2898851,-1.049701,-0.8888855,-0.738149,-0.8676781,0.1295291
36,-1.1764616,-1.5029505,"('hostile', 'amicable')",-0.80388314,-0.9057697,-0.2092564,-0.12510824,-0.7298671,-0.8446095,0.1147424
5,-1.1542658,-0.99131596,"('distant', 'outgoing')",0.24398187,0.25929815,-0.4370473,-0.048147902,-0.4491104,-0.2600552,-0.1890552
44,-1.0937736,-0.65296876,"('prejudiced', 'unprejudiced')",-1.6245519,-1.25167,-1.5189863,-1.3133357,-1.4124373,-1.0726581,-0.3397792
56,1.0165273,1.3572831,"('impractical', 'practical')",1.1744453,1.3841189,-0.07980239,-0.048097737,0.7037234,0.8977681,-0.1940447
34,-1.0070783,-0.67713577,"('mean', 'honorable')",-0.7472108,-0.4377072,6.1832843,6.248115,1.4763317,1.7110907,-0.234759
3,-0.9864752,-0.9903898,"('repellent', 'pleasant')",-0.3899293,-0.31665537,0.50348455,0.4511285,-0.2909733,-0.2853056,-0.0056677
40,0.90122485,0.4370102,"('stingy', 'generous')",0.39777696,0.22725517,-1.689424,-1.7300124,-0.1301407,-0.355249,0.2251083
20,-0.8611747,-0.71774983,"('rough', 'thoughtful')",-1.1512947,-1.0127904,1.2924764,1.0167971,-0.2399976,-0.2379144,-0.0020832
87,0.8229098,0.8370788,"('unsuccessful', 'successful')",0.5579442,0.43075055,0.43322542,0.3420211,0.6046931,0.5366168,0.0680763
42,0.8125556,0.7908512,"('unreliable', 'reliable')",0.6189695,0.72656894,-3.0285451,-2.6411,-0.53234,-0.37456,-0.15778
88,-0.7959502,-0.998659,"('low', 'eminent')",-0.63596946,-0.7776896,-0.035061963,-0.012156911,-0.4889938,-0.5961685,0.1071747
