,altaba_male,altaba_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-1.7904851,-1.4664575,"('uninfluential', 'influential')",-0.6136017,-0.5172919,-1.2020434,-0.9918747,-0.2101687
53,-1.5727739,-1.3950411,"('uncreative', 'creative')",0.22990255,0.49279866,-0.6714357,-0.4511212,-0.2203145
0,-1.5646545,-1.4658866,"('unsociable', 'sociable')",-0.21698533,-0.2899075,-0.8908199,-0.877897,-0.0129229
1,-1.5006154,-1.4924273,"('unfriendly', 'friendly')",1.5005766,1.61494,-1.94e-05,0.0612563,-0.0612757
9,-1.4932652,-1.532838,"('unaffectionate', 'caring')",0.8470693,0.9861473,-0.3230979,-0.2733454,-0.0497525
19,-1.3355538,-1.400082,"('inhospitable', 'hospitable')",-0.33956063,-0.23572588,-0.8375572,-0.8179039,-0.0196533
77,-1.3168864,-1.2350576,"('unmotivated', 'motivated')",-1.0887834,-1.0823288,-1.2028348,-1.1586932,-0.0441416
73,1.2931378,1.222865,"('helpless', 'self-reliant')",-2.565577,-2.6280153,-0.6362196,-0.7025751,0.0663555
6,-1.2816172,-1.3320752,"('distant', 'open')",-0.1717883,0.09643174,-0.7267027,-0.6178218,-0.1088809
31,-1.181847,-1.5332432,"('evil', 'good')",-1.1156703,-1.0891047,-1.1487586,-1.3111739,0.1624153
5,-1.1437253,-1.2647604,"('distant', 'outgoing')",-0.6284314,-0.43031392,-0.8860784,-0.8475372,-0.0385412
57,-1.0795703,-0.90973496,"('unimaginative', 'imaginative')",-2.6029747,-2.6049697,-1.8412725,-1.7573524,-0.0839201
36,-1.0597496,-1.1352352,"('hostile', 'amicable')",-0.32423368,-0.16277671,-0.6919916,-0.6490059,-0.0429857
28,-0.98818254,-0.48557317,"('disloyal', 'loyal')",0.7778834,0.99382144,-0.1051496,0.2541241,-0.3592737
8,-0.9737928,-0.96070397,"('unaffectionate', 'affectionate')",0.65776134,0.84795576,-0.1580157,-0.0563741,-0.1016416
