,franklin_male,franklin_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,male-female
16,-1.6388253,-1.7351282,"('unpopular', 'popular')",-0.04694969,-0.14964336,0.18710941,0.1103766,-0.4995552,-0.591465,0.0919098
6,-1.4939089,-1.4778967,"('distant', 'open')",-1.340931,-1.3359996,-0.103296615,-0.1312211,-0.9793788,-0.9817057,0.0023269
36,-1.4883484,-1.5517607,"('hostile', 'amicable')",-1.8428211,-2.069106,0.09429089,-0.01604864,-1.0789595,-1.2123051,0.1333456
62,1.3334203,1.3339906,"('incompetent', 'brilliant')",0.25095588,0.34210396,-0.07602693,-0.0718431,0.5027831,0.5347505,-0.0319674
39,1.2930379,1.3637118,"('exploitative', 'cooperative')",-0.12543684,-0.0008273721,-0.0078592105,0.046472482,0.3865806,0.4697857,-0.0832051
56,1.2904683,1.271734,"('impractical', 'practical')",0.4719633,0.58723885,-0.2702232,-0.2555988,0.4974028,0.534458,-0.0370552
0,-1.2867327,-1.4907218,"('unsociable', 'sociable')",0.030510552,-0.09250626,-0.559086,-0.74371797,-0.6051027,-0.7756487,0.170546
73,1.2308139,1.4163163,"('helpless', 'self-reliant')",0.7387561,0.737783,-2.9944956,-2.7945094,-0.3416419,-0.2134701,-0.1281718
44,-1.1115571,-1.0168046,"('prejudiced', 'unprejudiced')",-0.85064244,-0.7069753,-1.2977047,-1.2176107,-1.0866348,-0.9804635,-0.1061713
60,1.0945641,0.9514178,"('inefficient', 'efficient')",1.0132419,1.0337968,0.20049731,0.0635801,0.7694345,0.6829316,0.0865029
24,1.0791509,1.0384085,"('dishonest', 'honest')",0.115594655,0.12681118,0.5517427,0.49701706,0.5821627,0.5540789,0.0280838
4,-1.0727689,-1.1804461,"('disliked', 'liked')",-0.26848495,-0.39117944,-5.7731934,-5.723272,-2.3714824,-2.4316325,0.0601501
33,1.0616263,1.0452975,"('wrong', 'right')",0.79196995,0.76205087,-0.8159872,-0.80355847,0.3458697,0.3345966,0.0112731
53,1.0573967,0.9590833,"('uncreative', 'creative')",0.55907255,0.4951717,0.7672986,0.6335906,0.7945892,0.6959485,0.0986407
9,0.96627355,0.86352044,"('unaffectionate', 'caring')",0.47612897,0.5196806,0.81270313,0.76651835,0.7517018,0.7165732,0.0351286
41,-0.9638141,-1.0879462,"('unforgiving', 'forgiving')",-0.1356736,-0.24046187,0.004074471,-0.1287096,-0.3651377,-0.4857059,0.1205682
5,-0.955881,-0.92261845,"('distant', 'outgoing')",-0.9346454,-0.8993709,-0.46035996,-0.43130708,-0.7836288,-0.7510988,-0.03253
61,0.9161886,0.88239473,"('illogical', 'logical')",0.48643395,0.4317404,0.19102418,0.094434515,0.5312156,0.4695232,0.0616924
74,0.8886895,0.79990417,"('undedicated', 'dedicated')",0.6040476,0.6586027,-0.0046492014,-0.06129501,0.4960293,0.4657373,0.030292
19,-0.8776004,-0.79969084,"('inhospitable', 'hospitable')",-1.6547706,-1.6043639,-0.27064326,-0.19406866,-0.9343381,-0.8660411,-0.068297
12,0.8519941,0.7743836,"('unsupportive', 'supportive')",0.73863614,0.74254173,-1.5111237,-1.4890926,0.0265022,0.0092776,0.0172246
30,0.846409,0.82895964,"('intolerant', 'tolerant')",1.48932,1.4675083,1.0221386,0.9812083,1.1192892,1.0925588,0.0267304
80,0.79597443,0.87921655,"('dominated', 'dominating')",0.3216312,0.4117839,-0.8266079,-0.81648344,0.0969993,0.1581723,-0.061173
76,0.7776157,0.803208,"('anxious', 'daring')",0.33164638,0.38212118,0.34403107,0.40328103,0.4844311,0.5295367,-0.0451056
88,0.75478816,0.6512042,"('low', 'eminent')",0.19366056,0.07402446,0.27292153,0.2622331,0.4071234,0.3291539,0.0779695
85,-0.749071,-0.7378588,"('insignificant', 'prestigious')",0.30331892,0.20147075,0.55918217,0.550323,0.03781,0.004645,0.033165
48,0.7199316,0.49746516,"('unintelligent', 'intelligent')",1.2752142,1.1143254,0.67319274,0.56288105,0.8894462,0.7248905,0.1645557
21,0.7171398,0.5958226,"('immoral', 'moral')",1.1266359,1.1061295,-0.4239606,-0.42989126,0.4732717,0.4240203,0.0492514
72,0.7166777,0.7228627,"('unambitious', 'ambitious')",0.6409022,0.68595225,-1.0213875,-1.047995,0.1120642,0.1202733,-0.0082091
81,0.7079528,0.62387383,"('submissive', 'aggressive')",1.3502653,1.3116825,-0.34154487,-0.30837923,0.5722244,0.5423923,0.0298321
52,-0.6847476,-0.6166569,"('irrational', 'rational')",-0.4439606,-0.53886366,-0.2955596,-0.32241592,-0.4747559,-0.4926455,0.0178896
15,-0.6411837,-0.67686224,"('boring', 'funny')",-0.8587016,-0.83202446,0.20967183,0.16433418,-0.4300712,-0.4481842,0.018113
31,-0.6361377,-0.53473324,"('evil', 'good')",-0.890079,-0.96870625,-1.2344645,-1.2848513,-0.9202271,-0.9294302,0.0092031
49,-0.63236195,-0.56627524,"('unable', 'able')",-0.30073404,-0.18512765,-0.24034923,-0.19705439,-0.3911484,-0.3161524,-0.074996
27,-0.6255833,-0.6379606,"('hardhearted', 'softhearted')",-0.17456493,-0.10082273,1.2416172,1.0817033,0.1471563,0.1143066,0.0328497
71,0.62300855,0.682332,"('diffident', 'self-confident')",1.2634755,1.3499364,0.4885431,0.432101,0.7916757,0.8214564,-0.0297807
37,0.6120312,0.60539967,"('fake', 'genuine')",0.25966212,0.23323654,0.3133616,0.24751623,0.3950183,0.3620508,0.0329675
17,-0.57613343,-0.54648036,"('nasty', 'nice')",0.016775947,-0.01847939,-0.58656293,-0.5597932,-0.3819735,-0.3749177,-0.0070558
65,0.5672389,0.45206717,"('insecure', 'secure')",0.17219028,0.10996282,-0.28392822,-0.3390217,0.1518337,0.0743361,0.0774976
67,-0.56213313,-0.5215243,"('doubtful', 'determined')",-0.09519706,-0.051442456,-0.67855084,-0.64921534,-0.4452937,-0.407394,-0.0378997
55,0.54811543,0.46827543,"('incompetent', 'clever')",0.057866026,-1.5966594e-05,0.01394606,-0.13483141,0.2066425,0.1111427,0.0954998
11,0.5333291,0.5770314,"('unhelpful', 'helpful')",0.73023206,0.84267527,1.9582357,1.9969164,1.0739323,1.1388744,-0.0649421
7,0.5322498,0.38334602,"('insensitive', 'sensitive')",0.8260028,0.88472044,0.6310698,0.4823247,0.6631074,0.5834637,0.0796437
84,0.502447,0.4900046,"('inferior', 'superior')",1.0209546,1.0035616,0.9265539,0.9329021,0.8166518,0.8088228,0.007829
45,-0.47008026,-0.6361491,"('incompetent', 'competent')",-0.5585387,-0.6170805,-0.5974289,-0.8320505,-0.5420159,-0.6950934,0.1530775
59,0.46438426,0.56581616,"('foolish', 'wise')",0.7529688,0.8421491,0.057170283,0.117473416,0.4248411,0.5084795,-0.0836384
86,0.46042883,0.21783699,"('uninfluential', 'influential')",-0.2353544,-0.34664983,-0.1842228,-0.34462824,0.0136172,-0.1578137,0.1714309
79,0.43890345,0.4872315,"('wavering', 'unwavering')",-1.129986,-1.1889467,0.08901648,0.1321072,-0.2006887,-0.1898693,-0.0108194
23,0.4292769,0.35481247,"('insincere', 'sincere')",0.7313275,0.7807557,5.2509546,5.0689354,2.1371864,2.0681678,0.0690186
82,-0.42472625,-0.5089211,"('poor', 'rich')",-0.14263183,-0.14423865,5.4553165,5.2638693,1.6293195,1.5369032,0.0924163
75,-0.4212576,-0.34459582,"('meek', 'impulsive')",-0.15415996,-0.13224062,-0.05842411,-0.018434342,-0.2112805,-0.1650903,-0.0461902
57,0.41139084,0.29768068,"('unimaginative', 'imaginative')",0.20593461,0.118309736,-2.235302,-2.2640183,-0.5393255,-0.6160093,0.0766838
63,-0.4005729,-0.4777587,"('unperceptive', 'insightful')",0.82260346,0.92682856,1.0838325,1.0867937,0.5019544,0.5119545,-0.0100001
20,0.39120445,0.39700648,"('rough', 'thoughtful')",0.256409,0.22982709,1.0412438,0.9528533,0.5629524,0.5265623,0.0363901
78,-0.38180384,-0.540434,"('nonresilient', 'resilient')",0.33675322,0.28341118,0.585448,0.47495472,0.1801325,0.072644,0.1074885
18,-0.3735853,-0.49495926,"('disagreeable', 'welcoming')",-0.4717484,-0.5023247,-0.60764,-0.71558946,-0.4843246,-0.5709578,0.0866332
