,johnson_male,johnson_female,tuple,controls_male,controls_female,intl_male,intl_female,plc_male,plc_female,average_male,average_female,male-female
67,1.9322282,1.9919327,"('doubtful', 'determined')",1.0030398,1.0239738,0.75237,1.2534331,-0.40490422,-0.1319978,0.8206834,1.0343355,-0.2136521
71,1.7102484,1.4332104,"('diffident', 'self-confident')",0.3418254,0.3134063,-0.3052882,-0.47854906,0.6756552,0.7164814,0.6056102,0.4961373,0.1094729
39,1.6917868,2.0101008,"('exploitative', 'cooperative')",0.8736332,1.0359766,0.38382137,0.4111182,0.26503018,0.44707888,0.8035678,0.9760687,-0.1725009
49,-1.4252568,-1.319716,"('unable', 'able')",0.15965742,0.25773847,-1.0639236,-0.5581433,-0.8486223,-0.4817164,-0.7945364,-0.5254593,-0.2690771
84,1.4037842,1.1854624,"('inferior', 'superior')",0.2720821,0.12872176,0.49859267,0.63838404,0.87862885,0.8065165,0.7632719,0.6897712,0.0735007
82,-1.3737869,-1.0358769,"('poor', 'rich')",-0.25607327,0.005058773,0.1353845,0.421452,4.5710382,4.678685,0.7691407,1.0173298,-0.2481891
33,1.2924855,0.91305494,"('wrong', 'right')",0.051383585,-0.13300169,0.7858538,0.6591327,0.5671798,0.5567351,0.6742257,0.4989803,0.1752454
4,-1.2047683,-1.3332298,"('disliked', 'liked')",-1.9746056,-2.2208035,0.12350224,-0.048448082,-4.6936674,-4.6242266,-1.9373847,-2.0566769,0.1192922
16,-1.2028528,-1.1448339,"('unpopular', 'popular')",-1.5818356,-1.5393915,0.18777427,0.33473742,0.17701423,0.25384688,-0.604975,-0.5239103,-0.0810647
75,-1.1448227,-1.4764203,"('meek', 'impulsive')",-2.2231576,-2.5656767,0.67752707,0.51160645,-0.9212586,-1.2847426,-0.9029281,-1.2038083,0.3008802
87,1.1230581,1.214318,"('unsuccessful', 'successful')",1.7950355,1.8953246,1.2444968,1.3199816,1.743809,1.9921507,1.4765999,1.6054437,-0.1288438
56,1.0664779,1.1951313,"('impractical', 'practical')",3.4315672,3.8234873,-0.41574714,-0.1991429,-0.09883027,0.18539746,0.9958669,1.2512183,-0.2553514
34,-1.0360674,-0.99985063,"('mean', 'honorable')",-0.6386591,-0.783324,-0.5934662,-0.48299488,4.1046247,4.068594,0.459108,0.4506061,0.0085019
12,1.0285496,0.6043513,"('unsupportive', 'supportive')",1.25581,1.3286841,-1.9232548,-2.21089,-1.2587565,-1.3169522,-0.224413,-0.3987017,0.1742887
68,-0.9284832,-0.7054971,"('dependent', 'independent')",-0.02684952,0.16295126,-1.110951,-0.8253313,-1.2341385,-1.1489282,-0.8251055,-0.6292013,-0.1959042
74,0.9266178,0.94776636,"('undedicated', 'dedicated')",0.92318416,1.0274218,-0.25171533,-0.33062214,0.47395614,0.47228247,0.5180107,0.5292121,-0.0112014
18,-0.86202407,-0.40590388,"('disagreeable', 'welcoming')",-1.596236,-1.4984721,-0.77556634,-0.3383075,-1.1236017,-0.8535791,-1.089357,-0.7740656,-0.3152914
73,0.8440001,0.7905093,"('helpless', 'self-reliant')",-1.0601629,-1.2363286,-0.00310581,-0.044079274,-2.6177616,-2.691148,-0.7092575,-0.7952617,0.0860042
69,0.83846086,0.7047163,"('lazy', 'industrious')",-0.6010234,-0.7984404,2.1791701,2.2535188,0.6055951,0.7430644,0.7555507,0.7257148,0.0298359
54,-0.83235335,-0.64579415,"('incapable', 'capable')",-0.6658679,-0.54486203,-0.2962863,0.20314157,0.6448999,0.89837027,-0.2874019,-0.0222861,-0.2651158
31,-0.819337,-0.9610015,"('evil', 'good')",-2.7184045,-2.8713193,-0.06633195,-0.34374693,0.09365992,-0.0695676,-0.8776034,-1.0614089,0.1838055
51,-0.77860063,-0.34829822,"('uneducated', 'educated')",0.72459906,1.0266019,-0.89820606,-0.79282826,-0.3898719,-0.11543419,-0.3355199,-0.0574897,-0.2780302
59,0.7185569,0.6453702,"('foolish', 'wise')",-1.9771537,-2.1015916,0.68677646,0.68639,0.35378683,0.48189673,-0.0545084,-0.0719837,0.0174753
81,-0.65987235,-0.17250505,"('submissive', 'aggressive')",1.7657379,2.1856334,-0.5730458,-0.3521379,-1.5027832,-1.1098503,-0.2424909,0.137785,-0.3802759
57,-0.6506361,-1.0330659,"('unimaginative', 'imaginative')",0.3537983,0.44175008,-0.5663075,-0.6808185,-1.6557478,-1.8853519,-0.6297233,-0.7893716,0.1596483
83,-0.63095355,-0.67339075,"('powerless', 'powerful')",1.1783748,1.1664964,-1.0268071,-0.88275445,-0.5487923,-0.49222225,-0.2570446,-0.2204678,-0.0365768
62,-0.6297234,-0.41703996,"('incompetent', 'brilliant')",1.6334302,1.9484727,-1.0705483,-0.79627424,-0.10876712,0.15671712,-0.0439022,0.2229689,-0.2668711
36,-0.61156887,-0.8023029,"('hostile', 'amicable')",-3.5193107,-3.8059573,0.50488716,0.4846162,1.5075516,1.4898974,-0.5296102,-0.6584367,0.1288265
72,-0.6073211,-0.32207733,"('unambitious', 'ambitious')",0.20491007,0.2583716,-1.138906,-1.1737113,0.5293578,0.5913937,-0.2529898,-0.1615058,-0.091484
11,0.5799613,0.4809922,"('unhelpful', 'helpful')",1.4388169,1.583082,-1.4722786,-1.4351559,0.83024555,0.7963589,0.3441863,0.3563192,-0.0121329
21,-0.53349775,-0.08904335,"('immoral', 'moral')",1.0466951,1.3741754,-1.5788234,-1.1318328,-1.7690349,-1.3074205,-0.7086653,-0.2885303,-0.420135
19,-0.5313166,-0.5728236,"('inhospitable', 'hospitable')",-1.7359906,-1.8991895,-0.62285674,-0.64858836,-0.36563596,-0.37824932,-0.8139499,-0.8747127,0.0607628
