,aes_male,aes_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.1576107,-1.7766476,"('distant', 'open')",-1.2778908,-1.043113,-1.7177508,-1.4098803,-0.3078705
5,-2.1356885,-1.6355205,"('distant', 'outgoing')",-1.2299365,-1.0464644,-1.6828125,-1.3409925,-0.34182
1,-1.9426172,-2.0172594,"('unfriendly', 'friendly')",1.1853762,1.034963,-0.3786205,-0.4911482,0.1125277
29,-1.8511547,-1.3425727,"('unfair', 'fair')",-0.81576896,-0.6137041,-1.3334618,-0.9781384,-0.3553234
79,-1.6569271,-1.4502093,"('wavering', 'unwavering')",-0.8114964,-0.6495947,-1.2342117,-1.049902,-0.1843097
31,-1.4726436,-1.0755367,"('evil', 'good')",-0.9098799,-0.95208603,-1.1912618,-1.0138113,-0.1774505
53,-1.3990276,-1.38373,"('uncreative', 'creative')",0.27846462,0.29504472,-0.5602815,-0.5443426,-0.0159389
66,-1.3196228,-1.0014303,"('inactive', 'active')",0.32918105,0.4086647,-0.4952208,-0.2963828,-0.198838
36,-1.2986715,-1.5316513,"('hostile', 'amicable')",-0.27294326,-0.4391442,-0.7858074,-0.9853977,0.1995903
39,1.2605013,0.81427336,"('exploitative', 'cooperative')",0.1387174,0.008012366,0.6996093,0.4111429,0.2884664
9,-1.1890235,-1.2168307,"('unaffectionate', 'caring')",0.82240534,0.8093408,-0.1833091,-0.203745,0.0204359
86,-1.1194268,-1.0531923,"('uninfluential', 'influential')",-0.16099092,-0.20604926,-0.6402089,-0.6296208,-0.0105881
19,-1.0943984,-1.0765643,"('inhospitable', 'hospitable')",-0.46330193,-0.52653176,-0.7788501,-0.801548,0.0226979
57,-1.0856197,-1.0639051,"('unimaginative', 'imaginative')",-2.9504352,-3.147299,-2.0180273,-2.105602,0.0875747
60,1.0752758,1.2545737,"('inefficient', 'efficient')",-0.027698655,0.18138963,0.5237886,0.7179817,-0.1941931
38,-1.0265862,-0.83744776,"('untruthful', 'truthful')",-0.18485476,-0.23793447,-0.6057205,-0.5376911,-0.0680294
0,-0.97506005,-1.0681185,"('unsociable', 'sociable')",-0.05796193,-0.27970764,-0.516511,-0.6739131,0.1574021
71,-0.9289094,-1.0652341,"('diffident', 'self-confident')",0.31479296,0.24500528,-0.3070582,-0.4101144,0.1030562
20,0.90659183,0.82058156,"('rough', 'thoughtful')",0.9902796,1.0336955,0.9484357,0.9271385,0.0212972
18,-0.8869536,-1.1143909,"('disagreeable', 'welcoming')",-0.4664749,-0.5597352,-0.6767142,-0.837063,0.1603488
40,-0.88097703,-0.32359588,"('stingy', 'generous')",-1.6125987,-1.5876952,-1.2467878,-0.9556456,-0.2911422
22,-0.87606454,-0.6215772,"('untrustworthy', 'trustworthy')",-1.0443189,-0.897097,-0.9601917,-0.7593371,-0.2008546
10,-0.8675157,-0.6681266,"('unsympathetic', 'sympathetic')",-0.53518933,-0.40224734,-0.7013525,-0.5351869,-0.1661656
59,-0.86659735,-0.43244526,"('foolish', 'wise')",-0.5091176,-0.17843002,-0.6878575,-0.3054376,-0.3824199
