,mondelez_male,mondelez_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.582614,-2.6332393,"('unsympathetic', 'sympathetic')",-0.94506335,-1.0039222,-0.42455614,-0.6112846,-1.3174111,-1.4161487,0.0987376
81,-2.48667,-2.5331247,"('submissive', 'aggressive')",0.3004731,0.121005625,-0.40023273,-0.51417136,-0.8621432,-0.9754302,0.113287
57,-2.2910776,-2.2325242,"('unimaginative', 'imaginative')",-0.72874594,-0.91052526,-2.8568547,-2.903625,-1.9588928,-2.0155582,0.0566654
69,2.1257477,2.1769593,"('lazy', 'industrious')",1.750456,1.7568594,-0.25970325,-0.12643348,1.2055001,1.2691285,-0.0636284
85,2.0954888,2.3445976,"('insignificant', 'prestigious')",-0.685261,-0.35691065,0.26555276,0.44292286,0.5585935,0.8102032,-0.2516097
70,-1.9970977,-2.2225218,"('lethargic', 'energetic')",0.0002693399,-0.26038963,0.5037497,0.25177032,-0.4976929,-0.7437137,0.2460208
14,-1.9716702,-2.121814,"('antisocial', 'social')",0.539137,0.45190442,-0.981985,-0.91632843,-0.8048394,-0.8620793,0.0572399
11,-1.9652666,-2.051088,"('unhelpful', 'helpful')",0.09439595,-0.012858469,1.7856294,1.720794,-0.0284137,-0.1143842,0.0859705
65,-1.9048688,-1.9992262,"('insecure', 'secure')",-0.021134857,-0.051039264,-0.41296056,-0.38852328,-0.7796547,-0.8129296,0.0332749
35,1.8267657,1.8752747,"('corrupt', 'incorrupt')",-0.7386812,-0.56241727,-0.31631073,-0.24460015,0.2572579,0.3560857,-0.0988278
21,-1.7845341,-1.7859362,"('immoral', 'moral')",-0.21723498,-0.2099539,-0.87144434,-0.8703032,-0.9577378,-0.9553978,-0.00234
86,-1.7807482,-1.9374722,"('uninfluential', 'influential')",-0.26762444,-0.39596793,-0.21065769,-0.5508852,-0.7530101,-0.9614418,0.2084317
60,-1.6828105,-1.7632415,"('inefficient', 'efficient')",1.005295,0.9650777,0.07624968,0.22717048,-0.2004219,-0.1903311,-0.0100908
45,-1.6825359,-1.8250996,"('incompetent', 'competent')",-0.16064614,-0.12641762,-0.5486813,-0.6379204,-0.7972878,-0.8631458,0.065858
73,1.652132,1.7242419,"('helpless', 'self-reliant')",0.12940484,0.15928882,-3.4587514,-3.2954888,-0.5590715,-0.4706527,-0.0884188
5,1.6175662,1.6741617,"('distant', 'outgoing')",-0.32921052,-0.2297447,-0.1602993,-0.10429344,0.3760188,0.4467078,-0.070689
3,-1.575953,-1.6745871,"('repellent', 'pleasant')",0.05930146,-0.15564245,-0.03755204,-0.09749413,-0.5180678,-0.6425745,0.1245067
16,1.4559069,1.5626669,"('unpopular', 'popular')",0.49800995,0.6741537,0.9472888,1.0101299,0.9670685,1.0823169,-0.1152484
33,1.4466457,1.5167389,"('wrong', 'right')",0.6353862,0.78298914,-0.3672931,-0.32590997,0.5715796,0.6579393,-0.0863597
71,1.4410734,1.4895872,"('diffident', 'self-confident')",0.5860522,0.58216196,0.39733762,0.32670632,0.8081544,0.7994852,0.0086692
23,-1.4409921,-1.4520195,"('insincere', 'sincere')",-0.6513402,-0.5628483,5.493341,5.2624145,1.1336695,1.0825156,0.0511539
24,-1.3936353,-1.3734639,"('dishonest', 'honest')",-1.1552578,-0.9216334,0.48943737,0.40984267,-0.6864852,-0.6284182,-0.058067
6,1.3766925,1.4601401,"('distant', 'open')",-0.33558518,-0.26522145,0.3725952,0.3356593,0.4712342,0.5101926,-0.0389584
