,csx_male,csx_female,tuple,corp_male,corp_female,average_male,average_female,male-female
13,-1.7398938,-1.6246842,"('impolite', 'polite')",-0.9949393,-0.8923063,-1.3674166,-1.2584953,-0.1089213
38,-1.3234812,-1.2382822,"('untruthful', 'truthful')",-0.64401037,-0.8080802,-0.9837458,-1.0231812,0.0394354
57,-1.1857057,-1.3708934,"('unimaginative', 'imaginative')",-3.2071557,-3.4020364,-2.1964307,-2.3864648,0.1900341
43,-1.1501421,-0.9121237,"('irresponsible', 'responsible')",0.0009613633,0.073339835,-0.5745903,-0.4193919,-0.1551984
10,-1.1154882,-0.9667089,"('unsympathetic', 'sympathetic')",-1.0377461,-0.6208303,-1.0766171,-0.7937696,-0.2828475
87,1.1147574,0.8368861,"('unsuccessful', 'successful')",1.4373777,1.4556926,1.2760675,1.1462893,0.1297782
11,-1.0699755,-1.0339341,"('unhelpful', 'helpful')",1.2433393,1.2744834,0.0866819,0.1202747,-0.0335928
39,1.0017902,0.847309,"('exploitative', 'cooperative')",0.06141261,0.08195629,0.5316014,0.4646326,0.0669688
27,-0.9779461,-0.9492332,"('hardhearted', 'softhearted')",0.95670986,0.9055748,-0.0106181,-0.0218292,0.0112111
19,-0.96332234,-1.1542203,"('inhospitable', 'hospitable')",-0.58683753,-0.6541442,-0.77508,-0.9041823,0.1291023
1,-0.9605227,-1.0323687,"('unfriendly', 'friendly')",0.86487085,0.5360372,-0.0478259,-0.2481657,0.2003398
51,-0.9603504,-0.74038064,"('uneducated', 'educated')",0.73164064,0.8534378,-0.1143549,0.0565286,-0.1708835
0,-0.95640177,-0.99778736,"('unsociable', 'sociable')",-0.38000056,-0.3371464,-0.6682011,-0.6674669,-0.0007342
2,0.9463774,0.7657364,"('unlikable', 'likable')",0.82845414,0.59636134,0.8874158,0.6810489,0.2063669
18,-0.9434618,-1.0377096,"('disagreeable', 'welcoming')",-0.5385998,-0.7288217,-0.7410308,-0.8832656,0.1422348
68,-0.9395163,-0.8776432,"('dependent', 'independent')",-0.7698447,-0.5622275,-0.8546805,-0.7199354,-0.1347451
70,-0.9231182,-0.6997423,"('lethargic', 'energetic')",0.22368741,0.52023846,-0.3497154,-0.0897519,-0.2599635
84,0.8963616,0.9258558,"('inferior', 'superior')",1.0437969,1.2813514,0.9700792,1.1036036,-0.1335244
86,-0.7920902,-0.8901229,"('uninfluential', 'influential')",-0.38656723,-0.45122045,-0.5893287,-0.6706717,0.081343
45,-0.7767372,-0.68106824,"('incompetent', 'competent')",-0.36015606,-0.3591723,-0.5684466,-0.5201203,-0.0483263
80,0.761036,0.79287314,"('dominated', 'dominating')",-0.7277597,-0.35353997,0.0166381,0.2196666,-0.2030285
6,-0.76009345,-0.75440145,"('distant', 'open')",-0.50179636,-0.6743052,-0.6309449,-0.7143533,0.0834084
28,-0.7349697,-0.6840877,"('disloyal', 'loyal')",0.5692657,0.68812984,-0.082852,0.0020211,-0.0848731
22,-0.69761676,-0.70985466,"('untrustworthy', 'trustworthy')",-0.97484446,-0.9772375,-0.8362306,-0.8435461,0.0073155
17,-0.69116104,-0.8200157,"('nasty', 'nice')",-0.75852257,-0.9075888,-0.7248418,-0.8638023,0.1389605
69,0.68771446,0.5176339,"('lazy', 'industrious')",-0.7349173,-0.98660475,-0.0236014,-0.2344854,0.210884
55,-0.65483785,-0.6436626,"('incompetent', 'clever')",0.020917688,0.30437744,-0.3169601,-0.1696426,-0.1473175
61,0.652499,0.50907654,"('illogical', 'logical')",0.6388395,0.7316626,0.6456692,0.6203696,0.0252996
8,-0.64217114,-0.8047509,"('unaffectionate', 'affectionate')",0.4463956,0.41587666,-0.0978878,-0.1944371,0.0965493
79,-0.61158913,-0.67260975,"('wavering', 'unwavering')",-0.19029255,-0.2944159,-0.4009408,-0.4835128,0.082572
67,0.59855527,0.6274729,"('doubtful', 'determined')",-0.601301,-0.6600105,-0.0013729,-0.0162688,0.0148959
34,-0.5955776,-0.49150315,"('mean', 'honorable')",5.3496456,5.5204363,2.3770339,2.5144665,-0.1374326
71,0.5954226,0.68459505,"('diffident', 'self-confident')",-0.106659904,0.028660864,0.2443814,0.3566279,-0.1122465
15,0.5920143,0.25939924,"('boring', 'funny')",0.13827783,-0.029594202,0.3651461,0.1149025,0.2502436
23,-0.57941806,-0.59106404,"('insincere', 'sincere')",5.3534594,5.453649,2.3870206,2.4312925,-0.0442719
85,0.55212253,0.2452062,"('insignificant', 'prestigious')",0.26371565,-0.23874451,0.4079191,0.0032308,0.4046883
41,-0.5402123,-0.6099198,"('unforgiving', 'forgiving')",0.003175268,-0.3477076,-0.2685185,-0.4788137,0.2102952
56,-0.5349786,-0.47578627,"('impractical', 'practical')",-1.3894327,-1.220215,-0.9622056,-0.8480006,-0.114205
44,-0.5327084,-0.6599316,"('prejudiced', 'unprejudiced')",-1.1518184,-1.0726298,-0.8422634,-0.8662807,0.0240173
