,air_male,air_female,tuple,products_male,products_female,&_male,&_female,chemicals_male,chemicals_female,inc_male,inc_female,average_male,average_female,male-female
73,1.9026701,1.7148265,"('helpless', 'self-reliant')",2.168719,2.1164212,0.7814503,0.6338856,0.6154064,0.37129104,-2.3581111,-2.4817505,0.622027,0.4709349,0.1510921
55,-1.3974923,-1.2683594,"('incompetent', 'clever')",-1.0469735,-1.0545957,-0.10850602,-0.16573957,-0.8719675,-0.830466,-0.53351015,-0.41809875,-0.7916899,-0.7474519,-0.044238
20,-1.3729687,-1.4481876,"('rough', 'thoughtful')",-0.24593243,-0.22114958,-0.025589202,-0.14574972,-0.6980894,-0.59958935,0.8392531,0.6969023,-0.3006653,-0.3435548,0.0428895
0,-1.3475933,-1.2964182,"('unsociable', 'sociable')",-0.9867526,-0.8817929,-0.13772503,-0.10653664,-0.33840948,-0.28444442,-0.7847246,-0.6446152,-0.719041,-0.6427615,-0.0762795
3,-1.3334483,-1.2517647,"('repellent', 'pleasant')",-0.40025255,-0.34682822,-0.44600874,-0.4905301,-0.5844852,-0.6142989,-0.1400571,-0.07478206,-0.5808504,-0.5556408,-0.0252096
78,-1.3325174,-1.1886965,"('nonresilient', 'resilient')",0.19911335,0.50057894,-0.67852545,-0.5213187,0.7195256,0.9614472,0.05514931,0.37939376,-0.2074509,0.026281,-0.2337319
22,-1.291319,-1.1728054,"('untrustworthy', 'trustworthy')",-0.97524005,-0.9829206,0.7646333,0.796652,-1.6569299,-1.6025331,-1.2891763,-1.0973873,-0.8896064,-0.8117989,-0.0778075
31,-1.2042478,-1.2772459,"('evil', 'good')",-0.45828632,-0.3731806,-0.64865196,-0.4351099,-0.8364088,-0.8032424,-0.3464228,-0.49826592,-0.6988035,-0.677409,-0.0213945
33,1.1694603,1.2054164,"('wrong', 'right')",0.9198034,0.8783682,0.5326454,0.5011567,0.98067266,0.92490625,-0.14094648,-0.24907412,0.6923271,0.6521547,0.0401724
71,1.1220706,1.2258309,"('diffident', 'self-confident')",0.96582514,1.1112537,0.14569676,0.32708988,1.1080276,1.253444,0.36531568,0.45649773,0.7413871,0.8748233,-0.1334362
19,-1.0950156,-0.99466825,"('inhospitable', 'hospitable')",-0.44639054,-0.3809328,-0.513649,-0.30732346,-0.7171211,-0.7515082,0.3708931,0.48934206,-0.4802567,-0.3890181,-0.0912386
56,1.0946767,1.2782258,"('impractical', 'practical')",0.9559348,1.2503917,-0.29321477,-0.16987975,0.97663164,1.2396401,-0.3431018,-0.010477908,0.4781853,0.7175799,-0.2393946
69,1.0800495,1.0726597,"('lazy', 'industrious')",2.449174,2.4460714,0.97817904,0.79077977,1.7641033,1.7213749,0.326165,0.1894804,1.3195342,1.2440732,0.075461
