,yum_male,yum_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.7896194,-1.5688266,"('unsympathetic', 'sympathetic')",0.28989792,0.41631323,-0.2757904,-0.07266572,-0.5918373,-0.408393,-0.1834443
86,-1.6893122,-1.656527,"('uninfluential', 'influential')",0.20972955,0.21249558,0.26465926,0.31890962,-0.4049745,-0.3750406,-0.0299339
73,1.4900326,1.5027293,"('helpless', 'self-reliant')",1.2424012,1.1616389,-2.8264363,-2.744667,-0.0313342,-0.0267663,-0.0045679
57,-1.4377387,-1.413894,"('unimaginative', 'imaginative')",-0.46419027,-0.272349,-2.049044,-1.8799076,-1.3169909,-1.1887169,-0.128274
3,-1.3442298,-1.2528579,"('repellent', 'pleasant')",-0.616535,-0.39695048,-0.060034968,0.10202904,-0.6736,-0.5159264,-0.1576736
40,-1.2836647,-1.3102442,"('stingy', 'generous')",-0.71268827,-0.6937386,-1.7324089,-1.6483142,-1.2429206,-1.2174323,-0.0254883
46,-1.2499936,-1.0438124,"('uncompetitive', 'competitive')",1.5894248,1.7033613,0.09278879,0.2674458,0.1440734,0.3089982,-0.1649248
66,-1.2454308,-1.4949262,"('inactive', 'active')",-0.65122485,-0.8204241,0.7727902,0.53074735,-0.3746218,-0.5948676,0.2202458
53,-1.2178268,-1.1750902,"('uncreative', 'creative')",0.8359109,0.87285495,0.97358114,0.9455797,0.1972217,0.2144482,-0.0172265
15,1.1976995,0.9303263,"('boring', 'funny')",0.39081126,0.37669495,0.38242432,0.29381397,0.6569784,0.5336117,0.1233667
81,-1.1869025,-0.9952842,"('submissive', 'aggressive')",0.1300421,0.14416054,-0.52237505,-0.4682185,-0.5264119,-0.4397807,-0.0866312
48,-1.1618348,-0.9510229,"('unintelligent', 'intelligent')",-0.61639,-0.577826,0.6306624,0.67113817,-0.3825208,-0.2859036,-0.0966172
59,1.142658,1.1477549,"('foolish', 'wise')",-0.16781108,-0.19865587,0.18505526,0.0787333,0.386634,0.3426108,0.0440232
14,-1.0973761,-1.0923529,"('antisocial', 'social')",0.49781638,0.5639891,-0.8939753,-0.835266,-0.497845,-0.4545433,-0.0433017
88,-1.0945897,-0.9692378,"('low', 'eminent')",0.31009558,0.31122747,0.14952178,0.025790917,-0.2116575,-0.2107398,-0.0009177
69,0.994321,0.91204053,"('lazy', 'industrious')",0.3324122,0.28243476,-0.45247588,-0.49724558,0.2914191,0.2324099,0.0590092
33,0.98413867,0.9745031,"('wrong', 'right')",0.38626835,0.32141012,-0.703523,-0.7309532,0.2222947,0.18832,0.0339747
8,-0.94032425,-1.053943,"('unaffectionate', 'affectionate')",-0.44042078,-0.60729164,0.27307278,0.1250007,-0.3692241,-0.512078,0.1428539
9,-0.93320775,-0.9038697,"('unaffectionate', 'caring')",0.4426087,0.3993205,0.85856587,0.8558929,0.1226556,0.1171146,0.005541
26,-0.9170165,-0.86707073,"('hardhearted', 'benevolent')",0.7030335,0.6783068,1.372059,1.2532896,0.3860253,0.3548419,0.0311834
70,-0.9158253,-0.6033307,"('lethargic', 'energetic')",0.640638,0.8604546,0.9580317,1.1435624,0.2276148,0.4668955,-0.2392807
28,-0.9077243,-0.79074925,"('disloyal', 'loyal')",-0.45345822,-0.42298076,0.673769,0.77729654,-0.2291379,-0.1454778,-0.0836601
72,-0.9032904,-0.982616,"('unambitious', 'ambitious')",-0.86221087,-0.8604299,-1.1902927,-1.1753646,-0.9852646,-1.0061369,0.0208723
82,-0.875524,-0.712584,"('poor', 'rich')",0.6834764,0.8247047,5.8448076,5.779407,1.8842533,1.9638426,-0.0795893
1,-0.85039836,-0.84644157,"('unfriendly', 'friendly')",0.5731811,0.46590754,1.3522936,1.1874593,0.3583588,0.2689751,0.0893837
