,adobe_male,adobe_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,2.913537,2.75866,"('uncreative', 'creative')",1.2662107,1.0458437,2.0898738,1.902252,0.1876218
1,2.551269,2.3023336,"('unfriendly', 'friendly')",1.9810431,1.6352562,2.2661562,1.9687948,0.2973614
64,-2.4496918,-2.3040369,"('shy', 'confident')",-6.535477,-6.125482,-4.4925842,-4.2147593,-0.2778249
80,-2.3474853,-2.1254916,"('dominated', 'dominating')",-2.0845535,-1.7803693,-2.2160194,-1.9529305,-0.2630889
26,2.2896986,2.1456075,"('hardhearted', 'benevolent')",1.3942326,1.3161064,1.8419657,1.7308569,0.1111088
44,-2.051804,-1.7698513,"('prejudiced', 'unprejudiced')",-1.4835407,-1.3327035,-1.7676723,-1.5512774,-0.2163949
6,1.9619,1.7686368,"('distant', 'open')",0.17236468,-0.085173324,1.0671324,0.8417317,0.2254007
5,1.8031197,1.6244801,"('distant', 'outgoing')",0.07592018,-0.23184112,0.9395199,0.6963195,0.2432004
9,1.7677153,1.5733118,"('unaffectionate', 'caring')",0.6501751,0.5388233,1.2089453,1.0560676,0.1528777
85,1.7626865,1.7382592,"('insignificant', 'prestigious')",1.1174895,0.8426133,1.440088,1.2904363,0.1496517
81,-1.7228228,-1.4788436,"('submissive', 'aggressive')",-1.5664401,-1.1269534,-1.6446314,-1.3028984,-0.341733
45,-1.6365488,-1.5654104,"('incompetent', 'competent')",-1.1212143,-1.080698,-1.3788815,-1.3230542,-0.0558273
54,1.63245,1.5827678,"('incapable', 'capable')",1.2833047,1.1939902,1.4578774,1.3883791,0.0694983
13,-1.4970505,-1.3696516,"('impolite', 'polite')",-0.88156193,-0.60991436,-1.1893063,-0.9897829,-0.1995234
39,1.4812696,1.5858216,"('exploitative', 'cooperative')",0.43919808,0.5875869,0.9602338,1.0867043,-0.1264705
65,-1.453887,-1.3409084,"('insecure', 'secure')",-0.8186824,-0.4493889,-1.1362847,-0.8951486,-0.2411361
34,1.4498883,1.4407928,"('mean', 'honorable')",6.227527,6.2549534,3.8387077,3.8478732,-0.0091655
