,schwab_male,schwab_female,tuple,charles_male,charles_female,corp_male,corp_female,average_male,average_female,male-female
57,-2.2258508,-2.1803098,"('unimaginative', 'imaginative')",0.81744576,0.57938796,-3.105611,-3.1894574,-1.5046721,-1.5967932,0.0921211
10,-2.2209966,-2.0062559,"('unsympathetic', 'sympathetic')",2.2767682,2.1334586,0.11074466,0.07246247,0.0555054,0.0665551,-0.0110497
86,-2.1208007,-1.9321315,"('uninfluential', 'influential')",0.8212166,0.80992746,-0.42773905,-0.48341694,-0.5757744,-0.535207,-0.0405674
23,-2.0961814,-1.9836608,"('insincere', 'sincere')",1.5618784,1.5489862,5.9250507,5.98822,1.796916,1.8511818,-0.0542658
0,-2.0760791,-1.9328649,"('unsociable', 'sociable')",1.628905,1.5109613,-0.03426271,-0.083444744,-0.1604789,-0.1684494,0.0079705
28,-1.980222,-2.0070202,"('disloyal', 'loyal')",0.5754969,0.5688175,1.1018296,1.0821681,-0.1009651,-0.1186782,0.0177131
1,-1.9071437,-1.9978137,"('unfriendly', 'friendly')",-2.4126773,-2.0989022,0.27985474,0.60743475,-1.3466554,-1.1630937,-0.1835617
53,-1.8092577,-1.6965262,"('uncreative', 'creative')",-1.4216787,-1.2743261,-0.0002155453,0.20779087,-1.0770507,-0.9210205,-0.1560302
35,1.77612,1.6098169,"('corrupt', 'incorrupt')",-2.67041,-2.4439387,-0.98575485,-0.85043234,-0.6266816,-0.561518,-0.0651636
11,-1.6378057,-1.5285996,"('unhelpful', 'helpful')",0.80638355,0.7276771,1.9210705,1.9236611,0.3632161,0.3742462,-0.0110301
14,-1.6265222,-1.464461,"('antisocial', 'social')",2.2016897,2.167196,-0.28667587,-0.29839274,0.0961639,0.1347808,-0.0386169
73,1.5182905,1.5149207,"('helpless', 'self-reliant')",-0.0860524,-0.024980538,-3.112576,-3.131786,-0.5601126,-0.547282,-0.0128306
13,-1.4246447,-1.346,"('impolite', 'polite')",1.8797805,1.7228202,-0.5866331,-0.5937873,-0.0438324,-0.0723224,0.02849
59,1.3931282,1.2967333,"('foolish', 'wise')",-0.76246786,-0.50798917,-0.17060988,0.026886836,0.1533501,0.271877,-0.1185269
69,1.3929471,1.4203907,"('lazy', 'industrious')",-1.2053113,-0.8185417,-1.3142568,-1.0740631,-0.3755403,-0.1574047,-0.2181356
45,-1.3865185,-1.2964611,"('incompetent', 'competent')",2.1724892,2.1090817,-0.2014419,-0.13345766,0.1948429,0.2263877,-0.0315448
48,-1.3750846,-1.3992449,"('unintelligent', 'intelligent')",1.4169391,1.0045116,0.61233485,0.5478574,0.2180631,0.0510414,0.1670217
7,-1.3598429,-1.1344163,"('insensitive', 'sensitive')",0.9863135,0.94149387,0.38223988,0.47325665,0.0029035,0.0934447,-0.0905412
46,-1.3574041,-1.0659176,"('uncompetitive', 'competitive')",1.8636346,1.9517312,-0.45500684,-0.50503534,0.0170745,0.1269261,-0.1098516
3,-1.320068,-1.150789,"('repellent', 'pleasant')",1.0273777,0.9887151,0.7544927,0.7163516,0.1539341,0.1847592,-0.0308251
43,-1.3046302,-1.0015223,"('irresponsible', 'responsible')",1.7871594,1.897866,0.6180449,0.7691695,0.3668581,0.5551711,-0.188313
32,-1.3008249,-1.2136588,"('unkind', 'kind')",0.21218684,0.33495444,0.5027388,0.51374704,-0.1952998,-0.1216524,-0.0736474
9,-1.2868646,-1.2362497,"('unaffectionate', 'caring')",-0.87365925,-0.68353564,1.0972686,1.2811699,-0.3544184,-0.2128718,-0.1415466
55,-1.2355068,-1.0076007,"('incompetent', 'clever')",3.5740287,3.3199134,0.56190276,0.4366614,0.9668082,0.9163247,0.0504835
41,-1.2253525,-1.3025382,"('unforgiving', 'forgiving')",0.012416795,0.17421429,-0.15928319,-0.082357034,-0.4574063,-0.4035603,-0.053846
60,-1.1780986,-0.9384353,"('inefficient', 'efficient')",3.64156,3.307039,0.29703087,0.2114124,0.9201641,0.8600054,0.0601587
72,-1.1448945,-1.1799269,"('unambitious', 'ambitious')",0.3197295,-0.0056777876,-0.2223014,-0.35986906,-0.3491555,-0.5151579,0.1660024
65,-1.1443888,-0.92900205,"('insecure', 'secure')",1.3077576,1.167855,0.20851147,0.027877085,0.1239601,0.08891,0.0350501
61,-1.1285572,-1.0049618,"('illogical', 'logical')",0.27937955,0.46861497,0.31198174,0.459457,-0.1790653,-0.02563,-0.1534353
63,-1.1264343,-0.9778271,"('unperceptive', 'insightful')",0.15843846,0.44728497,0.5276164,0.6039207,-0.1467932,0.0244595,-0.1712527
38,-1.1018926,-1.1286985,"('untruthful', 'truthful')",-0.09723166,0.05396218,-0.57079285,-0.41818342,-0.5899723,-0.4976399,-0.0923324
30,-1.0856324,-1.1088954,"('intolerant', 'tolerant')",2.243891,2.0315065,0.3457013,0.49375254,0.50132,0.4721212,0.0291988
88,-1.0293975,-1.1554679,"('low', 'eminent')",-0.55210316,-0.6819121,-0.61324376,-0.61220634,-0.7315814,-0.8165288,0.0849474
24,-1.0051986,-1.0452826,"('dishonest', 'honest')",0.8209941,0.7974287,0.41723767,0.5107266,0.0776777,0.0876242,-0.0099465
12,-0.98312265,-0.8022216,"('unsupportive', 'supportive')",0.94907343,1.0792277,-2.0713456,-1.9803416,-0.7017983,-0.5677785,-0.1340198
21,-0.9824017,-0.84964734,"('immoral', 'moral')",1.7788163,1.8732715,-0.179991,-0.2964151,0.2054745,0.242403,-0.0369285
82,-0.9224647,-0.911727,"('poor', 'rich')",0.20621386,0.095089346,6.0664086,6.1278806,1.7833859,1.7704144,0.0129715
49,-0.8700016,-0.7430857,"('unable', 'able')",-0.035707492,-0.03821326,0.011122029,0.03147099,-0.2981957,-0.2499426,-0.0482531
81,-0.8576523,-0.67481405,"('submissive', 'aggressive')",2.5462375,2.4835737,-0.58096707,-0.7235723,0.369206,0.3617291,0.0074769
76,-0.83668447,-0.8512119,"('anxious', 'daring')",1.2181262,0.84043545,0.17326215,-0.010771036,0.1849013,-0.0071825,0.1920838
