,jabil_male,jabil_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.2873423,-1.2432837,"('unfriendly', 'friendly')",1.3028154,1.2913736,-0.4922634,0.0240449,-0.5163083
86,-1.8224964,-1.1625243,"('uninfluential', 'influential')",-0.28483385,-0.24317932,-1.0536652,-0.7028518,-0.3508134
53,-1.7968847,-0.8746822,"('uncreative', 'creative')",0.412017,0.48137665,-0.6924338,-0.1966528,-0.495781
9,-1.7596213,-1.0959566,"('unaffectionate', 'caring')",0.8043446,0.8834407,-0.4776383,-0.1062579,-0.3713804
19,-1.5470577,-0.056389917,"('inhospitable', 'hospitable')",-0.4691647,0.025985463,-1.0081112,-0.0152022,-0.992909
36,-1.3087841,0.03705758,"('hostile', 'amicable')",0.0645994,0.30318353,-0.6220924,0.1701206,-0.792213
6,-1.2921323,-0.13233246,"('distant', 'open')",-0.055370115,0.20374478,-0.6737512,0.0357062,-0.7094574
77,-1.2505158,-1.1365128,"('unmotivated', 'motivated')",-1.0827601,-0.76298386,-1.1666379,-0.9497483,-0.2168896
71,-1.2361164,-0.3693532,"('diffident', 'self-confident')",0.4344819,0.59341735,-0.4008173,0.1120321,-0.5128494
8,-1.1853195,-0.9794293,"('unaffectionate', 'affectionate')",0.6576181,0.54438406,-0.2638507,-0.2175226,-0.0463281
23,-1.1775216,-1.1587498,"('insincere', 'sincere')",5.5284014,5.1789665,2.1754398,2.0101085,0.1653313
5,-1.1248097,-0.15899661,"('distant', 'outgoing')",-0.55482525,-0.101052426,-0.8398175,-0.1300245,-0.709793
44,1.1124021,0.52074224,"('prejudiced', 'unprejudiced')",-1.3659719,-1.4148802,-0.1267849,-0.447069,0.3202841
82,-0.9877329,-0.23603608,"('poor', 'rich')",5.925821,5.6677938,2.469044,2.7158787,-0.2468347
42,0.9877211,0.72678196,"('unreliable', 'reliable')",-2.7365098,-2.5420845,-0.8743944,-0.9076512,0.0332568
10,-0.96779734,-1.222025,"('unsympathetic', 'sympathetic')",-0.049393855,-0.26668328,-0.5085956,-0.7443541,0.2357585
59,0.95161414,1.4746139,"('foolish', 'wise')",0.29564896,0.46663508,0.6236315,0.9706245,-0.346993
38,-0.93383926,-0.5734733,"('untruthful', 'truthful')",-0.4236722,0.11168864,-0.6787558,-0.2308923,-0.4478635
76,0.930233,0.00040587783,"('anxious', 'daring')",0.61810035,0.3189292,0.7741667,0.1596675,0.6144992
13,-0.9025437,-1.1219391,"('impolite', 'polite')",-0.58604413,-0.6615592,-0.7442939,-0.8917491,0.1474552
87,0.8193582,0.5214106,"('unsuccessful', 'successful')",0.98263466,0.876134,0.9009964,0.6987723,0.2022241
0,-0.79815876,-0.8452148,"('unsociable', 'sociable')",-0.0359703,0.09814355,-0.4170645,-0.3735356,-0.0435289
28,-0.7886987,-1.1320828,"('disloyal', 'loyal')",0.8723721,0.7769307,0.0418367,-0.1775761,0.2194128
11,-0.78157055,-0.77214813,"('unhelpful', 'helpful')",1.5427142,1.9722073,0.3805718,0.6000296,-0.2194578
34,-0.73995703,-0.62097406,"('mean', 'honorable')",5.7654657,5.50963,2.5127544,2.4443281,0.0684263
72,-0.7300755,-1.123846,"('unambitious', 'ambitious')",-0.7128743,-0.983864,-0.7214749,-1.0538551,0.3323802
84,0.72863734,0.28205782,"('inferior', 'superior')",1.1956689,1.1624587,0.9621531,0.7222582,0.2398949
31,-0.6847543,0.10403071,"('evil', 'good')",-0.95683587,-0.77490276,-0.8207951,-0.335436,-0.4853591
51,-0.6664986,-0.3456421,"('uneducated', 'educated')",0.15597317,0.2873702,-0.2552627,-0.0291359,-0.2261268
22,0.6561954,0.2893601,"('untrustworthy', 'trustworthy')",-0.45359296,-0.63764477,0.1013012,-0.1741423,0.2754435
66,-0.64597154,-0.9657748,"('inactive', 'active')",0.6399117,0.3981526,-0.0030299,-0.2838111,0.2807812
54,-0.62289184,0.2025892,"('incapable', 'capable')",1.0730574,1.3614978,0.2250828,0.7820435,-0.5569607
2,0.6214072,0.89520526,"('unlikable', 'likable')",0.18413277,0.39074272,0.40277,0.642974,-0.240204
73,0.61324996,0.77879363,"('helpless', 'self-reliant')",-2.679801,-2.6692986,-1.0332755,-0.9452525,-0.088023
58,0.6115358,1.0694909,"('undiscriminating', 'discriminating')",0.3207271,0.14917587,0.4661314,0.6093334,-0.143202
62,0.60348135,0.116698444,"('incompetent', 'brilliant')",0.51793957,0.55715394,0.5607104,0.3369262,0.2237842
32,-0.5825744,-0.40470117,"('unkind', 'kind')",0.5596326,0.54995775,-0.0114709,0.0726283,-0.0840992
80,0.5803403,0.18098336,"('dominated', 'dominating')",-1.0361029,-1.1802652,-0.2278813,-0.4996409,0.2717596
79,-0.5736965,0.5472347,"('wavering', 'unwavering')",-0.05524425,0.26060042,-0.3144704,0.4039176,-0.718388
26,-0.56987405,-0.13856575,"('hardhearted', 'benevolent')",1.5838286,1.7002378,0.5069773,0.780836,-0.2738587
70,0.56869304,0.59740084,"('lethargic', 'energetic')",1.1775762,1.0358323,0.8731346,0.8166165,0.0565181
50,0.56663513,0.6403193,"('clumsy', 'skillful')",0.2838461,0.1100337,0.4252406,0.3751765,0.0500641
25,-0.53403217,0.013923053,"('egoistic', 'altruistic')",1.1071216,1.2334812,0.2865447,0.6237021,-0.3371574
78,-0.5325899,-0.65241617,"('nonresilient', 'resilient')",0.51108044,0.16052923,-0.0107547,-0.2459435,0.2351888
33,-0.5241174,-0.34112448,"('wrong', 'right')",-0.77456164,-0.55384666,-0.6493396,-0.4474856,-0.201854
29,0.5180813,0.5771929,"('unfair', 'fair')",-0.42461792,-0.48745412,0.0467317,0.0448694,0.0018623
48,-0.5157746,-1.1393654,"('unintelligent', 'intelligent')",0.57575786,0.40458292,0.0299916,-0.3673913,0.3973829
61,-0.5140529,-0.36357936,"('illogical', 'logical')",0.21442553,0.31503516,-0.1498137,-0.0242721,-0.1255416
14,0.50456446,-0.80358195,"('antisocial', 'social')",-0.14774534,-0.29517472,0.1784096,-0.5493783,0.7277879
12,-0.4916989,-0.17286758,"('unsupportive', 'supportive')",-1.726541,-1.4142668,-1.10912,-0.7935672,-0.3155528
63,-0.4873385,-0.5246172,"('unperceptive', 'insightful')",1.1477705,1.0475026,0.330216,0.2614427,0.0687733
57,-0.46996224,-0.40911686,"('unimaginative', 'imaginative')",-2.1757374,-1.9214443,-1.3228498,-1.1652806,-0.1575692
17,-0.4513912,-0.15879196,"('nasty', 'nice')",-0.6790036,-0.19158396,-0.5651974,-0.175188,-0.3900094
30,0.43608314,-0.09337856,"('intolerant', 'tolerant')",1.4919388,1.7070312,0.964011,0.8068264,0.1571846
46,-0.41714084,-0.7794735,"('uncompetitive', 'competitive')",-0.20561682,-0.47826472,-0.3113788,-0.6288691,0.3174903
3,-0.41357964,-0.7349149,"('repellent', 'pleasant')",0.16899511,-0.047933158,-0.1222923,-0.391424,0.2691317
88,-0.39856708,0.6165363,"('low', 'eminent')",0.41049287,1.2551215,0.0059629,0.9358289,-0.929866
75,-0.33757725,0.21232168,"('meek', 'impulsive')",-0.4707491,-0.42309603,-0.4041632,-0.1053872,-0.298776
4,0.30973116,0.8339317,"('disliked', 'liked')",-6.3604136,-5.480464,-3.0253413,-2.323266,-0.7020753
