,bmc_male,bmc_female,tuple,software_male,software_female,inc_male,inc_female,average_male,average_female,male-female
53,-1.6291751,-1.630887,"('uncreative', 'creative')",0.79007185,0.80174154,0.67641544,0.65624213,-0.0542293,-0.0576345,0.0034052
1,-1.5916139,-1.7188092,"('unfriendly', 'friendly')",0.86997724,1.0002666,1.8187662,1.6007794,0.3657099,0.2940789,0.071631
87,1.5839916,1.4529326,"('unsuccessful', 'successful')",1.093083,1.109617,0.96355355,1.0095448,1.2135428,1.1906981,0.0228447
73,1.3538741,1.0137743,"('helpless', 'self-reliant')",-0.016104475,-0.2526143,-3.0684552,-3.0800557,-0.5768952,-0.7729653,0.1960701
31,-1.3077837,-0.92832154,"('evil', 'good')",-0.7091396,-0.174673,-1.0623481,-0.78910834,-1.0264239,-0.630701,-0.3957229
57,-1.3037728,-1.2019689,"('unimaginative', 'imaginative')",-0.49066225,-0.45295045,-2.6421034,-2.3920805,-1.4788462,-1.349,-0.1298462
8,-1.232909,-1.2408507,"('unaffectionate', 'affectionate')",0.015834969,-0.13453247,0.7841572,0.75087404,-0.1443056,-0.2081697,0.0638641
39,1.226486,1.4749348,"('exploitative', 'cooperative')",0.9419861,1.0160911,0.23830242,0.18349566,0.8022582,0.8915072,-0.089249
6,-1.1769422,-1.5343274,"('distant', 'open')",-0.5607917,-0.56459934,0.12384641,-0.018611629,-0.5379625,-0.7058462,0.1678837
10,-1.1054487,-0.97453743,"('unsympathetic', 'sympathetic')",-1.1670743,-1.1358289,-0.63035244,-0.5204153,-0.9676251,-0.8769272,-0.0906979
62,1.0889523,1.0050544,"('incompetent', 'brilliant')",0.66994905,0.46921977,0.24430788,0.026141245,0.6677364,0.5001385,0.1675979
78,-1.0460895,-1.1491297,"('nonresilient', 'resilient')",1.1360658,1.3575095,0.2043005,0.3639418,0.0980923,0.1907738,-0.0926815
21,0.94498646,0.62578815,"('immoral', 'moral')",0.6538637,0.58483034,-0.28125143,-0.5683404,0.4391996,0.2140927,0.2251069
27,-0.9352929,-0.8387661,"('hardhearted', 'softhearted')",-0.07399728,0.20303224,1.1106392,1.4244794,0.033783,0.2629152,-0.2291322
56,0.9295862,0.47507977,"('impractical', 'practical')",0.5765115,0.15916725,-0.016253464,-0.4668272,0.4966147,0.0558066,0.4408081
26,-0.92820525,-0.79663455,"('hardhearted', 'benevolent')",0.3327281,0.52088624,1.3960867,1.5863475,0.2668698,0.4368664,-0.1699966
2,0.8863523,0.44370943,"('unlikable', 'likable')",0.65193963,0.44809029,1.1242499,0.8055684,0.887514,0.5657894,0.3217246
36,-0.87471765,-0.90632623,"('hostile', 'amicable')",-0.7976983,-0.72862244,0.302573,0.30213737,-0.4566143,-0.4442705,-0.0123438
