,honeywell_male,honeywell_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
69,1.5573462,1.6472749,"('lazy', 'industrious')",1.5750765,1.5835421,-0.070883796,-0.0487241,1.020513,1.0606976,-0.0401846
10,-1.4917591,-1.5586354,"('unsympathetic', 'sympathetic')",-0.53323436,-0.54868996,-0.7615722,-0.7604189,-0.9288552,-0.9559147,0.0270595
3,-1.4325947,-1.4135256,"('repellent', 'pleasant')",-0.1610935,-0.23620392,0.1792417,0.16244704,-0.4714822,-0.4957608,0.0242786
57,-1.3217297,-1.2674361,"('unimaginative', 'imaginative')",-0.15033846,-0.025702946,-2.2637477,-2.3118489,-1.2452719,-1.2016627,-0.0436092
77,-1.2198683,-1.2709767,"('unmotivated', 'motivated')",-0.3202092,-0.37835,-1.4474181,-1.5160035,-0.9958318,-1.0551101,0.0592783
33,1.2194709,1.1552284,"('wrong', 'right')",0.6791523,0.69138,-0.10053379,-0.23410979,0.5993631,0.5374995,0.0618636
71,1.185792,1.2965748,"('diffident', 'self-confident')",0.8745437,0.91247135,0.7604347,0.7954921,0.9402568,1.0015128,-0.061256
70,-1.171518,-1.1365278,"('lethargic', 'energetic')",0.55542403,0.6669595,0.50495714,0.51672554,-0.0370456,0.0157191,-0.0527647
72,-1.1298993,-1.0946072,"('unambitious', 'ambitious')",-0.15323928,-0.090348646,-1.1403219,-1.0927666,-0.8078202,-0.7592408,-0.0485794
39,1.055328,1.0909996,"('exploitative', 'cooperative')",1.0376378,1.1052493,0.065954596,0.10204173,0.7196402,0.7660969,-0.0464567
81,-1.023769,-1.0970426,"('submissive', 'aggressive')",0.424644,0.4472818,-1.2484952,-1.3399339,-0.6158734,-0.6632315,0.0473581
82,-1.0200495,-1.0814867,"('poor', 'rich')",-0.9871474,-0.9885089,5.4194727,5.555008,1.1374253,1.1616708,-0.0242455
51,-0.9855623,-1.1768147,"('uneducated', 'educated')",0.43649602,0.2150839,0.05336611,-0.2560763,-0.1652334,-0.4059357,0.2407023
35,0.96282434,1.0422219,"('corrupt', 'incorrupt')",-0.52794915,-0.41998583,0.0798447,0.19605288,0.1715733,0.272763,-0.1011897
87,0.94308424,0.9806954,"('unsuccessful', 'successful')",1.4534469,1.510866,1.1726644,1.2320393,1.1897318,1.2412003,-0.0514685
25,0.92657244,0.86673635,"('egoistic', 'altruistic')",0.58215094,0.51500106,1.6187644,1.5109783,1.0424959,0.9642386,0.0782573
65,-0.91870165,-0.96415997,"('insecure', 'secure')",0.37957972,0.42381048,-0.51058817,-0.5384451,-0.3499033,-0.3595982,0.0096949
26,0.9105392,0.89037794,"('hardhearted', 'benevolent')",1.5131866,1.6228995,1.9415723,1.9406036,1.4550994,1.4846271,-0.0295277
14,-0.869382,-0.81591934,"('antisocial', 'social')",0.9499242,1.0091398,-0.95844626,-0.84027106,-0.2926347,-0.2156835,-0.0769512
86,-0.8434681,-1.1236163,"('uninfluential', 'influential')",0.08635813,-0.0827077,-0.41833964,-0.6523445,-0.3918165,-0.6195562,0.2277397
21,-0.82782745,-1.0448154,"('immoral', 'moral')",0.20665929,0.09422377,-1.1879321,-1.3138813,-0.6030334,-0.7548243,0.1517909
85,0.8011775,0.81395006,"('insignificant', 'prestigious')",-0.70192915,-0.69944644,0.71514976,0.6984593,0.271466,0.2709876,0.0004784
43,-0.7891292,-0.75653243,"('irresponsible', 'responsible')",0.4748327,0.588088,0.1944364,0.30563036,-0.0399534,0.0457286,-0.085682
53,-0.7742841,-0.8845648,"('uncreative', 'creative')",-0.056629486,-0.13737251,1.043375,0.9515483,0.0708205,-0.023463,0.0942835
68,-0.7172551,-0.839766,"('dependent', 'independent')",0.11950737,-0.094171256,-0.7106647,-0.8692198,-0.4361375,-0.6010524,0.1649149
13,-0.71298623,-0.8173085,"('impolite', 'polite')",0.63927567,0.65077543,-0.58698463,-0.6023137,-0.2202317,-0.2562823,0.0360506
63,-0.67991954,-0.72561467,"('unperceptive', 'insightful')",1.008915,1.0080338,0.7284773,0.65920085,0.3524909,0.3138733,0.0386176
34,-0.6689847,-0.8081419,"('mean', 'honorable')",0.2635324,0.05292256,5.568733,5.5459104,1.7210937,1.596897,0.1241967
0,-0.6628977,-0.71568465,"('unsociable', 'sociable')",0.019291818,0.021580216,-0.7568122,-0.7719495,-0.466806,-0.4886847,0.0218787
73,0.64492697,0.67512476,"('helpless', 'self-reliant')",-0.11490951,0.03357254,-2.824752,-2.791635,-0.7649116,-0.6943126,-0.070599
40,-0.6420979,-0.62599635,"('stingy', 'generous')",-0.21809107,-0.123948015,-1.4538811,-1.5555497,-0.7713567,-0.768498,-0.0028587
7,-0.62995553,-0.6193526,"('insensitive', 'sensitive')",0.13525212,0.14385152,0.65146977,0.67467386,0.0522555,0.0663909,-0.0141354
