,teco_male,teco_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
0,-2.162883,-1.7173382,"('unsociable', 'sociable')",-0.088602915,-0.007447688,-1.0142374,-0.76192,-1.0885745,-0.8289019,-0.2596726
86,-1.8212929,-1.82693,"('uninfluential', 'influential')",0.4493881,0.652383,-0.32672167,-0.3588151,-0.5662088,-0.5111207,-0.0550881
10,-1.7420977,-1.3613338,"('unsympathetic', 'sympathetic')",-0.5262731,-0.30655792,-0.7800817,-0.48703495,-1.0161509,-0.7183089,-0.297842
73,1.6686833,1.4786068,"('helpless', 'self-reliant')",1.1993858,1.068163,-2.754591,-3.0767615,0.0378261,-0.1766639,0.21449
55,-1.5614692,-1.1020808,"('incompetent', 'clever')",-0.2722514,-0.13347147,-0.45499408,-0.21457605,-0.7629049,-0.4833761,-0.2795288
57,-1.3504281,-1.2344089,"('unimaginative', 'imaginative')",0.47493753,0.64813334,-2.6686347,-2.3876956,-1.181375,-0.9913237,-0.1900513
45,-1.315626,-1.4285347,"('incompetent', 'competent')",-0.075553104,-0.24491239,-0.447617,-0.40280047,-0.612932,-0.6920826,0.0791506
51,-1.2817134,-1.373303,"('uneducated', 'educated')",0.022406694,0.053563245,0.3881502,0.49091518,-0.2903855,-0.2762749,-0.0141106
14,-1.221386,-0.58766913,"('antisocial', 'social')",0.8625938,1.0152745,-0.80676204,-0.43543303,-0.3885181,-0.0026092,-0.3859089
59,1.1833596,1.0732442,"('foolish', 'wise')",0.60026246,0.72127897,0.37869918,0.40596586,0.7207737,0.7334963,-0.0127226
28,-1.0960559,-1.0593209,"('disloyal', 'loyal')",-0.064487234,-0.03476139,0.8890434,0.7259072,-0.0904999,-0.122725,0.0322251
20,-1.0825412,-1.1589137,"('rough', 'thoughtful')",-0.093939334,-0.041155078,0.5887696,0.93506867,-0.1959036,-0.0883334,-0.1075702
8,-1.0817566,-1.4283905,"('unaffectionate', 'affectionate')",-0.7471606,-0.8564635,0.92755383,0.61660147,-0.3004545,-0.5560842,0.2556297
23,-1.0711024,-1.1411306,"('insincere', 'sincere')",0.5235697,0.3857666,5.80284,5.693543,1.7517692,1.6460597,0.1057095
82,-1.0340374,-1.2028123,"('poor', 'rich')",0.10440153,-0.08334,6.1551976,6.0106907,1.7418539,1.5748461,0.1670078
85,0.9805075,0.6519958,"('insignificant', 'prestigious')",-0.060816303,0.06728369,0.61647385,0.8571157,0.512055,0.5254651,-0.0134101
6,-0.93372315,-1.44721,"('distant', 'open')",-0.55955297,-0.8129705,0.39189634,0.24350807,-0.3671266,-0.6722241,0.3050975
49,-0.91321653,-0.5780846,"('unable', 'able')",-0.3229409,-0.020444948,-0.38767645,-0.31981465,-0.541278,-0.3061147,-0.2351633
53,-0.90660876,-0.9475692,"('uncreative', 'creative')",0.66073316,0.77241457,0.79471123,0.93490946,0.1829452,0.2532516,-0.0703064
56,-0.8974468,-0.6079728,"('impractical', 'practical')",1.0543611,1.0902388,-0.59529275,-0.6109118,-0.1461262,-0.0428819,-0.1032443
52,0.86320424,0.49300176,"('irrational', 'rational')",-0.2560203,-0.4731229,0.21967514,0.026124338,0.2756197,0.0153344,0.2602853
32,-0.8611781,-0.59749395,"('unkind', 'kind')",0.28133434,0.36802387,0.7988222,0.7128735,0.0729928,0.1611345,-0.0881417
81,-0.85315645,0.11018458,"('submissive', 'aggressive')",1.4884702,1.8385283,-1.0258497,-0.8507135,-0.1301787,0.3659998,-0.4961785
39,0.8487758,1.3938495,"('exploitative', 'cooperative')",-0.2530595,0.07731741,-0.07112916,0.3088122,0.1748624,0.5933263,-0.4184639
2,0.8297972,1.0552006,"('unlikable', 'likable')",1.1981537,1.4582577,0.57329094,0.63980603,0.8670807,1.0510881,-0.1840074
48,-0.81382644,-0.6540425,"('unintelligent', 'intelligent')",1.0464734,1.2018054,0.1291155,0.35313663,0.1205875,0.3002998,-0.1797123
47,-0.81266767,-0.5667311,"('stupid', 'smart')",0.6060423,0.7298293,5.1520395,5.1616707,1.6484714,1.774923,-0.1264516
19,-0.8006503,-1.0970491,"('inhospitable', 'hospitable')",-0.9580123,-1.0966302,0.17709419,0.08337279,-0.5271895,-0.7034355,0.176246
26,-0.7839836,-0.7474525,"('hardhearted', 'benevolent')",0.34613654,0.52286273,1.2747234,1.7521101,0.2789588,0.5091735,-0.2302147
13,-0.7761759,-0.4910017,"('impolite', 'polite')",0.096167214,0.15145269,-0.48844784,-0.42502898,-0.3894855,-0.2548593,-0.1346262
1,-0.7684522,-1.3693178,"('unfriendly', 'friendly')",0.7500747,0.5743388,1.8902397,1.8167803,0.6239541,0.3406005,0.2833536
69,0.7576849,0.40984464,"('lazy', 'industrious')",0.44493526,0.45399177,-0.5127362,-0.40569502,0.2299613,0.1527138,0.0772475
9,-0.75563884,-1.0345412,"('unaffectionate', 'caring')",0.4778427,0.32253107,1.2559059,1.0024006,0.3260366,0.0967968,0.2292398
46,-0.75144494,-0.6992011,"('uncompetitive', 'competitive')",0.40894654,0.36548093,-0.9333112,-0.73634356,-0.4252699,-0.3566879,-0.068582
68,-0.74758625,-0.70399624,"('dependent', 'independent')",-0.2921292,-0.29099476,-0.59765834,-0.6147585,-0.5457912,-0.5365832,-0.009208
60,-0.7396905,-0.4229839,"('inefficient', 'efficient')",2.1329808,2.2090273,-0.15592302,-0.13880895,0.4124558,0.5490781,-0.1366223
83,-0.7371338,-0.57965964,"('powerless', 'powerful')",0.60273284,0.76310205,-1.3281009,-1.3791292,-0.4875006,-0.3985623,-0.0889383
27,-0.73266035,-0.8922861,"('hardhearted', 'softhearted')",0.38664114,0.2869077,1.5125661,1.509954,0.3888489,0.3015252,0.0873237
44,0.71519935,1.119545,"('prejudiced', 'unprejudiced')",-0.34574294,-0.32851803,-1.3958805,-1.2329236,-0.3421414,-0.1472989,-0.1948425
63,-0.70959324,-0.92204326,"('unperceptive', 'insightful')",0.86803424,0.7037668,0.97213036,0.6894946,0.3768571,0.1570727,0.2197844
4,0.6884439,0.21717963,"('disliked', 'liked')",0.4589355,0.25031358,-6.2226753,-6.3346224,-1.6917653,-1.9557098,0.2639445
88,-0.68685466,-0.26821917,"('low', 'eminent')",-0.009595443,0.34306517,0.14209922,0.44862682,-0.1847836,0.1744909,-0.3592745
66,-0.6615536,-0.6409408,"('inactive', 'active')",-0.9564256,-0.7368543,0.8557323,1.0397327,-0.2540823,-0.1126875,-0.1413948
17,-0.6502938,-0.4514086,"('nasty', 'nice')",-1.2276711,-1.0915765,-0.74219507,-0.3863676,-0.8733867,-0.6431175,-0.2302692
65,-0.6474443,-0.0829394,"('insecure', 'secure')",0.5851598,0.76784694,-0.6034249,-0.50078714,-0.2219031,0.0613735,-0.2832766
18,-0.63584024,-0.5252039,"('disagreeable', 'welcoming')",-0.97725916,-0.88263524,-0.4784664,-0.1718942,-0.6971885,-0.5265778,-0.1706107
37,-0.6330822,-0.648114,"('fake', 'genuine')",0.4091229,0.29774576,0.51406515,0.2376368,0.0967019,-0.0375772,0.1342791
33,0.621701,0.2893203,"('wrong', 'right')",0.64409107,0.7077001,-0.5113763,-0.59616417,0.2514719,0.1336187,0.1178532
78,-0.6072125,-1.2547379,"('nonresilient', 'resilient')",0.54188603,0.19802144,0.16982599,0.07122809,0.0348332,-0.3284961,0.3633293
21,-0.6066417,-0.101679265,"('immoral', 'moral')",1.4058205,1.4978958,-0.8560753,-0.69792575,-0.0189655,0.2327636,-0.2517291
