,anthem_male,anthem_female,tuple,inc_male,inc_female,average_male,average_female,male-female
52,-3.5468185,-2.6310415,"('irrational', 'rational')",-0.59875923,-0.40599358,-2.072789,-1.5185175,-0.5542715
60,3.537933,2.3539858,"('inefficient', 'efficient')",0.32942593,0.3489042,1.9336796,1.351445,0.5822346
23,2.7172635,2.2718313,"('insincere', 'sincere')",6.1215906,5.8942266,4.4194269,4.0830288,0.3363981
31,-2.7169695,-1.7355304,"('evil', 'good')",-1.1535871,-0.9043232,-1.9352783,-1.3199267,-0.6153516
56,2.69325,1.7977002,"('impractical', 'practical')",-0.20648293,-0.34330636,1.2433835,0.7271969,0.5161866
36,-2.6190727,-1.4742957,"('hostile', 'amicable')",-0.28713903,-0.10936512,-1.4531058,-0.7918304,-0.6612754
62,2.579292,1.7077817,"('incompetent', 'brilliant')",0.17126106,0.13204196,1.3752766,0.9199118,0.4553648
7,2.4636848,1.9238846,"('insensitive', 'sensitive')",1.3152628,1.1738524,1.8894738,1.5488685,0.3406053
75,-2.411164,-1.9089031,"('meek', 'impulsive')",-0.6871025,-0.66919464,-1.5491333,-1.2890489,-0.2600844
4,-2.3077924,-1.6835692,"('disliked', 'liked')",-7.100278,-6.606777,-4.7040353,-4.1451731,-0.5588622
35,-2.2406778,-1.1558218,"('corrupt', 'incorrupt')",-0.41678324,-0.245148,-1.3287306,-0.7004849,-0.6282457
10,2.2345808,1.1247561,"('unsympathetic', 'sympathetic')",-0.19365545,-0.5491371,1.0204626,0.2878095,0.7326531
6,-2.220949,-1.2061963,"('distant', 'open')",-0.09895847,0.1963706,-1.1599537,-0.5049129,-0.6550408
55,2.2096877,0.98532677,"('incompetent', 'clever')",0.30045778,0.03124111,1.2550727,0.5082839,0.7467888
43,2.1920724,1.2662857,"('irresponsible', 'responsible')",0.98304915,0.66117454,1.5875608,0.9637301,0.6238307
16,-2.1452262,-1.630262,"('unpopular', 'popular')",-0.30952597,-0.082693,-1.2273761,-0.8564775,-0.3708986
48,2.0559657,1.3551708,"('unintelligent', 'intelligent')",0.45765927,0.5825662,1.2568125,0.9688685,0.287944
70,2.0206554,1.1654708,"('lethargic', 'energetic')",0.91117126,0.6926954,1.4659133,0.9290831,0.5368302
59,-2.0203884,-1.0005475,"('foolish', 'wise')",0.23710206,0.4149362,-0.8916432,-0.2928057,-0.5988375
5,-1.9754294,-1.0811677,"('distant', 'outgoing')",-0.51188815,-0.23693222,-1.2436588,-0.65905,-0.5846088
