,starwood_male,starwood_female,tuple,hotels_male,hotels_female,&_male,&_female,rest_male,rest_female,wldwd_male,wldwd_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.1410615,-1.9271743,"('unfriendly', 'friendly')",0.36333534,0.4058359,-0.34129202,-0.19612184,-0.4857839,-0.3056889,-1.8795586,-1.8088791,1.9031566,1.5881326,-0.4302007,-0.3739826,-0.0562181
42,1.4402696,1.3320667,"('unreliable', 'reliable')",1.2337098,1.1988088,1.4932246,1.323851,1.2837651,1.2720767,0.5431373,0.58650786,-3.0605545,-2.876934,0.4889253,0.4727294,0.0161959
53,-1.3847675,-1.2731061,"('uncreative', 'creative')",0.8166681,0.84856635,0.03984733,0.10583672,-0.20402268,-0.08404411,-0.06635934,0.0012331158,1.3470294,1.1523718,0.0913992,0.125143,-0.0337438
6,-1.30756,-1.15285,"('distant', 'open')",-0.13083068,-0.030433394,0.008481309,0.16378799,-2.7651117,-2.522343,-1.8920625,-1.7200195,0.46604016,0.20634763,-0.9368406,-0.8425851,-0.0942555
36,-1.2767521,-1.2508861,"('hostile', 'amicable')",-1.4211452,-1.4229667,0.30122936,0.46438164,-2.8006926,-2.7654152,-2.6215763,-2.5636134,0.16285795,-0.17184687,-1.2760131,-1.2850578,0.0090447
31,-1.2440531,-1.048071,"('evil', 'good')",-1.6185204,-1.5379463,-0.5161649,-0.24398772,-3.7387965,-3.561708,-2.1333826,-1.913599,-1.320057,-1.5815545,-1.7618291,-1.6478111,-0.114018
86,-1.0687305,-1.0867771,"('uninfluential', 'influential')",0.7282992,0.6736363,-0.5380156,-0.7652155,1.6378073,1.6443459,-0.5246055,-0.64880615,-0.2095252,-0.109694526,0.0042049,-0.0487519,0.0529568
76,1.043159,0.9206639,"('anxious', 'daring')",0.88521653,0.94040036,1.056431,0.9017327,1.7951545,1.8064734,1.151802,1.1593953,-0.008724347,0.23241612,0.9871732,0.9935136,-0.0063404
25,-1.0199786,-0.88685316,"('egoistic', 'altruistic')",-0.5116038,-0.4413998,-0.111222394,0.023124445,-0.55539095,-0.4258421,-1.807983,-1.6601781,1.1576141,1.0529194,-0.4747608,-0.3897049,-0.0850559
87,1.0068843,0.8469771,"('unsuccessful', 'successful')",1.6901441,1.6615479,1.6137352,1.4786227,1.9507662,1.8567331,1.3789651,1.4369229,0.75086457,0.77902746,1.3985599,1.3433053,0.0552546
64,0.9818921,0.7120411,"('shy', 'confident')",0.9613725,0.850574,0.9001663,0.7742286,0.990428,0.91885746,1.0479833,1.0505717,-6.774351,-6.602397,-0.3154182,-0.3826874,0.0672692
20,-0.904725,-0.9037833,"('rough', 'thoughtful')",-0.37942588,-0.33433497,-0.010867063,-0.046592064,0.23328193,0.31904164,-0.47297668,-0.4808,0.7875275,0.8232956,-0.1245309,-0.1038622,-0.0206687
34,-0.9044168,-0.8283855,"('mean', 'honorable')",0.18273003,0.1912182,-0.061666206,-0.047207348,0.7034389,0.7072448,0.16033348,0.10925896,6.2436633,6.221028,1.0540138,1.0588595,-0.0048457
73,0.87698567,0.9528729,"('helpless', 'self-reliant')",0.2299696,0.1905951,0.64805907,0.61994416,-0.35490894,-0.3127277,-0.3444929,-0.35807252,-3.8595333,-3.8595026,-0.4673201,-0.4611484,-0.0061717
5,-0.85538524,-0.73386127,"('distant', 'outgoing')",-0.14557861,-0.109641105,-0.06706199,0.08867806,-2.7877135,-2.5410209,-1.2830578,-1.038178,-0.19298822,-0.38261393,-0.8886309,-0.7861063,-0.1025246
39,0.84068245,0.8760714,"('exploitative', 'cooperative')",0.8598513,0.85625476,0.6964407,0.698941,1.44448,1.4478737,-0.26707667,-0.25980896,0.015546054,0.045931,0.5983206,0.6108772,-0.0125566
77,-0.83300966,-0.97785884,"('unmotivated', 'motivated')",-0.6155948,-0.592066,-0.76097447,-0.8008375,0.7271367,0.7657736,0.100413874,0.17158061,-1.2457355,-1.0408388,-0.4379607,-0.4123745,-0.0255862
50,0.7974405,0.66457856,"('clumsy', 'skillful')",-0.15298119,-0.13280958,1.778711,1.7056315,-0.2204938,-0.2153826,0.59350944,0.6392555,0.4732902,0.44651258,0.5449127,0.5179644,0.0269483
62,0.78946495,0.84294873,"('incompetent', 'brilliant')",1.3956373,1.5208535,-0.23149082,-0.39795375,2.5752113,2.6377583,0.7049915,0.7349036,-0.48716357,-0.11361715,0.7911084,0.8708156,-0.0797072
19,-0.77983356,-0.59661674,"('inhospitable', 'hospitable')",-1.4408857,-1.3391591,-1.2453398,-1.179198,-2.5257788,-2.4339168,-0.8025262,-0.68956757,-0.21086034,-0.3532319,-1.1675374,-1.0986151,-0.0689223
48,-0.759178,-0.9470642,"('unintelligent', 'intelligent')",-0.24406531,-0.24151811,-1.1043383,-1.3062445,1.2920725,1.2929144,-0.73677236,-0.8463638,0.14543101,0.2584124,-0.2344751,-0.2983106,0.0638355
49,-0.7489995,-0.7535095,"('unable', 'able')",-0.33561108,-0.21323198,-0.8882655,-0.938254,-0.59331477,-0.5236711,-0.81185544,-0.72067297,-0.84162694,-0.74016255,-0.7032789,-0.6482504,-0.0550285
80,0.71541125,0.6263277,"('dominated', 'dominating')",0.27738863,0.22870032,0.64825845,0.43884236,2.1052296,2.0026052,1.2654659,1.2029871,-1.5520089,-1.3259469,0.5766241,0.5289193,0.0477048
82,-0.710158,-0.65583646,"('poor', 'rich')",0.9062438,0.97856474,0.7508229,0.7484228,0.37245208,0.49638522,0.55795985,0.61504513,6.55633,6.724042,1.4056085,1.4844373,-0.0788288
27,-0.6374817,-0.5342057,"('hardhearted', 'softhearted')",-0.5073978,-0.44789055,-0.3348474,-0.3364127,0.38592574,0.3897549,-0.3195357,-0.34805658,1.3481498,1.2268299,-0.0108645,-0.0083301,-0.0025344
