,rowan_male,rowan_female,tuple,companies_male,companies_female,plc_male,plc_female,average_male,average_female,male-female
31,-6.2241254,-5.9583063,"('evil', 'good')",-1.1954209,-0.99698687,-0.13318188,0.09241032,-2.5175761,-2.2876277,-0.2299484
36,-6.1525893,-5.977474,"('hostile', 'amicable')",-2.1858273,-2.4020677,0.91849923,0.8261852,-2.473306,-2.5177854,0.0444794
81,5.8299446,5.3800707,"('submissive', 'aggressive')",2.0145802,1.5382948,-1.0145684,-1.3559283,2.2766522,1.8541457,0.4225065
60,5.737744,5.404427,"('inefficient', 'efficient')",2.3145504,2.3712182,-0.64793724,-0.6176538,2.4681188,2.3859971,0.0821217
55,5.5499053,5.3578076,"('incompetent', 'clever')",2.159364,2.0016184,0.06536721,-0.082414135,2.5915456,2.4256706,0.165875
10,5.2778015,4.704254,"('unsympathetic', 'sympathetic')",1.4718889,0.98661345,-0.36206603,-0.52988553,2.1292082,1.7203274,0.4088808
35,-5.2334514,-5.029496,"('corrupt', 'incorrupt')",-2.4042678,-2.4757254,-0.2518783,-0.21359421,-2.6298658,-2.5729386,-0.0569272
46,5.164939,4.891745,"('uncompetitive', 'competitive')",2.6801896,2.557044,-0.7706719,-0.9393268,2.3581522,2.1698208,0.1883314
62,4.874898,4.915676,"('incompetent', 'brilliant')",2.1786094,2.4752674,0.3121513,0.5947148,2.4552196,2.6618861,-0.2066665
80,4.8465915,4.450189,"('dominated', 'dominating')",1.3644578,1.4077032,0.17312068,0.0141219795,2.1280565,1.957338,0.1707185
70,4.7921333,4.4509854,"('lethargic', 'energetic')",1.2628056,1.1149681,0.4442346,0.3791709,2.1663911,1.981708,0.1846831
85,-4.591574,-4.5711856,"('insignificant', 'prestigious')",-0.8027059,-0.9226502,0.5855057,0.4173811,-1.6029247,-1.6921515,0.0892268
14,4.504295,3.9946177,"('antisocial', 'social')",2.608689,2.450586,0.2738184,-0.013125826,2.4622674,2.144026,0.3182414
52,-4.469526,-4.182461,"('irrational', 'rational')",-2.0122216,-2.0769718,0.0051700138,0.04142093,-2.1588593,-2.0726706,-0.0861887
45,4.1731243,4.2435946,"('incompetent', 'competent')",1.618745,1.9111933,0.76578903,0.72288406,2.1858861,2.2925574,-0.1066713
6,-4.1640983,-4.147785,"('distant', 'open')",-1.845229,-2.0169365,0.7669101,0.9267146,-1.7474724,-1.7460024,-0.00147
7,4.129201,3.7491732,"('insensitive', 'sensitive')",0.9831566,0.96127355,0.87416404,1.0207338,1.9955072,1.9103936,0.0851136
69,-4.003928,-4.05336,"('lazy', 'industrious')",-0.5352845,-0.3757843,-0.13019837,-0.18937631,-1.5564704,-1.5395069,-0.0169635
56,3.974228,4.0290785,"('impractical', 'practical')",1.7029701,1.7946565,0.4363913,0.57841015,2.0378631,2.1340485,-0.0961854
76,3.7443287,3.366863,"('anxious', 'daring')",1.2763027,1.0751438,-0.2836488,-0.51982063,1.5789941,1.3073955,0.2715986
86,3.667853,3.501795,"('uninfluential', 'influential')",0.68576765,0.50042266,0.4111945,0.2649365,1.5882716,1.4223847,0.1658869
59,-3.543796,-3.1817966,"('foolish', 'wise')",-1.485158,-1.4014305,0.45339596,0.5140256,-1.5251861,-1.3564005,-0.1687856
5,-3.529344,-3.4552577,"('distant', 'outgoing')",-1.2822962,-1.3342333,0.6241167,0.811984,-1.3958411,-1.3258355,-0.0700056
65,3.5227163,3.228454,"('insecure', 'secure')",1.0771255,0.8934872,0.059983775,-0.048608575,1.5532753,1.3577776,0.1954977
13,3.174503,3.0023975,"('impolite', 'polite')",1.0211817,0.9042608,-0.5977794,-0.6582849,1.1993019,1.0827912,0.1165107
79,-3.1334968,-3.042541,"('wavering', 'unwavering')",-1.688419,-1.8074565,0.4183379,0.50712824,-1.4678593,-1.4476231,-0.0202362
16,-3.093115,-2.8567147,"('unpopular', 'popular')",-1.7134979,-1.458609,-0.30580407,-0.09621677,-1.7041391,-1.4705135,-0.2336256
23,3.030827,3.0242188,"('insincere', 'sincere')",0.6294893,0.5345172,5.2878156,5.567339,2.9827105,3.0420249,-0.0593144
30,2.9352343,2.8738794,"('intolerant', 'tolerant')",2.3810034,2.1546514,0.3829852,0.311773,1.8997409,1.7801013,0.1196396
57,2.9349575,2.9847138,"('unimaginative', 'imaginative')",1.0784115,0.86913794,-1.3256577,-1.6317866,0.8959037,0.7406884,0.1552153
51,2.919886,2.520261,"('uneducated', 'educated')",0.860332,0.66893,0.50487584,0.27083322,1.4283646,1.1533415,0.2750231
43,2.880478,2.5507193,"('irresponsible', 'responsible')",0.7193482,0.57380027,0.98727286,0.85099614,1.529033,1.3251719,0.2038611
21,2.74022,2.4759371,"('immoral', 'moral')",1.1981993,0.9699687,-1.3408104,-1.4612176,0.8658697,0.6615627,0.204307
4,-2.7385814,-2.5707078,"('disliked', 'liked')",0.23584086,0.59320253,-4.9383664,-5.045861,-2.4803689,-2.341122,-0.1392469
19,-2.6532924,-2.5535314,"('inhospitable', 'hospitable')",-1.6294448,-1.7440153,0.10790904,0.11943008,-1.3916094,-1.3927056,0.0010962
74,2.6449335,2.720865,"('undedicated', 'dedicated')",1.3888547,1.4706113,0.94464344,0.84631985,1.6594772,1.6792653,-0.0197881
12,2.6258612,2.551173,"('unsupportive', 'supportive')",1.4739056,1.7700274,-0.96893394,-0.8752571,1.0436109,1.1486478,-0.1050369
39,2.5569978,2.3353424,"('exploitative', 'cooperative')",1.253519,0.98598033,0.6789657,0.48684683,1.4964941,1.2693899,0.2271042
24,2.5506258,2.4897292,"('dishonest', 'honest')",-0.045662668,-0.24206357,0.8900154,0.92671543,1.1316595,1.058127,0.0735325
0,2.5250885,2.3244798,"('unsociable', 'sociable')",1.2501174,1.0310389,-0.6680645,-0.7071302,1.0357138,0.8827962,0.1529176
11,2.2896461,2.2139008,"('unhelpful', 'helpful')",0.8871146,0.868277,1.6276873,1.6062592,1.6014827,1.5628123,0.0386704
44,-2.2776604,-2.5180068,"('prejudiced', 'unprejudiced')",-0.65392655,-0.74831384,-1.6722744,-1.8130945,-1.5346204,-1.6931384,0.158518
22,2.2713628,2.272338,"('untrustworthy', 'trustworthy')",0.6841168,0.78833956,-0.43472135,-0.5693893,0.8402527,0.8304294,0.0098233
75,-2.2497182,-1.87519,"('meek', 'impulsive')",-1.1329975,-0.8007115,-0.63020116,-0.5553798,-1.337639,-1.0770938,-0.2605452
63,2.1101253,1.946683,"('unperceptive', 'insightful')",1.4099679,1.625087,1.1799732,1.3157513,1.5666889,1.6291739,-0.062485
72,2.0650005,2.0679662,"('unambitious', 'ambitious')",0.40797585,0.57378215,0.6324166,0.78986144,1.035131,1.14387,-0.108739
1,-2.0154717,-1.7859075,"('unfriendly', 'friendly')",-0.8245718,-0.8695395,2.444598,2.788036,-0.1318152,0.0441964,-0.1760116
29,-1.9682647,-1.9802214,"('unfair', 'fair')",-1.5964553,-1.5174706,-0.55185866,-0.61880785,-1.372193,-1.3721666,-2.64e-05
48,1.9554594,1.7828617,"('unintelligent', 'intelligent')",-0.15586941,-0.2454103,-0.41086358,-0.42557237,0.4629088,0.3706263,0.0922825
28,1.8428179,1.6739155,"('disloyal', 'loyal')",0.35296756,0.09858191,1.1952764,1.1998645,1.1303539,0.9907873,0.1395666
87,1.7441618,1.6316379,"('unsuccessful', 'successful')",2.2743974,2.3856387,1.7083561,1.6087996,1.9089718,1.8753587,0.0336131
32,1.7102846,1.3547156,"('unkind', 'kind')",0.8130002,0.56865484,1.055123,1.104897,1.1928026,1.0094225,0.1833801
26,1.5670316,1.2056746,"('hardhearted', 'benevolent')",1.8704697,1.4333984,2.63462,2.252617,2.0240405,1.6305633,0.3934772
25,-1.5485195,-1.4663885,"('egoistic', 'altruistic')",0.43029281,0.47972298,1.5364048,1.5646819,0.1393927,0.1926721,-0.0532794
77,1.454588,1.3380178,"('unmotivated', 'motivated')",0.4094001,0.27190775,-1.4562523,-1.5180832,0.1359119,0.0306141,0.1052978
42,1.2816197,0.7937859,"('unreliable', 'reliable')",0.35988843,0.15094167,-1.9808885,-2.3096995,-0.1131268,-0.4549906,0.3418638
50,-1.2340342,-0.91030335,"('clumsy', 'skillful')",-1.3919528,-1.2756995,-0.25287533,-0.18002668,-0.9596208,-0.7886765,-0.1709443
61,1.1970466,0.9876172,"('illogical', 'logical')",0.21326973,-0.12064648,0.7159819,0.48706865,0.7087661,0.4513465,0.2574196
88,1.1833155,0.9451246,"('low', 'eminent')",0.27712443,-0.010773956,0.50493604,0.36905995,0.6551253,0.4344702,0.2206551
37,1.134993,0.9602785,"('fake', 'genuine')",-0.20454913,-0.43039975,0.97243315,0.9829701,0.6342923,0.504283,0.1300093
82,1.0831846,1.2279129,"('poor', 'rich')",0.44695157,0.45281067,5.532755,6.145474,2.354297,2.6087325,-0.2544355
73,-1.0328811,-0.76680446,"('helpless', 'self-reliant')",0.18132496,0.4163887,-2.4915597,-2.3865638,-1.1143719,-0.9123265,-0.2020454
78,0.9677093,1.0753202,"('nonresilient', 'resilient')",0.5962964,0.8093005,0.10846886,0.30638874,0.5574915,0.7303365,-0.172845
17,-0.96173865,-1.0918168,"('nasty', 'nice')",-0.39040804,-0.43435043,-0.78469706,-0.8779846,-0.7122812,-0.8013839,0.0891027
47,0.9269239,0.92612416,"('stupid', 'smart')",0.1752172,0.10467735,5.186787,5.263091,2.0963093,2.0979643,-0.001655
3,0.91426235,0.7642839,"('repellent', 'pleasant')",0.95238084,0.7658046,-0.20372139,-0.11972591,0.5543073,0.4701208,0.0841865
