,legg_male,legg_female,tuple,mason_male,mason_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.2312114,-1.9152334,"('unsympathetic', 'sympathetic')",0.6251227,0.7307007,0.3195754,0.6094515,-0.4288377,-0.1916937,-0.237144
57,-2.204441,-1.6325067,"('unimaginative', 'imaginative')",-0.75830483,-0.46038616,-2.6000583,-2.5944748,-1.8542681,-1.5624558,-0.2918123
0,-2.1528876,-1.7889808,"('unsociable', 'sociable')",0.59956276,0.7541602,-0.5544444,-0.30379486,-0.7025898,-0.4462051,-0.2563847
48,-2.1417243,-2.2852867,"('unintelligent', 'intelligent')",0.44797128,0.09102865,0.53759474,0.3546059,-0.3853861,-0.6132174,0.2278313
73,2.116336,1.8453064,"('helpless', 'self-reliant')",0.4908015,0.63169074,-2.9981017,-3.1663013,-0.1303213,-0.229768,0.0994467
86,-2.0364938,-1.3538104,"('uninfluential', 'influential')",-0.31761673,-0.0356748,-0.32864666,-0.044301182,-0.8942524,-0.4779288,-0.4163236
23,-1.8631907,-2.0685709,"('insincere', 'sincere')",1.4266487,1.0440953,6.1593614,6.0510883,1.9076064,1.6755376,0.2320688
11,-1.5746518,-1.3101078,"('unhelpful', 'helpful')",0.82435954,0.6698931,2.3547883,2.5404499,0.534832,0.6334117,-0.0985797
1,-1.5241514,-1.7869531,"('unfriendly', 'friendly')",-0.8341199,-0.60312754,1.4318532,1.0066547,-0.3088061,-0.461142,0.1523359
41,-1.5140551,-1.2141558,"('unforgiving', 'forgiving')",0.36341882,0.63864267,-0.23268783,-0.21731223,-0.461108,-0.2642751,-0.1968329
35,1.4683709,1.2225794,"('corrupt', 'incorrupt')",-0.3516962,-0.36650953,-0.7623026,-0.88594323,0.118124,-0.0099578,0.1280818
32,-1.3851308,-1.3189579,"('unkind', 'kind')",0.28790736,0.106635205,0.9971086,1.0319284,-0.0333716,-0.0601314,0.0267598
45,-1.381333,-0.46615258,"('incompetent', 'competent')",0.78386045,1.1959121,-0.06935715,0.18890123,-0.2222766,0.3062203,-0.5284969
62,-1.3759404,-1.30755,"('incompetent', 'brilliant')",0.38481018,0.0656847,0.34409958,0.36643255,-0.2156769,-0.2918109,0.076134
46,-1.3434547,-0.80910903,"('uncompetitive', 'competitive')",-0.2503185,0.07597217,0.07075721,0.21394569,-0.507672,-0.1730637,-0.3346083
28,-1.2563736,-1.188509,"('disloyal', 'loyal')",0.5223161,0.66362363,1.1427056,1.1908535,0.136216,0.2219894,-0.0857734
78,-1.2390085,-0.99435437,"('nonresilient', 'resilient')",-0.23497146,-0.10164013,1.0875397,1.0455114,-0.1288134,-0.0168277,-0.1119857
63,-1.209343,-0.67041934,"('unperceptive', 'insightful')",0.43542838,0.63314706,1.4801835,1.5980424,0.235423,0.5202567,-0.2848337
60,-1.176533,-1.3396859,"('inefficient', 'efficient')",1.8246701,1.1174484,0.39762005,0.37011737,0.3485857,0.0492933,0.2992924
27,-1.1530868,-1.0833459,"('hardhearted', 'softhearted')",-0.07836736,-0.0025585778,1.3042724,1.2390367,0.0242728,0.0510441,-0.0267713
43,-1.138531,-1.0125422,"('irresponsible', 'responsible')",1.595493,1.5875181,1.0271289,1.0165179,0.494697,0.5304979,-0.0358009
77,-1.1020408,-1.3021939,"('unmotivated', 'motivated')",0.2960784,0.14700048,-0.8301064,-0.93128717,-0.5453562,-0.6954935,0.1501373
59,1.0945431,0.94071615,"('foolish', 'wise')",0.20596565,0.27167493,0.30283144,0.046966854,0.5344467,0.419786,0.1146607
26,-1.0721254,-0.9534751,"('hardhearted', 'benevolent')",-0.032070316,0.070667624,1.216026,1.1589019,0.0372767,0.0920315,-0.0547548
53,-1.0604323,-1.1282579,"('uncreative', 'creative')",-0.17790505,-0.13866305,1.1191524,0.8869713,-0.0397283,-0.1266499,0.0869216
72,-1.057595,-1.3096592,"('unambitious', 'ambitious')",0.06739588,-0.13749813,-0.9009742,-0.9592453,-0.6303911,-0.8021342,0.1717431
9,-1.0372335,-1.2334948,"('unaffectionate', 'caring')",0.5257362,0.504984,1.1913851,0.9751862,0.2266293,0.0822252,0.1444041
88,-1.0259186,-1.1070697,"('low', 'eminent')",-0.3462206,-0.5228101,0.135759,0.085797444,-0.4121267,-0.5146941,0.1025674
14,-1.0251244,-0.8874262,"('antisocial', 'social')",0.79659176,0.52036506,-0.9789785,-1.040967,-0.4025037,-0.4693427,0.066839
61,-1.0214303,-0.9269658,"('illogical', 'logical')",0.30209073,0.5185321,0.1503338,0.021697821,-0.1896686,-0.128912,-0.0607566
49,-1.0090462,-0.9415956,"('unable', 'able')",-0.7322557,-0.6622331,-0.06969871,-0.30720085,-0.6036669,-0.6370099,0.033343
3,-0.9743436,-1.0789189,"('repellent', 'pleasant')",0.03603074,-0.08065363,0.19954613,-0.022561016,-0.2462556,-0.3940446,0.147789
13,-0.9545953,-1.1053512,"('impolite', 'polite')",0.14289007,0.033933505,-0.2407062,-0.14371231,-0.3508038,-0.4050433,0.0542395
55,-0.9499396,-0.773244,"('incompetent', 'clever')",1.1299838,1.0219562,0.04505783,-0.09486443,0.075034,0.0512826,0.0237514
75,0.90389717,1.0922656,"('meek', 'impulsive')",-1.2611737,-1.1570569,-0.7197436,-0.72484416,-0.3590067,-0.2632118,-0.0957949
12,-0.8931956,-0.65818226,"('unsupportive', 'supportive')",1.0235422,1.3603982,-1.5006719,-1.4130111,-0.4567751,-0.2369317,-0.2198434
40,-0.87742597,-0.8266552,"('stingy', 'generous')",0.009552293,0.20655236,-1.6997098,-1.9124781,-0.8558612,-0.8441936,-0.0116676
7,-0.8747684,-0.80173767,"('insensitive', 'sensitive')",1.1485099,1.046939,0.94860363,0.79336536,0.4074484,0.3461889,0.0612595
70,-0.8650893,-0.5050171,"('lethargic', 'energetic')",0.7894704,0.7001812,1.0706416,1.2101375,0.3316742,0.4684339,-0.1367597
34,-0.85085046,-0.9368598,"('mean', 'honorable')",0.52800226,0.13941665,6.404374,6.257246,2.0271753,1.8199342,0.2072411
38,-0.843768,-0.52924424,"('untruthful', 'truthful')",0.52893656,0.9179842,0.14282364,0.21713611,-0.0573359,0.2019587,-0.2592946
19,0.8336431,1.0173504,"('inhospitable', 'hospitable')",-0.7277263,-0.3304403,0.023653321,0.13580771,0.04319,0.2742393,-0.2310493
67,0.82052964,0.6737881,"('doubtful', 'determined')",1.26591,1.0956794,-0.3260691,0.013475531,0.5867902,0.5943143,-0.0075241
33,0.8176683,0.7654166,"('wrong', 'right')",-0.03140248,0.36081794,-0.9249104,-1.0610484,-0.0462149,0.0217287,-0.0679436
84,0.7916822,0.65698516,"('inferior', 'superior')",1.045051,1.0379844,1.2610123,1.1882123,1.0325818,0.9610606,0.0715212
65,-0.79144514,-0.97006404,"('insecure', 'secure')",1.4090185,0.89418644,-0.051282477,-0.11388459,0.1887636,-0.0632541,0.2520177
58,-0.7835806,-0.1138332,"('undiscriminating', 'discriminating')",0.15225497,0.6486427,0.17078638,0.31076765,-0.1535131,0.2818591,-0.4353722
22,-0.771614,-0.5177051,"('untrustworthy', 'trustworthy')",-0.47627604,-0.17793284,-0.9727628,-0.99826455,-0.7402176,-0.5646342,-0.1755834
42,0.759791,0.90083903,"('unreliable', 'reliable')",0.4139151,0.49705434,-2.5164466,-2.34641,-0.4475802,-0.3161722,-0.131408
21,-0.7588002,-0.7526734,"('immoral', 'moral')",0.20619416,-0.06675577,-0.87143975,-1.0091195,-0.4746819,-0.6095162,0.1348343
81,-0.73230284,-0.7430165,"('submissive', 'aggressive')",-0.15081754,-0.6289706,-0.86699116,-0.62080574,-0.5833705,-0.6642643,0.0808938
8,-0.72014165,-1.031953,"('unaffectionate', 'affectionate')",-0.73193735,-0.6824915,0.7033254,0.4495806,-0.2495846,-0.4216212,0.1720366
54,-0.69645023,-0.8618901,"('incapable', 'capable')",0.11929592,0.25247896,0.960942,0.79693896,0.1279292,0.0625093,0.0654199
52,-0.6819506,-0.75476635,"('irrational', 'rational')",-1.2721347,-0.8387889,-0.33054397,-0.6210844,-0.7615431,-0.7382132,-0.0233299
50,0.6064253,0.70469797,"('clumsy', 'skillful')",0.2870763,0.3209874,0.7922902,0.7918895,0.5619306,0.6058582,-0.0439276
44,0.6043738,0.32623047,"('prejudiced', 'unprejudiced')",-0.4983946,-0.7387795,-1.7145263,-1.9532466,-0.5361824,-0.7885985,0.2524161
74,-0.46122515,0.0558035,"('undedicated', 'dedicated')",1.049701,1.4657718,0.25240362,0.43721616,0.2802931,0.6529305,-0.3726374
20,-0.45189655,-0.68953913,"('rough', 'thoughtful')",0.6481229,0.46211115,1.3045436,0.85493416,0.5002567,0.2091687,0.291088
5,0.43114153,0.45107383,"('distant', 'outgoing')",-0.9945446,-0.44634926,-0.285166,-0.469048,-0.2828564,-0.1547745,-0.1280819
6,0.41177723,0.4548095,"('distant', 'open')",-1.0709982,-0.44653824,0.3001005,0.10925795,-0.1197068,0.0391764,-0.1588832
17,-0.39692864,-0.28513485,"('nasty', 'nice')",0.16411203,0.054522276,-0.80594945,-0.84345686,-0.3462553,-0.3580232,0.0117679
47,-0.39594188,-0.35501227,"('stupid', 'smart')",0.3170959,0.12810509,5.3658695,5.302651,1.7623412,1.6919146,0.0704266
30,-0.39541882,-0.3600945,"('intolerant', 'tolerant')",0.57015955,0.40041214,1.0245786,1.0333494,0.3997731,0.357889,0.0418841
18,-0.39253855,-0.7661612,"('disagreeable', 'welcoming')",-0.50042284,-0.63934016,-0.5862364,-0.8720467,-0.4930659,-0.7591827,0.2661168
79,0.36981058,1.0130382,"('wavering', 'unwavering')",-0.4741551,0.18143006,0.034122102,0.29621422,-0.0234075,0.4968942,-0.5203017
4,0.3631644,0.8236021,"('disliked', 'liked')",-1.2630092,-0.930388,-6.7168913,-6.5993023,-2.538912,-2.2353627,-0.3035493
2,-0.3603795,-0.39395258,"('unlikable', 'likable')",0.69845635,0.84313726,0.23935512,0.09556769,0.1924773,0.1815841,0.0108932
24,-0.31902775,-0.31874317,"('dishonest', 'honest')",0.88338923,1.0267481,0.8008677,0.91958284,0.4550764,0.5425293,-0.0874529
69,0.31194043,0.20288317,"('lazy', 'industrious')",0.5070866,0.4943583,-0.79507345,-0.9096969,0.0079845,-0.0708185,0.078803
29,0.28297555,0.36512008,"('unfair', 'fair')",-0.244802,0.07368431,-0.4804471,-0.54035133,-0.1474245,-0.033849,-0.1135755
51,-0.25546524,-0.10709428,"('uneducated', 'educated')",0.5948532,0.43157783,0.40023887,0.5517248,0.2465423,0.2920694,-0.0455271
15,-0.22954883,-0.089355744,"('boring', 'funny')",-0.82375103,-0.6498842,-0.047361255,-0.0049314797,-0.3668871,-0.2480572,-0.1188299
71,0.20922297,0.16701977,"('diffident', 'self-confident')",1.3575033,1.4078404,0.48137674,0.32612184,0.682701,0.6336606,0.0490404
76,-0.20377985,-0.22975153,"('anxious', 'daring')",1.6873423,1.3828067,0.7264423,0.8012929,0.7366683,0.6514494,0.0852189
83,-0.20296848,-0.17299718,"('powerless', 'powerful')",-0.4805284,-0.448134,-1.0049922,-0.88855165,-0.5628297,-0.5032276,-0.0596021
64,-0.19993818,-0.07345036,"('shy', 'confident')",-0.53756344,-0.56083137,-6.3848643,-6.3024,-2.374122,-2.3122272,-0.0618948
37,-0.18477497,-0.114047654,"('fake', 'genuine')",-0.2618887,-0.07907074,0.7469831,0.9228133,0.1001065,0.2432316,-0.1431251
16,-0.17413434,-0.20675169,"('unpopular', 'popular')",-1.0456357,-0.9659866,0.28179836,0.072891235,-0.3126572,-0.3666157,0.0539585
56,-0.16817477,0.09773709,"('impractical', 'practical')",1.8880227,1.762165,0.24406548,0.38013843,0.6546378,0.7466802,-0.0920424
66,0.16649511,0.21292537,"('inactive', 'active')",-0.52015036,-0.3157282,0.744485,0.7692464,0.1302766,0.2221479,-0.0918713
68,-0.1598652,-0.014993716,"('dependent', 'independent')",0.21408543,0.18858641,-0.2965733,-0.34663615,-0.0807844,-0.0576811,-0.0231033
39,0.14123951,-0.30860364,"('exploitative', 'cooperative')",0.7331376,0.25428307,0.055401117,-0.38086373,0.3099261,-0.1450614,0.4549875
80,-0.121202484,0.11372671,"('dominated', 'dominating')",-0.6333293,-0.51329035,-1.2926619,-1.0747188,-0.6823978,-0.4914275,-0.1909703
87,-0.080448374,-0.0056923926,"('unsuccessful', 'successful')",0.51723844,0.4332223,0.5157842,0.39425904,0.3175248,0.2739296,0.0435952
85,-0.06974633,-0.2596775,"('insignificant', 'prestigious')",-1.0231104,-0.8155578,-0.23115738,-0.721628,-0.4413381,-0.5989544,0.1576163
82,-0.069730364,-0.001492355,"('poor', 'rich')",0.5949457,0.52493656,6.6083927,6.5578895,2.3778693,2.3604445,0.0174248
36,0.04301699,0.052982632,"('hostile', 'amicable')",-1.1893852,-1.1302257,-0.26629063,-0.56977534,-0.4708863,-0.5490061,0.0781198
25,0.03298467,-0.41344142,"('egoistic', 'altruistic')",0.011803211,-0.4397185,0.95907336,0.599307,0.3346204,-0.0846176,0.419238
31,-0.010530267,0.22400153,"('evil', 'good')",-1.5616945,-1.0213138,-1.5038694,-1.711375,-1.0253647,-0.8362291,-0.1891356
