,anadarko_male,anadarko_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,male-female
28,-1.6658311,-1.581095,"('disloyal', 'loyal')",0.5366427,0.45765477,0.68496543,0.44419262,-0.1480743,-0.2264159,0.0783416
0,-1.6621647,-1.8058974,"('unsociable', 'sociable')",0.7723931,0.6946491,0.020740725,0.036491666,-0.2896769,-0.3582522,0.0685753
86,-1.5950052,-1.4135848,"('uninfluential', 'influential')",0.14833756,0.30264634,-0.4192035,-0.32595515,-0.621957,-0.4789646,-0.1429924
10,-1.5218931,-1.559495,"('unsympathetic', 'sympathetic')",-0.13443466,-0.1514517,-0.09356371,-0.0006972393,-0.5832972,-0.570548,-0.0127492
1,-1.5217808,-1.4960767,"('unfriendly', 'friendly')",0.39916664,0.46166277,0.17590746,-0.04769308,-0.3155689,-0.3607024,0.0451335
45,-1.5102191,-1.3622651,"('incompetent', 'competent')",0.50146395,0.59211814,0.15218566,0.29921234,-0.2855232,-0.1569782,-0.128545
9,-1.4152611,-1.2857883,"('unaffectionate', 'caring')",0.11106329,0.054936543,0.26193145,0.1386891,-0.3474222,-0.3640542,0.016632
13,-1.4096795,-1.4012641,"('impolite', 'polite')",0.73902977,0.76897615,0.100518465,0.16138667,-0.1900438,-0.1569671,-0.0330767
57,-1.3965675,-1.003632,"('unimaginative', 'imaginative')",-0.212917,-0.13446707,-2.966879,-2.7634394,-1.5254545,-1.3005128,-0.2249417
43,-1.3671974,-1.4893737,"('irresponsible', 'responsible')",0.40808585,0.25046694,0.5655388,0.58800346,-0.1311909,-0.2169678,0.0857769
63,-1.3535529,-1.1794788,"('unperceptive', 'insightful')",0.9072733,0.9046492,0.52082247,0.5377072,0.0248476,0.0876259,-0.0627783
75,1.273059,1.2233243,"('meek', 'impulsive')",-0.94488525,-0.99264145,-0.6577224,-0.60788214,-0.1098496,-0.1257331,0.0158835
44,1.2610053,0.99452186,"('prejudiced', 'unprejudiced')",-0.087179095,-0.17970482,-1.2364246,-1.3244897,-0.0208661,-0.1698909,0.1490248
61,-1.1901956,-1.423368,"('illogical', 'logical')",0.9262387,0.88241905,0.46614456,0.42555723,0.0673959,-0.0384639,0.1058598
23,-1.1656406,-1.1570742,"('insincere', 'sincere')",0.7884217,0.69732964,5.7254934,5.4226565,1.7827582,1.654304,0.1284542
77,-1.1623235,-1.2037023,"('unmotivated', 'motivated')",0.56388396,0.46520692,-0.72874683,-0.6619543,-0.4423954,-0.4668166,0.0244212
8,-1.1574807,-0.9605613,"('unaffectionate', 'affectionate')",-0.40318027,-0.438471,-0.60827595,-0.7093988,-0.722979,-0.7028104,-0.0201686
41,-1.1178722,-0.9988807,"('unforgiving', 'forgiving')",0.3158608,0.25665128,-0.5322633,-0.5064923,-0.4447583,-0.4162406,-0.0285177
58,-1.0567651,-0.9586518,"('undiscriminating', 'discriminating')",0.2585909,0.32550466,-0.20953248,-0.17475833,-0.3359022,-0.2693018,-0.0666004
46,-1.0521748,-1.0918474,"('uncompetitive', 'competitive')",0.84956163,0.8302668,-0.12719062,-0.09045165,-0.1099346,-0.1173441,0.0074095
69,1.047896,1.1417478,"('lazy', 'industrious')",0.37429598,0.4251263,-1.0248758,-0.9487778,0.1324387,0.2060321,-0.0735934
78,-1.0477878,-0.87186456,"('nonresilient', 'resilient')",0.2837835,0.250644,0.46174484,0.4827633,-0.1007531,-0.0461524,-0.0546007
20,-1.0227594,-1.1106322,"('rough', 'thoughtful')",-0.54105455,-0.65361893,0.32522863,0.318167,-0.4128617,-0.482028,0.0691663
2,1.016949,0.3626485,"('unlikable', 'likable')",1.4182045,1.14779,0.6076156,0.3026295,1.0142563,0.604356,0.4099003
53,-0.98795426,-0.7298086,"('uncreative', 'creative')",-0.101194166,-0.06904488,-0.17098208,-0.34973705,-0.4200435,-0.3828635,-0.03718
7,-0.96771324,-0.70081437,"('insensitive', 'sensitive')",0.7250621,0.86674,0.39771768,0.63928473,0.0516888,0.2684035,-0.2167147
35,0.960658,1.0485146,"('corrupt', 'incorrupt')",-1.8853236,-1.8921218,-1.407727,-1.489945,-0.7774642,-0.7778508,0.0003866
67,0.9520525,0.67723894,"('doubtful', 'determined')",0.34293696,0.20750311,0.10381264,0.12145614,0.4662674,0.3353994,0.130868
12,-0.93216085,-0.883966,"('unsupportive', 'supportive')",0.7783637,0.79204,-1.9279071,-1.8448724,-0.6939014,-0.6455994,-0.048302
21,-0.9244104,-1.3467673,"('immoral', 'moral')",1.555643,1.4248605,0.1751878,0.030615196,0.2688068,0.0362361,0.2325707
11,-0.9071119,-0.9619238,"('unhelpful', 'helpful')",0.98338276,0.84300846,2.3527076,2.2630937,0.8096595,0.7147261,0.0949334
38,-0.8750604,-1.1283315,"('untruthful', 'truthful')",0.50646496,0.3831846,0.13346615,-0.045956306,-0.0783764,-0.2637011,0.1853247
60,-0.8103878,-1.1396298,"('inefficient', 'efficient')",1.3520063,1.1973389,0.8002846,0.73574805,0.4473011,0.2644857,0.1828154
83,-0.80632764,-1.0709467,"('powerless', 'powerful')",0.37170827,0.292374,-0.71844566,-0.76978284,-0.384355,-0.5161185,0.1317635
55,-0.8002767,-0.9859379,"('incompetent', 'clever')",0.9351999,0.80255723,0.87291735,0.74075407,0.3359469,0.1857911,0.1501558
19,-0.79682386,-0.7588612,"('inhospitable', 'hospitable')",-1.9202595,-1.8641984,-1.339557,-1.3882698,-1.3522135,-1.3371099,-0.0151036
15,0.776513,0.95166624,"('boring', 'funny')",-0.07757527,0.037304386,-0.17060643,-0.12895253,0.1761104,0.2866727,-0.1105623
74,-0.71927494,-0.9425746,"('undedicated', 'dedicated')",0.013850208,-0.083481535,-0.7175949,-0.87581265,-0.4743399,-0.6339563,0.1596164
48,-0.6877499,-0.49791497,"('unintelligent', 'intelligent')",1.1889154,1.1426446,1.0111219,0.8523102,0.5040958,0.4990133,0.0050825
22,-0.6472853,-0.7652374,"('untrustworthy', 'trustworthy')",0.38779938,0.37806293,-0.84561074,-0.6816845,-0.3683655,-0.3562863,-0.0120792
51,-0.62650573,-0.7576429,"('uneducated', 'educated')",-0.1424997,-0.26226133,0.83920836,0.72389907,0.023401,-0.0986684,0.1220694
36,-0.6227063,-0.66508895,"('hostile', 'amicable')",-2.609109,-2.5037217,-1.4820923,-1.7036068,-1.5713026,-1.6241391,0.0528365
3,-0.60516846,-0.5538774,"('repellent', 'pleasant')",-0.23465247,-0.15491405,0.8974433,1.022647,0.0192075,0.1046185,-0.085411
40,0.59802634,0.9260779,"('stingy', 'generous')",0.29229724,0.46275955,-2.5337117,-2.4552398,-0.547796,-0.3554674,-0.1923286
14,-0.58818626,-0.8447078,"('antisocial', 'social')",1.7854253,1.7733237,0.45375335,0.46115005,0.5503308,0.4632553,0.0870755
56,-0.5469216,-0.82747376,"('impractical', 'practical')",1.6987047,1.424945,0.30181235,0.24110481,0.4845318,0.2795254,0.2050064
32,-0.5439185,-0.7380398,"('unkind', 'kind')",0.1848056,0.15329127,0.6822907,0.57231236,0.1077259,-0.0041454,0.1118713
73,0.53473365,0.34776896,"('helpless', 'self-reliant')",1.021857,1.0384203,-3.6478124,-3.5573986,-0.6970739,-0.7237364,0.0266625
81,0.52511275,0.14613563,"('submissive', 'aggressive')",1.2981153,1.0676963,0.7481225,0.6158762,0.8571169,0.6099027,0.2472142
59,0.51230603,0.36561328,"('foolish', 'wise')",0.09304118,0.014359618,-0.4727389,-0.55743605,0.0442028,-0.0591544,0.1033572
26,-0.5105892,-0.3592992,"('hardhearted', 'benevolent')",0.5154582,0.799118,0.7789912,0.9011756,0.2612868,0.4469981,-0.1857113
27,-0.5013042,-0.30471826,"('hardhearted', 'softhearted')",-0.63526267,-0.591014,0.15942919,0.12788215,-0.3257126,-0.2559501,-0.0697625
66,0.47355446,0.5451274,"('inactive', 'active')",-1.0637318,-1.0716391,0.2978116,0.24715665,-0.0974552,-0.0931183,-0.0043369
37,-0.4499343,-0.2779536,"('fake', 'genuine')",-0.12364777,-0.012338378,-0.27094826,-0.18280594,-0.2815101,-0.1576993,-0.1238108
33,0.43674088,0.4206425,"('wrong', 'right')",1.003134,1.0197741,-0.98643297,-0.9821771,0.1511473,0.1527465,-0.0015992
65,-0.43470943,-0.76561713,"('insecure', 'secure')",0.65063775,0.5260253,0.76836884,0.6719479,0.3280991,0.1441187,0.1839804
42,0.4345368,0.18313444,"('unreliable', 'reliable')",0.7344513,0.63659126,-2.5361583,-2.4965656,-0.4557234,-0.5589466,0.1032232
6,-0.41621917,-0.32271162,"('distant', 'open')",-1.3535023,-1.2497333,-1.6375868,-1.7336679,-1.1357694,-1.1020376,-0.0337318
49,-0.40880412,-0.68346965,"('unable', 'able')",-0.42268407,-0.64201677,-0.2095535,-0.44539437,-0.3470139,-0.5902936,0.2432797
88,-0.40198538,-0.46457636,"('low', 'eminent')",-0.078248285,-0.08978817,-0.3371756,-0.5089275,-0.2724698,-0.3544307,0.0819609
16,-0.39587972,-0.5755442,"('unpopular', 'popular')",-0.54913914,-0.5998276,0.22717127,0.12069629,-0.2392825,-0.3515585,0.112276
52,-0.38751653,-0.45706668,"('irrational', 'rational')",-0.5081116,-0.42297837,-0.8390078,-0.99830866,-0.5782119,-0.6261179,0.047906
72,-0.37799332,-0.46479878,"('unambitious', 'ambitious')",0.55737895,0.4270309,-0.43904224,-0.49908334,-0.0865522,-0.1789504,0.0923982
31,-0.37449628,-0.15989543,"('evil', 'good')",-1.6226865,-1.4110489,-1.9490622,-1.9281514,-1.3154151,-1.1663652,-0.1490499
84,0.34753627,0.16751218,"('inferior', 'superior')",0.875193,0.7430504,0.97832024,0.85087097,0.7336831,0.5871445,0.1465386
82,0.34337276,0.19424081,"('poor', 'rich')",0.33541048,0.2492472,6.358041,5.9278955,2.3456081,2.1237946,0.2218135
70,-0.3387692,-0.21852218,"('lethargic', 'energetic')",0.047258783,0.072066985,0.41907242,0.56113833,0.0425207,0.1382277,-0.095707
30,-0.32518932,-0.46882343,"('intolerant', 'tolerant')",0.42305577,0.41611564,0.92617565,0.74264336,0.3413474,0.2299785,0.1113689
68,-0.30096808,-0.46423343,"('dependent', 'independent')",-1.2030835,-1.3640918,-0.46689212,-0.74753445,-0.6569812,-0.8586198,0.2016386
76,0.2908402,0.03985487,"('anxious', 'daring')",0.60028183,0.56079316,0.4566,0.3708859,0.4492407,0.3238447,0.125396
71,-0.2884783,-0.19995326,"('diffident', 'self-confident')",0.4750501,0.453018,-0.315813,-0.26548287,-0.0430804,-0.0041394,-0.038941
34,-0.27701455,-0.41136125,"('mean', 'honorable')",-0.14294656,-0.1687642,5.2369795,4.9852014,1.6056728,1.4683587,0.1373141
47,-0.2717579,-0.42711842,"('stupid', 'smart')",0.61311877,0.44854054,5.209535,4.9924774,1.8502987,1.6712998,0.1789989
39,-0.24332628,-0.5354516,"('exploitative', 'cooperative')",0.7025237,0.56770694,-0.10878654,-0.09542006,0.1168036,-0.0210549,0.1378585
29,-0.23273602,-0.31751648,"('unfair', 'fair')",-0.09056025,-0.19600546,-0.22344677,-0.2785303,-0.1822477,-0.2640174,0.0817697
87,-0.23141606,-0.5294725,"('unsuccessful', 'successful')",1.3565828,1.3070246,1.0767875,1.2047002,0.7339847,0.6607508,0.0732339
