,mcdonalds_male,mcdonalds_female,tuple,corp_male,corp_female,average_male,average_female,male-female
51,-1.5584428,-1.2748276,"('uneducated', 'educated')",-0.36838105,-0.29708415,-0.9634119,-0.7859559,-0.177456
15,1.2166412,1.1817228,"('boring', 'funny')",-0.20137154,-0.18653911,0.5076348,0.4975918,0.010043
5,1.2124735,0.94199693,"('distant', 'outgoing')",-0.036413252,-0.3553425,0.5880301,0.2933272,0.2947029
72,-1.1838068,-1.1580279,"('unambitious', 'ambitious')",-0.029667314,-0.050473884,-0.606737,-0.6042509,-0.0024861
56,1.1792104,1.2362919,"('impractical', 'practical')",-0.27811646,-0.28336358,0.450547,0.4764642,-0.0259172
10,-1.1371174,-0.99400866,"('unsympathetic', 'sympathetic')",-0.36755696,-0.32711214,-0.7523372,-0.6605604,-0.0917768
65,-1.1128087,-0.999931,"('insecure', 'secure')",-0.2124168,0.014481197,-0.6626127,-0.4927249,-0.1698878
33,1.0809561,0.85930157,"('wrong', 'right')",-0.671335,-0.7842693,0.2048106,0.0375161,0.1672945
18,-1.0754683,-1.0116317,"('disagreeable', 'welcoming')",-0.8889927,-0.89192176,-0.9822305,-0.9517767,-0.0304538
85,1.0160362,0.6145484,"('insignificant', 'prestigious')",-0.4062578,-0.6434271,0.3048892,-0.0144393,0.3193285
11,-1.0083702,-0.98350155,"('unhelpful', 'helpful')",1.9318082,1.8742338,0.461719,0.4453661,0.0163529
88,-1.0045407,-1.0322034,"('low', 'eminent')",-0.5712497,-0.650573,-0.7878952,-0.8413882,0.053493
6,0.99320716,0.75440776,"('distant', 'open')",0.12878121,-0.1391453,0.5609942,0.3076312,0.253363
3,-0.97044647,-0.8910106,"('repellent', 'pleasant')",0.72233313,0.8006286,-0.1240567,-0.045191,-0.0788657
30,-0.9654038,-0.66351205,"('intolerant', 'tolerant')",0.33537203,0.45717886,-0.3150159,-0.1031666,-0.2118493
58,-0.95390654,-0.93967366,"('undiscriminating', 'discriminating')",-0.203311,-0.26319408,-0.5786088,-0.6014339,0.0228251
71,0.92622703,0.8176954,"('diffident', 'self-confident')",0.44085985,0.31292957,0.6835434,0.5653125,0.1182309
68,-0.90325123,-0.9277993,"('dependent', 'independent')",-1.0147166,-1.2137761,-0.9589839,-1.0707877,0.1118038
79,0.88909525,0.62075734,"('wavering', 'unwavering')",-0.13656966,-0.38190347,0.3762628,0.1194269,0.2568359
86,-0.8765354,-0.8704241,"('uninfluential', 'influential')",-0.56758136,-0.6452263,-0.7220584,-0.7578252,0.0357668
14,-0.8754185,-0.5879322,"('antisocial', 'social')",-0.78453875,-0.59740466,-0.8299786,-0.5926684,-0.2373102
64,-0.86232,-0.93764144,"('shy', 'confident')",-7.056745,-6.8317933,-3.9595325,-3.8847175,-0.074815
19,0.83750504,0.8721714,"('inhospitable', 'hospitable')",-0.45855328,-0.6746963,0.1894759,0.0987375,0.0907384
25,0.8333833,0.53103757,"('egoistic', 'altruistic')",0.85529643,0.77408415,0.8443398,0.6525608,0.191779
73,0.8273349,0.8012307,"('helpless', 'self-reliant')",-3.4314804,-3.466653,-1.3020728,-1.3327112,0.0306384
7,-0.7936698,-0.54195243,"('insensitive', 'sensitive')",0.27267423,0.46738428,-0.2604978,-0.0372841,-0.2232137
50,-0.7907898,-0.76452154,"('clumsy', 'skillful')",0.028476086,-0.105156794,-0.3811569,-0.4348392,0.0536823
83,-0.78594774,-0.7877374,"('powerless', 'powerful')",-1.4023166,-1.3664845,-1.0941322,-1.077111,-0.0170212
57,-0.782918,-0.870354,"('unimaginative', 'imaginative')",-3.407512,-3.4114733,-2.0952148,-2.1409137,0.0456989
4,0.76554644,0.7023156,"('disliked', 'liked')",-7.675665,-7.6217175,-3.4550593,-3.4597008,0.0046415
69,0.7138563,0.51109254,"('lazy', 'industrious')",-0.92578167,-1.1520035,-0.1059627,-0.3204555,0.2144928
55,-0.6879928,-0.5113989,"('incompetent', 'clever')",-0.18369159,-0.061071176,-0.4358422,-0.286235,-0.1496072
74,0.6764024,0.8023564,"('undedicated', 'dedicated')",-0.45319727,-0.52014637,0.1116026,0.141105,-0.0295024
54,0.67489976,0.62560326,"('incapable', 'capable')",0.9035907,0.84190077,0.7892452,0.733752,0.0554932
2,0.63840866,0.65013015,"('unlikable', 'likable')",0.34348077,0.29525852,0.4909447,0.4726943,0.0182504
40,-0.61527574,-0.6523521,"('stingy', 'generous')",-2.3753092,-2.4383614,-1.4952924,-1.5453568,0.0500644
32,-0.6031379,-0.44185656,"('unkind', 'kind')",0.49629518,0.598311,-0.0534214,0.0782272,-0.1316486
