,cigna_male,cigna_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.5484116,-1.3608977,"('uninfluential', 'influential')",-0.3939799,-0.23108472,-0.9711958,-0.7959912,-0.1752046
69,1.522998,1.5603825,"('lazy', 'industrious')",-0.7228161,-1.0536252,0.4000909,0.2533786,0.1467123
10,-1.2933375,-1.2376461,"('unsympathetic', 'sympathetic')",0.06066389,0.49846137,-0.6163368,-0.3695924,-0.2467444
51,-1.2855356,-1.311135,"('uneducated', 'educated')",0.3419401,0.39780548,-0.4717977,-0.4566648,-0.0151329
1,-1.274872,-0.99298805,"('unfriendly', 'friendly')",0.7249321,0.6359103,-0.2749699,-0.1785389,-0.096431
57,-1.2566313,-0.85053134,"('unimaginative', 'imaginative')",-3.165118,-3.0666857,-2.2108746,-1.9586085,-0.2522661
53,-1.1409662,-0.93842596,"('uncreative', 'creative')",0.25194505,0.22925356,-0.4445106,-0.3545862,-0.0899244
2,1.0332772,1.3751198,"('unlikable', 'likable')",0.53187186,0.6462249,0.7825745,1.0106723,-0.2280978
45,-1.0149151,-1.0300479,"('incompetent', 'competent')",0.060326923,0.055925477,-0.4772941,-0.4870612,0.0097671
73,0.9544481,1.0410541,"('helpless', 'self-reliant')",-3.5097926,-3.7780695,-1.2776723,-1.3685076,0.0908353
19,-0.94904,-0.78618956,"('inhospitable', 'hospitable')",-0.76041716,-0.78146756,-0.8547286,-0.7838286,-0.0709
42,0.9379577,1.1375716,"('unreliable', 'reliable')",-2.751157,-2.6929226,-0.9065996,-0.7776755,-0.1289241
0,-0.9290405,-0.862012,"('unsociable', 'sociable')",-0.13755032,0.084581524,-0.5332954,-0.3887153,-0.1445801
31,-0.8806599,-0.49190548,"('evil', 'good')",-1.6040795,-1.6637937,-1.2423697,-1.0778496,-0.1645201
13,-0.8800378,-1.132166,"('impolite', 'polite')",-0.32307658,-0.28261316,-0.6015572,-0.7073896,0.1058324
61,-0.84246236,-0.8620917,"('illogical', 'logical')",0.53507334,0.589322,-0.1536945,-0.1363849,-0.0173096
75,0.82514375,1.1599321,"('meek', 'impulsive')",-0.8165318,-0.8379997,0.004306,0.1609662,-0.1566602
84,0.783651,0.9638525,"('inferior', 'superior')",0.89787894,0.70371574,0.840765,0.8337841,0.0069809
79,-0.77694917,-0.5013428,"('wavering', 'unwavering')",-0.8770296,-0.8612651,-0.8269894,-0.681304,-0.1456854
85,0.7058281,1.0131603,"('insignificant', 'prestigious')",-0.7994676,-1.0467632,-0.0468198,-0.0168014,-0.0300184
59,0.6909113,0.7127692,"('foolish', 'wise')",-0.22807246,-0.44097605,0.2314194,0.1358966,0.0955228
11,-0.6861257,-1.06113,"('unhelpful', 'helpful')",1.6647114,1.5836986,0.4892928,0.2612843,0.2280085
6,-0.6743615,-0.4886384,"('distant', 'open')",-0.993141,-0.94325686,-0.8337513,-0.7159476,-0.1178037
7,-0.6678996,-0.8029116,"('insensitive', 'sensitive')",0.5880668,0.5602343,-0.0399164,-0.1213386,0.0814222
36,-0.6656288,0.049581483,"('hostile', 'amicable')",-0.81340665,-0.7610689,-0.7395177,-0.3557437,-0.383774
5,-0.6474297,-0.3527811,"('distant', 'outgoing')",-1.0917565,-1.2139772,-0.8695931,-0.7833791,-0.086214
68,-0.62392706,-0.7744707,"('dependent', 'independent')",-0.57367676,-0.60302,-0.5988019,-0.6887454,0.0899435
50,0.6146076,0.36894175,"('clumsy', 'skillful')",0.020974599,-0.13596785,0.3177911,0.116487,0.2013041
28,-0.61395156,-0.5560385,"('disloyal', 'loyal')",0.55950445,0.6588376,-0.0272236,0.0513996,-0.0786232
46,-0.60809386,-0.5563997,"('uncompetitive', 'competitive')",-0.39121193,-0.23405057,-0.4996529,-0.3952251,-0.1044278
8,-0.60122615,-0.40988007,"('unaffectionate', 'affectionate')",-0.09781954,-0.06324546,-0.3495228,-0.2365628,-0.11296
38,-0.5956024,-0.72095454,"('untruthful', 'truthful')",-0.42441896,-0.5632211,-0.5100107,-0.6420878,0.1320771
23,-0.5918355,-0.90345216,"('insincere', 'sincere')",5.9081874,5.9816103,2.6581759,2.5390792,0.1190967
25,0.58225316,0.77581656,"('egoistic', 'altruistic')",1.0770144,0.9037804,0.8296338,0.8397985,-0.0101647
44,0.5690665,0.5658156,"('prejudiced', 'unprejudiced')",-1.2050099,-1.1879232,-0.3179717,-0.3110538,-0.0069179
67,0.55363905,0.59777707,"('doubtful', 'determined')",-0.36237574,-0.3437891,0.0956317,0.126994,-0.0313623
3,-0.5381363,-0.47127187,"('repellent', 'pleasant')",1.0574378,1.2305183,0.2596507,0.3796232,-0.1199725
21,-0.5177668,-0.33369467,"('immoral', 'moral')",0.11521402,0.25012407,-0.2012764,-0.0417853,-0.1594911
76,0.5137701,0.5433666,"('anxious', 'daring')",0.3828089,0.5741121,0.4482895,0.5587394,-0.1104499
24,-0.50208044,-0.31534594,"('dishonest', 'honest')",0.38260108,0.55069125,-0.0597397,0.1176727,-0.1774124
81,-0.4758978,-0.5718026,"('submissive', 'aggressive')",-0.22655432,-0.08361051,-0.3512261,-0.3277066,-0.0235195
9,-0.4538066,-0.5089424,"('unaffectionate', 'caring')",0.78436613,0.7806435,0.1652798,0.1358505,0.0294293
39,0.44954842,0.2580874,"('exploitative', 'cooperative')",0.22064069,0.15214798,0.3350946,0.2051177,0.1299769
63,-0.4308138,-0.64605594,"('unperceptive', 'insightful')",0.7423412,0.54267704,0.1557637,-0.0516894,0.2074531
16,0.42540208,0.09846985,"('unpopular', 'popular')",0.4265685,0.18567234,0.4259853,0.1420711,0.2839142
55,-0.4215312,-0.42707938,"('incompetent', 'clever')",0.78925306,0.9283985,0.1838609,0.2506596,-0.0667987
64,-0.4156997,-0.3342692,"('shy', 'confident')",-6.447569,-6.5741935,-3.4316342,-3.4542313,0.0225971
37,0.41143352,0.57975954,"('fake', 'genuine')",-0.027818406,0.10624748,0.1918076,0.3430035,-0.1511959
34,0.40446758,0.28756413,"('mean', 'honorable')",5.6053314,5.4937677,3.0048995,2.890666,0.1142335
54,-0.3866397,-0.2578276,"('incapable', 'capable')",0.59987605,0.6883876,0.1066182,0.21528,-0.1086618
78,-0.37735003,-0.54222935,"('nonresilient', 'resilient')",0.41553858,0.30422267,0.0190943,-0.1190033,0.1380976
88,-0.34648284,-0.08023099,"('low', 'eminent')",-0.5021309,-0.4178143,-0.4243069,-0.2490226,-0.1752843
43,-0.3414269,-0.32378116,"('irresponsible', 'responsible')",0.42670512,0.6218209,0.0426391,0.1490199,-0.1063808
33,0.33545074,0.59573525,"('wrong', 'right')",-0.8537008,-0.8745112,-0.2591251,-0.139388,-0.1197371
77,-0.33357155,-0.35001832,"('unmotivated', 'motivated')",-0.43529862,-0.52099067,-0.3844351,-0.4355045,0.0510694
65,-0.33229133,-0.6098367,"('insecure', 'secure')",0.20307769,0.24127023,-0.0646068,-0.1842832,0.1196764
71,0.3248347,0.24598095,"('diffident', 'self-confident')",0.20255625,0.14059079,0.2636955,0.1932859,0.0704096
62,0.317706,0.28684908,"('incompetent', 'brilliant')",0.86672443,0.88831425,0.5922152,0.5875816,0.0046336
82,-0.3123676,-0.47823557,"('poor', 'rich')",6.602963,6.7223687,3.1452978,3.1220665,0.0232313
41,-0.29999313,-0.18176056,"('unforgiving', 'forgiving')",-0.54844755,-0.37267455,-0.4242203,-0.2772176,-0.1470027
4,-0.29611278,-0.021330465,"('disliked', 'liked')",-7.3756924,-7.902835,-3.8359027,-3.9620826,0.1261799
83,0.2810372,0.6476299,"('powerless', 'powerful')",-0.84339315,-0.5233779,-0.281178,0.062126,-0.343304
56,-0.27098644,-0.5325786,"('impractical', 'practical')",-0.21335262,-0.2601853,-0.2421695,-0.3963819,0.1542124
