,halliburton_male,halliburton_female,tuple,company_male,company_female,average_male,average_female,male-female
10,-3.015763,-2.9555168,"('unsympathetic', 'sympathetic')",0.9264742,0.930741,-1.0446444,-1.0123879,-0.0322565
86,-2.9202566,-2.74676,"('uninfluential', 'influential')",0.19875354,0.059383593,-1.3607515,-1.3436881,-0.0170634
35,2.8270335,2.8109908,"('corrupt', 'incorrupt')",-1.5254221,-1.3678082,0.6508057,0.7215913,-0.0707856
69,2.6012251,2.5300827,"('lazy', 'industrious')",-1.2528094,-1.3157021,0.6742079,0.6071903,0.0670176
46,-2.3787541,-2.463004,"('uncompetitive', 'competitive')",0.79405683,0.49662527,-0.7923486,-0.9831894,0.1908408
60,-2.299442,-2.4005754,"('inefficient', 'efficient')",1.3322823,1.1073909,-0.4835799,-0.6465923,0.1630124
81,-2.160313,-2.1451545,"('submissive', 'aggressive')",0.38927412,0.34891278,-0.8855194,-0.8981209,0.0126015
55,-2.083949,-1.9897909,"('incompetent', 'clever')",1.3625801,1.1497686,-0.3606845,-0.4200112,0.0593267
48,-2.0681334,-2.0039563,"('unintelligent', 'intelligent')",0.6301763,0.52186286,-0.7189785,-0.7410467,0.0220682
21,-2.0457144,-2.2077832,"('immoral', 'moral')",0.34066615,0.17346646,-0.8525241,-1.0171584,0.1646343
11,-1.9370816,-2.0925083,"('unhelpful', 'helpful')",2.285886,2.1648183,0.1744022,0.036155,0.1382472
43,-1.9007517,-1.999734,"('irresponsible', 'responsible')",1.4581171,1.4349773,-0.2213173,-0.2823784,0.0610611
0,-1.7882122,-1.769998,"('unsociable', 'sociable')",0.7172436,0.659972,-0.5354843,-0.5550129,0.0195286
51,-1.7178649,-1.7762961,"('uneducated', 'educated')",0.5034052,0.44760567,-0.6072298,-0.6643453,0.0571155
85,1.7000492,1.7790172,"('insignificant', 'prestigious')",-1.4170054,-1.2738227,0.1415219,0.2525973,-0.1110754
62,-1.6812781,-1.8213305,"('incompetent', 'brilliant')",1.2777226,1.0891256,-0.2017778,-0.3661025,0.1643247
5,1.6526034,1.7664835,"('distant', 'outgoing')",-1.5301378,-1.429808,0.0612328,0.1683378,-0.107105
57,-1.6209704,-1.4411734,"('unimaginative', 'imaginative')",-2.05366,-2.2560635,-1.8373151,-1.8486185,0.0113034
23,-1.5959939,-1.6616989,"('insincere', 'sincere')",5.851499,6.0230327,2.1277525,2.1806669,-0.0529144
70,-1.5414803,-1.6514516,"('lethargic', 'energetic')",1.144992,1.0767878,-0.1982442,-0.2873319,0.0890877
75,1.512838,1.4348499,"('meek', 'impulsive')",-1.0750458,-1.002985,0.2188961,0.2159324,0.0029637
