,king_male,king_female,tuple,pharmaceuticals_male,pharmaceuticals_female,inc_male,inc_female,average_male,average_female,male-female
39,1.4950926,1.7229407,"('exploitative', 'cooperative')",-0.08705231,0.15621963,-0.07500593,-0.03450454,0.4443448,0.6148853,-0.1705405
57,-1.4582301,-1.4151984,"('unimaginative', 'imaginative')",-0.67200804,-0.8445408,-2.9798634,-3.143316,-1.7033672,-1.8010184,0.0976512
31,-1.4211267,-1.316029,"('evil', 'good')",-0.5469481,-0.47810805,-1.0284156,-0.86178505,-0.9988302,-0.8853073,-0.1135229
2,1.2408144,1.5871931,"('unlikable', 'likable')",0.45655558,0.4439962,0.63983226,0.62983465,0.7790674,0.887008,-0.1079406
73,1.2382317,1.0722674,"('helpless', 'self-reliant')",-0.21829262,-0.27636212,-3.419536,-3.5168862,-0.7998657,-0.9069936,0.1071279
58,-1.1345168,-1.1304096,"('undiscriminating', 'discriminating')",-0.72389793,-0.51303333,-0.3442872,-0.22152627,-0.734234,-0.6216564,-0.1125776
24,1.1091919,1.2572014,"('dishonest', 'honest')",-1.4433405,-1.1627603,0.4922254,0.68080485,0.0526923,0.2584153,-0.205723
6,-1.0707656,-1.1738272,"('distant', 'open')",-0.18008095,-0.4950288,0.4994056,0.534969,-0.2504803,-0.3779623,0.127482
5,-1.0631273,-1.0018392,"('distant', 'outgoing')",-0.1695437,-0.3592765,-0.27528092,-0.14972939,-0.5026507,-0.503615,0.0009643
72,1.0426408,0.97221696,"('unambitious', 'ambitious')",-0.24316825,-0.22271556,-1.2062621,-1.0246881,-0.1355965,-0.0917289,-0.0438676
76,1.0418167,0.9869234,"('anxious', 'daring')",-1.1090914,-0.8934485,0.16854936,0.20926446,0.0337582,0.1009131,-0.0671549
9,1.0409365,0.8944669,"('unaffectionate', 'caring')",0.16815682,0.013299976,1.0814109,0.9310303,0.7635014,0.6129324,0.150569
36,-0.98407584,-1.1503679,"('hostile', 'amicable')",-1.0144839,-1.1177063,0.3888287,0.45361787,-0.536577,-0.6048187,0.0682417
47,-0.9645128,-0.5160412,"('stupid', 'smart')",0.299692,0.44630533,5.5640316,5.77388,1.6330703,1.9013813,-0.268311
63,-0.931645,-0.76256996,"('unperceptive', 'insightful')",-0.33853287,-0.23171435,0.74039984,0.7641985,-0.1765927,-0.0766953,-0.0998974
18,0.9235642,0.72452366,"('disagreeable', 'welcoming')",0.05953963,0.026449092,-0.22643769,-0.15835506,0.252222,0.1975392,0.0546828
33,0.9045182,0.59179085,"('wrong', 'right')",0.8237402,0.4886342,-0.5323211,-0.69552445,0.3986458,0.1283002,0.2703456
70,-0.87511355,-0.48877448,"('lethargic', 'energetic')",-1.1801993,-0.93444633,0.37334064,0.4715141,-0.5606574,-0.3172356,-0.2434218
45,-0.87457806,-0.48442128,"('incompetent', 'competent')",-0.65087134,-0.3471776,-0.53117967,-0.47851494,-0.6855431,-0.4367046,-0.2488385
75,-0.86556554,-0.6992147,"('meek', 'impulsive')",-0.6037645,-0.8983318,-0.53666353,-0.40421423,-0.6686645,-0.6672536,-0.0014109
28,0.84503114,1.0375862,"('disloyal', 'loyal')",0.0070540644,0.07603856,1.1586531,1.1472121,0.6702461,0.7536124,-0.0833663
25,0.8164757,0.84316885,"('egoistic', 'altruistic')",0.47041464,0.50113547,1.5440527,1.4581237,0.9436477,0.9341427,0.009505
55,0.7658167,0.82873803,"('incompetent', 'clever')",-0.055135928,0.28591326,0.05807215,0.008389104,0.256251,0.3743468,-0.1180958
16,-0.74469674,-0.7802901,"('unpopular', 'popular')",0.37094393,0.2032206,0.8027531,0.86036277,0.1430001,0.0944311,0.048569
15,-0.7399286,-0.7852183,"('boring', 'funny')",0.10490667,0.05716332,0.2060598,0.3369862,-0.1429874,-0.1303563,-0.0126311
4,-0.6968846,-0.64489484,"('disliked', 'liked')",0.16780542,0.005153547,-6.4042745,-6.3569326,-2.3111178,-2.3322247,0.0211069
62,0.63605726,1.0885096,"('incompetent', 'brilliant')",-0.09604436,0.19902547,-0.2981457,-0.17723101,0.0806224,0.3701014,-0.289479
8,0.6162844,0.36844575,"('unaffectionate', 'affectionate')",-0.012830609,-0.15536846,0.6590088,0.5508484,0.4208209,0.2546419,0.166179
84,0.6150049,0.46609974,"('inferior', 'superior')",0.93685114,0.87679386,0.8818069,1.085896,0.811221,0.8095965,0.0016245
80,0.60406375,0.7356881,"('dominated', 'dominating')",-0.6310295,-0.4277229,-0.96908927,-1.0957069,-0.3320183,-0.2625806,-0.0694377
13,-0.59656006,-0.06621125,"('impolite', 'polite')",-1.2401853,-1.0471216,-0.35140145,-0.19568709,-0.7293822,-0.43634,-0.2930422
46,-0.5943309,-0.52617353,"('uncompetitive', 'competitive')",-0.12923053,-0.08263716,-0.69640875,-0.7860865,-0.4733234,-0.4649657,-0.0083577
