,coca_male,coca_female,tuple,cola_male,cola_female,co_male,co_female,average_male,average_female,male-female
85,2.7878368,1.5013351,"('insignificant', 'prestigious')",1.4374416,0.823475,-0.7501743,-1.3437847,1.158368,0.3270084,0.8313596
45,-2.4769022,-1.3106848,"('incompetent', 'competent')",-1.1549022,-0.56715393,-0.68357915,-0.26577985,-1.4384611,-0.7145395,-0.7239216
73,2.3163579,2.2587528,"('helpless', 'self-reliant')",0.7000624,0.6370307,-3.3103905,-3.1411395,-0.09799,-0.0817854,-0.0162046
5,1.7364277,0.95063794,"('distant', 'outgoing')",1.1672395,0.7870202,-0.65734386,-0.8005607,0.7487744,0.3123658,0.4364086
65,-1.7218906,-1.300009,"('insecure', 'secure')",-0.497782,-0.42874315,0.48179772,0.5084792,-0.5792917,-0.4067577,-0.172534
3,-1.6347957,-1.5330437,"('repellent', 'pleasant')",-1.3339858,-1.2679669,0.43753484,0.49617177,-0.8437489,-0.7682796,-0.0754693
57,-1.5884666,-0.9905956,"('unimaginative', 'imaginative')",-1.5617371,-1.4355893,-3.7088416,-3.4093766,-2.2863483,-1.9451873,-0.341161
81,-1.5569866,-0.9394879,"('submissive', 'aggressive')",-0.9113043,-0.50145984,-0.519519,-0.042132877,-0.9959366,-0.4943602,-0.5015764
14,-1.5096292,-0.61555564,"('antisocial', 'social')",-0.27799445,0.20582008,-0.5844186,-0.090004444,-0.7906807,-0.16658,-0.6241007
55,-1.5091404,-0.75750536,"('incompetent', 'clever')",-1.1125342,-0.80990046,0.30040798,0.40893483,-0.7737556,-0.386157,-0.3875986
22,-1.4806272,-0.6467922,"('untrustworthy', 'trustworthy')",-1.041217,-0.79152673,-0.6081012,-0.3064596,-1.0433151,-0.5815929,-0.4617222
10,-1.4228576,-0.8749333,"('unsympathetic', 'sympathetic')",-1.1052625,-0.91306186,-0.09004024,0.1354738,-0.8727201,-0.5508404,-0.3218797
1,1.3644152,0.3514852,"('unfriendly', 'friendly')",1.3929974,0.6129177,1.5172428,0.7739465,1.4248851,0.5794498,0.8454353
84,1.3577241,1.065626,"('inferior', 'superior')",1.2750753,1.0042762,0.8828107,0.55304706,1.1718701,0.8743164,0.2975537
13,-1.3354838,-0.60399395,"('impolite', 'polite')",-0.72995067,-0.45803827,-0.09590966,0.32145834,-0.720448,-0.246858,-0.47359
71,1.291201,0.63698405,"('diffident', 'self-confident')",1.5524017,1.2687564,0.33141077,0.060225576,1.0583378,0.655322,0.4030158
70,-1.2755836,-0.4952605,"('lethargic', 'energetic')",-1.1700119,-1.0054827,0.33599666,0.53780264,-0.7031996,-0.3209802,-0.3822194
6,1.2466744,0.4374745,"('distant', 'open')",0.756462,0.3239549,-0.5709418,-0.93257296,0.4773982,-0.0570478,0.534446
69,1.1769445,0.648488,"('lazy', 'industrious')",0.94970953,0.8024194,-1.3663363,-1.3505094,0.2534393,0.033466,0.2199733
77,-1.1300702,-1.5401642,"('unmotivated', 'motivated')",-0.5236839,-0.61556125,-1.154043,-1.0393995,-0.9359323,-1.0650417,0.1291094
52,1.1226562,0.14030588,"('irrational', 'rational')",0.85420454,0.49256164,-0.49820158,-0.84442884,0.4928864,-0.0705204,0.5634068
56,1.1050266,1.4666257,"('impractical', 'practical')",1.2447293,1.3125513,0.32848483,0.64479727,0.8927468,1.1413248,-0.248578
28,-1.1041019,-1.2336287,"('disloyal', 'loyal')",-0.29538688,-0.42947185,0.95766205,0.7629054,-0.1472756,-0.3000651,0.1527895
54,1.1032397,0.6140916,"('incapable', 'capable')",1.3282737,1.0200822,1.1148078,0.867703,1.1821071,0.8339589,0.3481482
76,-1.0913774,-0.16313927,"('anxious', 'daring')",-1.0529933,-0.6829971,0.026581068,0.34882087,-0.7059298,-0.1657718,-0.540158
9,1.0903101,0.57761633,"('unaffectionate', 'caring')",1.1484344,0.703848,1.1371973,0.74389386,1.1253139,0.6751194,0.4501945
82,-1.0703028,-0.81045514,"('poor', 'rich')",-0.4450458,-0.478664,6.1213183,5.966255,1.5353231,1.5590453,-0.0237222
64,-1.0563112,-1.0480238,"('shy', 'confident')",-0.978731,-0.8564696,-5.656194,-5.4318786,-2.5637455,-2.4454573,-0.1182882
46,-1.0216228,-0.3913318,"('uncompetitive', 'competitive')",-0.64224875,-0.38856614,-0.80264777,-0.6490198,-0.8221731,-0.4763059,-0.3458672
33,1.0126691,0.6039733,"('wrong', 'right')",0.25574893,0.010702245,-0.509649,-0.67033297,0.252923,-0.0185525,0.2714755
59,0.94543654,0.59909034,"('foolish', 'wise')",0.90992206,0.8325571,-0.08257544,-0.3331777,0.5909277,0.3661566,0.2247711
7,-0.92943245,-0.80122167,"('insensitive', 'sensitive')",-0.3633722,-0.46888798,-0.05859236,-0.23310517,-0.4504657,-0.5010716,0.0506059
21,-0.92563355,-0.6469925,"('immoral', 'moral')",-0.12551646,-0.027318113,-0.3546071,-0.117071524,-0.4685857,-0.263794,-0.2047917
40,-0.9040174,-0.8849859,"('stingy', 'generous')",-0.3566367,-0.27265728,-2.8947651,-3.0164301,-1.3851398,-1.3913577,0.0062179
44,-0.88375914,-0.4536611,"('prejudiced', 'unprejudiced')",-0.83171695,-0.41632426,-1.2814707,-1.0958333,-0.9989823,-0.6552729,-0.3437094
27,-0.84756845,-0.88709027,"('hardhearted', 'softhearted')",0.062333614,-0.03325972,0.59444195,0.27134448,-0.0635976,-0.2163352,0.1527376
80,-0.84377396,0.4331358,"('dominated', 'dominating')",-0.8038758,-0.19447312,-0.6134949,-0.10369852,-0.7537149,0.0449881,-0.798703
60,-0.8253723,-0.09077955,"('inefficient', 'efficient')",0.28288528,0.59792554,0.4092427,0.7971192,-0.0444148,0.4347551,-0.4791699
17,-0.75674874,-0.9684916,"('nasty', 'nice')",-0.7245502,-0.5584397,-0.52068245,-0.52325624,-0.6673271,-0.6833959,0.0160688
