,lockheed_male,lockheed_female,tuple,martin_male,martin_female,corp_male,corp_female,average_male,average_female,male-female
45,-2.6298792,-2.4480846,"('incompetent', 'competent')",-1.8809519,-1.9196166,-0.49960247,-0.38214657,-1.6701444,-1.5832825,-0.0868619
10,-1.9519522,-2.0681689,"('unsympathetic', 'sympathetic')",-1.2797694,-1.5002869,-0.43440443,-0.19248265,-1.222042,-1.2536461,0.0316041
42,-1.9367871,-1.744735,"('unreliable', 'reliable')",-1.1699375,-1.2699113,-2.5729582,-2.3785207,-1.8932276,-1.7977223,-0.0955053
14,-1.7026366,-1.915508,"('antisocial', 'social')",-0.5612959,-0.9158436,0.05486866,0.13622314,-0.7363546,-0.8983762,0.1620216
41,-1.6287613,-0.8744535,"('unforgiving', 'forgiving')",-0.67805654,-0.39906538,-0.53383815,-0.37909356,-0.9468853,-0.5508708,-0.3960145
33,1.5593324,1.7822924,"('wrong', 'right')",0.82409644,0.7391739,-0.7691184,-0.75034,0.5381035,0.5903754,-0.0522719
4,-1.5393449,-0.54119056,"('disliked', 'liked')",-0.8341272,-0.062715895,-7.334844,-6.9358654,-3.2361056,-2.5132573,-0.7228483
0,-1.4751388,-1.7534645,"('unsociable', 'sociable')",-0.63938767,-0.9962581,-0.5198933,-0.38078108,-0.87814,-1.0435012,0.1653612
71,1.4071213,1.6619767,"('diffident', 'self-confident')",0.69014066,0.72675157,0.108259834,0.2984236,0.7351739,0.8957172,-0.1605433
70,-1.3707,-1.804224,"('lethargic', 'energetic')",-0.5157239,-1.0735315,0.46832964,0.43720764,-0.4726981,-0.813516,0.3408179
46,-1.341617,-1.8130343,"('uncompetitive', 'competitive')",-0.3402367,-0.8078797,-0.5705873,-0.476737,-0.7508136,-1.0325503,0.2817367
13,-1.3275925,-1.2258481,"('impolite', 'polite')",-1.1964805,-1.3509231,-0.8885676,-0.7264079,-1.1375469,-1.1010598,-0.0364871
25,1.3268887,1.3003672,"('egoistic', 'altruistic')",1.2035782,1.2188649,1.0400662,1.0575398,1.1901778,1.1922574,-0.0020796
43,-1.1478722,-1.5223858,"('irresponsible', 'responsible')",-1.2795895,-1.908794,0.2501045,0.10520846,-0.7257857,-1.1086572,0.3828715
3,-1.1447494,-1.35851,"('repellent', 'pleasant')",-0.23380905,-0.24230321,1.1205932,1.0892663,-0.0859884,-0.1705157,0.0845273
60,-1.1219085,-1.3032064,"('inefficient', 'efficient')",-0.8742867,-1.2744006,-0.08123524,0.13224629,-0.6924768,-0.8151203,0.1226435
69,1.0924087,1.4759898,"('lazy', 'industrious')",1.3105658,1.4682124,-0.86273223,-0.8275471,0.5134141,0.7055517,-0.1921376
63,-1.090122,-0.924334,"('unperceptive', 'insightful')",-0.8028762,-0.8865221,0.024963781,0.20729294,-0.6226782,-0.5345211,-0.0881571
30,-1.0349326,-0.97465956,"('intolerant', 'tolerant')",-0.8204886,-0.93779314,0.12097296,0.09964393,-0.5781494,-0.6042696,0.0261202
64,-1.0317289,-0.92528105,"('shy', 'confident')",-0.9299665,-0.9983139,-6.0396295,-5.8806257,-2.6671082,-2.6014069,-0.0657013
84,0.98002934,0.7729548,"('inferior', 'superior')",0.6250073,0.45804387,1.0191442,0.8685337,0.8747269,0.6998441,0.1748828
9,0.95868194,1.1822364,"('unaffectionate', 'caring')",0.6615434,0.78887045,0.634288,0.9325193,0.7515045,0.9678754,-0.2163709
21,-0.9432105,-1.2321879,"('immoral', 'moral')",-0.38410547,-0.6946544,-0.24937247,-0.29846463,-0.5255628,-0.7417689,0.2162061
54,0.92909735,0.5634697,"('incapable', 'capable')",0.9474048,0.5051663,0.9002737,0.73207283,0.9255919,0.6002363,0.3253556
57,-0.9074054,-0.8207122,"('unimaginative', 'imaginative')",-1.196134,-0.9953222,-2.9784012,-2.563475,-1.6939802,-1.4598365,-0.2341437
39,0.898135,0.75962126,"('exploitative', 'cooperative')",0.2279983,-0.2026798,0.618259,0.6150995,0.5814641,0.3906803,0.1907838
2,0.8618473,0.76967627,"('unlikable', 'likable')",0.82600886,0.60945153,0.7828101,0.6789892,0.8235555,0.686039,0.1375165
40,-0.84046644,-0.6263925,"('stingy', 'generous')",-0.8297325,-0.69782835,-2.6441803,-2.3368804,-1.4381264,-1.2203671,-0.2177593
59,0.8326717,0.9539035,"('foolish', 'wise')",0.2146194,0.0045643505,-0.2335447,-0.5772762,0.2712488,0.1270639,0.1441849
81,-0.82445884,-1.3015798,"('submissive', 'aggressive')",0.60487354,0.22632001,-0.48923728,-0.42492315,-0.2362742,-0.500061,0.2637868
15,0.7926,0.88861084,"('boring', 'funny')",-0.47512344,-0.4777376,-0.36044,-0.5876222,-0.0143211,-0.0589163,0.0445952
17,-0.77897865,-0.6601574,"('nasty', 'nice')",-0.49500728,-0.19642489,-0.5001854,-0.48118392,-0.5913904,-0.4459221,-0.1454683
58,-0.77217317,-0.7304726,"('undiscriminating', 'discriminating')",-0.3326548,-0.40488598,-0.07743918,-0.070042506,-0.3940891,-0.4018004,0.0077113
82,-0.7719909,-0.84583616,"('poor', 'rich')",-0.6267271,-0.8540802,6.4808497,6.2195573,1.694044,1.506547,0.187497
27,-0.7696376,-0.6727879,"('hardhearted', 'softhearted')",-1.1757331,-1.2230958,0.5766516,0.5797892,-0.4562397,-0.4386981,-0.0175416
37,-0.7562677,-0.97099406,"('fake', 'genuine')",-1.6451886,-1.9346302,-0.53952307,-0.62626284,-0.9803265,-1.1772957,0.1969692
86,-0.7341978,-0.81180394,"('uninfluential', 'influential')",-0.2164987,-0.25594696,-0.81173956,-0.4122452,-0.5874787,-0.4933321,-0.0941466
76,-0.7056286,-1.4966073,"('anxious', 'daring')",-0.48655647,-0.9816775,0.17978254,-0.0358511,-0.3374675,-0.8380453,0.5005778
8,0.6729303,0.79216945,"('unaffectionate', 'affectionate')",0.03519906,0.07695586,-0.21700583,-0.0166973,0.1637078,0.2841427,-0.1204349
65,-0.6508101,-1.1855613,"('insecure', 'secure')",-1.0132165,-1.6317502,0.40225804,0.22250523,-0.4205895,-0.8649354,0.4443459
24,-0.6321745,-0.77077734,"('dishonest', 'honest')",-0.81546044,-1.3848312,0.31225827,0.32072195,-0.3784589,-0.6116289,0.23317
55,-0.61803514,-0.9794225,"('incompetent', 'clever')",-1.0005124,-1.306717,0.35364282,0.67643934,-0.4216349,-0.5365667,0.1149318
51,-0.605344,-0.62047684,"('uneducated', 'educated')",0.44117445,0.5452933,0.39800495,0.531233,0.0779451,0.1520165,-0.0740714
50,-0.5936606,-0.5068251,"('clumsy', 'skillful')",0.00784241,0.019863507,0.25774485,0.33051348,-0.1093578,-0.0521494,-0.0572084
22,-0.5811243,-0.6266467,"('untrustworthy', 'trustworthy')",-0.78721046,-1.0155516,-0.76288706,-0.65176356,-0.7104073,-0.764654,0.0542467
34,-0.55964106,-0.614709,"('mean', 'honorable')",-0.3137433,-0.33991325,5.025389,4.873189,1.3840016,1.3061889,0.0778127
