,schering_male,schering_female,tuple,plough_male,plough_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.4938807,-2.6500158,"('unsympathetic', 'sympathetic')",-2.784344,-3.0575037,-0.39618587,-0.14824584,-1.8914703,-1.9519218,0.0604515
46,-2.272064,-2.3746276,"('uncompetitive', 'competitive')",-2.027075,-2.22378,-1.2536988,-0.88613456,-1.8509459,-1.8281808,-0.0227651
3,-2.0092888,-2.0890763,"('repellent', 'pleasant')",-1.3139571,-1.4050872,0.55444926,0.9649816,-0.9229322,-0.8430607,-0.0798715
1,-1.8599347,-1.7034438,"('unfriendly', 'friendly')",-1.4015507,-1.494398,1.7352365,1.1872735,-0.5087496,-0.6701894,0.1614398
23,-1.8458644,-2.0758321,"('insincere', 'sincere')",-1.5927887,-1.8080406,5.91499,6.3015676,0.8254457,0.8058983,0.0195474
63,-1.7652011,-1.8544956,"('unperceptive', 'insightful')",-1.3749893,-1.6553694,0.566596,0.58283687,-0.8578648,-0.9756761,0.1178113
35,1.7129306,1.8405573,"('corrupt', 'incorrupt')",1.7896543,1.9435523,-0.28694034,-0.66729844,1.0718815,1.0389371,0.0329444
86,-1.7014314,-1.8231882,"('uninfluential', 'influential')",-1.936958,-2.195047,-0.41528037,-0.34277275,-1.3512233,-1.4536694,0.1024461
11,-1.6901588,-1.6805602,"('unhelpful', 'helpful')",-1.8737261,-1.9945016,1.551976,1.7455438,-0.6706363,-0.6431726,-0.0274637
48,-1.6306677,-1.7779247,"('unintelligent', 'intelligent')",-1.9399341,-2.0708644,0.4728641,0.54408056,-1.0325793,-1.1015696,0.0689903
57,-1.6078067,-1.5409858,"('unimaginative', 'imaginative')",-1.5465701,-1.7700335,-3.3290524,-3.477043,-2.161143,-2.2626874,0.1015444
72,-1.5232724,-1.4208232,"('unambitious', 'ambitious')",-1.4706233,-1.4029459,-0.64520323,-0.4390419,-1.2130329,-1.0876036,-0.1254293
62,-1.487916,-1.5032635,"('incompetent', 'brilliant')",-1.710585,-1.7819481,-0.13413754,0.14970179,-1.1108796,-1.0451699,-0.0657097
0,-1.4861351,-1.7722633,"('unsociable', 'sociable')",-1.3243634,-1.6016467,-0.019437,0.13777043,-0.9433119,-1.0787132,0.1354013
28,-1.4534413,-1.6308582,"('disloyal', 'loyal')",-1.0144273,-1.414084,1.0518792,1.1100739,-0.4719965,-0.6449561,0.1729596
41,-1.4209192,-1.7634513,"('unforgiving', 'forgiving')",-1.0226477,-1.2429847,-0.11418514,-0.5189952,-0.852584,-1.1751437,0.3225597
45,-1.4188019,-1.6742114,"('incompetent', 'competent')",-0.9319591,-1.2845463,-0.09934978,-0.17907026,-0.8167036,-1.0459426,0.229239
53,-1.3939382,-1.3148224,"('uncreative', 'creative')",-1.1668146,-1.3144747,0.38486677,0.34058762,-0.7252954,-0.7629032,0.0376078
73,1.38875,1.4123516,"('helpless', 'self-reliant')",1.246664,1.1397951,-3.355692,-3.4957707,-0.2400926,-0.3145413,0.0744487
49,-1.3591971,-1.3855083,"('unable', 'able')",-0.87264323,-0.877958,-0.25328067,-0.01964211,-0.8283737,-0.7610362,-0.0673375
77,-1.2990391,-1.294757,"('unmotivated', 'motivated')",-1.3883449,-1.4517835,-1.3955389,-1.095983,-1.3609743,-1.2808412,-0.0801331
