,keycorp_male,keycorp_female,tuple,average_male,average_female,male-female
4,-4.428654,-4.2300086,"('disliked', 'liked')",-4.4286542,-4.2300086,-0.1986456
23,3.8446205,3.6189644,"('insincere', 'sincere')",3.8446205,3.6189644,0.2256561
64,-3.5597744,-3.7259226,"('shy', 'confident')",-3.5597744,-3.7259226,0.1661482
82,3.374986,3.37529,"('poor', 'rich')",3.3749859,3.3752899,-0.000304
47,3.194991,3.0710542,"('stupid', 'smart')",3.1949911,3.0710542,0.1239369
34,2.891443,2.8581395,"('mean', 'honorable')",2.891443,2.8581395,0.0333035
11,2.0533087,2.1375916,"('unhelpful', 'helpful')",2.0533087,2.1375916,-0.0842829
31,-2.019542,-1.9444048,"('evil', 'good')",-2.019542,-1.9444048,-0.0751372
57,-1.7265724,-1.8468056,"('unimaginative', 'imaginative')",-1.7265724,-1.8468056,0.1202332
35,-1.5466146,-1.3126014,"('corrupt', 'incorrupt')",-1.5466146,-1.3126014,-0.2340132
73,-1.5453421,-1.4562922,"('helpless', 'self-reliant')",-1.5453421,-1.4562922,-0.0890499
62,1.3850263,1.3334497,"('incompetent', 'brilliant')",1.3850263,1.3334497,0.0515766
60,1.2669463,1.0462406,"('inefficient', 'efficient')",1.2669463,1.0462406,0.2207057
40,-1.1861773,-1.4071436,"('stingy', 'generous')",-1.1861773,-1.4071436,0.2209663
42,-1.069915,-1.0231061,"('unreliable', 'reliable')",-1.0699151,-1.0231061,-0.046809
2,1.0470623,0.984792,"('unlikable', 'likable')",1.0470623,0.984792,0.0622703
7,1.022234,0.7492547,"('insensitive', 'sensitive')",1.022234,0.7492547,0.2729793
36,-1.0133399,-1.0000963,"('hostile', 'amicable')",-1.0133399,-1.0000963,-0.0132436
24,0.9955722,0.9131062,"('dishonest', 'honest')",0.9955722,0.9131062,0.082466
9,0.9620866,0.8784425,"('unaffectionate', 'caring')",0.9620866,0.8784425,0.0836441
17,-0.9044123,-0.6859592,"('nasty', 'nice')",-0.9044123,-0.6859592,-0.2184531
85,-0.8695906,-0.76709527,"('insignificant', 'prestigious')",-0.8695906,-0.7670953,-0.1024953
55,0.8330788,0.5691662,"('incompetent', 'clever')",0.8330788,0.5691662,0.2639126
70,0.8123491,0.7233161,"('lethargic', 'energetic')",0.8123491,0.7233161,0.089033
1,0.7751717,0.70247906,"('unfriendly', 'friendly')",0.7751717,0.7024791,0.0726926
76,0.7451727,0.6406524,"('anxious', 'daring')",0.7451727,0.6406524,0.1045203
43,0.7049437,0.56882095,"('irresponsible', 'responsible')",0.7049437,0.568821,0.1361227
52,-0.69111675,-0.6794993,"('irrational', 'rational')",-0.6911168,-0.6794993,-0.0116175
27,0.6720941,0.48932225,"('hardhearted', 'softhearted')",0.6720941,0.4893222,0.1827719
