,dte_male,dte_female,tuple,energy_male,energy_female,co_male,co_female,average_male,average_female,male-female
1,-2.0868144,-2.356615,"('unfriendly', 'friendly')",0.7633562,0.16878457,1.1454848,0.6787199,-0.0593245,-0.5030369,0.4437124
9,-1.6232339,-1.6864942,"('unaffectionate', 'caring')",0.65702516,0.2214354,0.8919854,0.5069847,-0.0247411,-0.319358,0.2946169
6,-1.6091216,-1.8510338,"('distant', 'open')",-0.24781144,-0.6105263,-0.66416585,-1.1967493,-0.8403663,-1.2194365,0.3790702
8,-1.6075197,-1.7132215,"('unaffectionate', 'affectionate')",-0.28519216,-0.7354378,0.36795864,0.038352005,-0.5082511,-0.8034358,0.2951847
82,-1.4914304,-1.0740551,"('poor', 'rich')",-0.21602032,-0.17156956,5.899628,6.0240626,1.3973924,1.5928127,-0.1954203
73,1.4301076,1.4110489,"('helpless', 'self-reliant')",1.473906,1.341896,-3.192176,-3.0392895,-0.0960542,-0.0954482,-0.000606
25,-1.4215058,-1.249083,"('egoistic', 'altruistic')",0.5777701,0.45273727,1.0166862,0.9354952,0.0576502,0.0463831,0.0112671
10,-1.420274,-1.1562454,"('unsympathetic', 'sympathetic')",-0.49704245,-0.40125826,-0.5849138,-0.19621965,-0.8340767,-0.5845744,-0.2495023
18,-1.4055753,-1.2087516,"('disagreeable', 'welcoming')",-0.95926464,-1.0206686,-0.9982663,-0.83765227,-1.1210354,-1.0223575,-0.0986779
5,-1.2519495,-1.4300213,"('distant', 'outgoing')",0.286215,-0.0007521212,-0.92099875,-1.3823583,-0.6289111,-0.9377106,0.3087995
51,-1.2470547,-0.8287566,"('uneducated', 'educated')",-0.7532441,-0.429969,-0.21470904,0.26963544,-0.7383359,-0.3296967,-0.4086392
41,-1.2468946,-0.84989226,"('unforgiving', 'forgiving')",-0.82866126,-0.78807867,0.51936007,0.618935,-0.5187319,-0.3396786,-0.1790533
31,-1.215996,-1.300056,"('evil', 'good')",-0.9755002,-1.1711024,-1.2249106,-1.5750726,-1.1388024,-1.3487438,0.2099414
27,-1.1594591,-1.6208673,"('hardhearted', 'softhearted')",0.1032504,-0.3058238,0.7627179,0.4573722,-0.0978303,-0.489773,0.3919427
86,-1.1567961,-1.1062691,"('uninfluential', 'influential')",0.6081575,0.573717,-0.778307,-0.5674133,-0.4423152,-0.3666551,-0.0756601
28,-1.1150694,-1.1604694,"('disloyal', 'loyal')",0.06302701,-0.10185524,1.1994467,0.89625067,0.0491348,-0.1220247,0.1711595
0,-1.0882641,-0.95251095,"('unsociable', 'sociable')",-0.14420299,-0.064269304,-0.42599562,-0.11821309,-0.5528209,-0.3783311,-0.1744898
48,-1.0758564,-1.1282108,"('unintelligent', 'intelligent')",0.67100936,0.5928685,-0.51811695,-0.41062897,-0.3076547,-0.3153238,0.0076691
78,-1.0243684,-1.1293932,"('nonresilient', 'resilient')",-0.12841457,-0.20132199,-0.48785046,-0.44543558,-0.5468778,-0.5920502,0.0451724
68,-1.0137919,-0.9350309,"('dependent', 'independent')",-0.7152755,-0.62994367,-1.7889693,-1.5264367,-1.1726789,-1.0304704,-0.1422085
24,-0.9360955,-0.8604917,"('dishonest', 'honest')",0.5761107,0.4339104,0.4194368,0.33688146,0.0198174,-0.0298999,0.0497173
40,-0.92234945,-1.162361,"('stingy', 'generous')",0.11444479,-0.21643817,-2.5837321,-2.8763714,-1.1305456,-1.4183903,0.2878447
26,-0.91233647,-0.90091294,"('hardhearted', 'benevolent')",1.12517,0.8984732,1.6971663,1.4752396,0.6366666,0.4909333,0.1457333
34,-0.9068756,-0.53670853,"('mean', 'honorable')",0.32813725,0.40278727,4.8274517,4.931311,1.4162378,1.59913,-0.1828922
45,-0.90587896,-0.68021625,"('incompetent', 'competent')",-0.23465955,-0.15427417,-0.20015523,0.06640141,-0.4468979,-0.2560297,-0.1908682
64,0.8936843,0.843507,"('shy', 'confident')",1.0280701,1.1526902,-5.7524076,-5.529276,-1.2768844,-1.1776929,-0.0991915
23,-0.8860707,-0.60830325,"('insincere', 'sincere')",-0.13057183,-0.091710776,5.4176946,5.361984,1.4670173,1.5539899,-0.0869726
88,-0.884636,-0.46366167,"('low', 'eminent')",0.15151158,0.24427232,-0.5254732,-0.14077121,-0.4195325,-0.1200535,-0.299479
74,-0.88347065,-0.67830354,"('undedicated', 'dedicated')",0.14791538,0.17351332,-0.05922386,0.16115113,-0.2649264,-0.1145464,-0.15038
56,0.8682082,1.018862,"('impractical', 'practical')",1.4085125,1.6761754,-0.24759193,0.19898278,0.6763763,0.9646734,-0.2882971
32,-0.86594427,-0.44824135,"('unkind', 'kind')",0.014346488,0.19084665,0.9032708,1.0789202,0.0172243,0.2738419,-0.2566176
17,-0.839247,-0.5343908,"('nasty', 'nice')",-1.1260692,-0.9872843,-0.5443096,-0.39029315,-0.836542,-0.6373227,-0.1992193
19,-0.8390111,-0.7765331,"('inhospitable', 'hospitable')",-0.8509922,-0.9817364,-0.63883245,-0.61557454,-0.7762786,-0.7912814,0.0150028
39,0.8329935,0.86032754,"('exploitative', 'cooperative')",-0.018855898,-0.008010197,0.35537875,0.51310396,0.3898388,0.4551404,-0.0653016
80,0.8253676,0.8811582,"('dominated', 'dominating')",0.28306606,0.40490717,0.0023535937,0.20121688,0.3702624,0.4957608,-0.1254984
53,-0.8016449,-1.0302867,"('uncreative', 'creative')",1.0023172,0.64606714,0.56379396,0.3885356,0.2548221,0.0014387,0.2533834
66,-0.77456063,-0.69864714,"('inactive', 'active')",-0.3964801,-0.53895485,0.64485013,0.46599144,-0.1753969,-0.2572035,0.0818066
55,-0.7712381,-0.66872984,"('incompetent', 'clever')",-0.39252394,-0.28061956,-0.051963933,0.45332727,-0.405242,-0.1653407,-0.2399013
54,-0.74666846,-0.4794989,"('incapable', 'capable')",-0.34096435,-0.38548023,0.62605065,0.7260703,-0.1538607,-0.046303,-0.1075577
36,-0.73568165,-0.80914044,"('hostile', 'amicable')",-0.48963493,-0.82910156,-0.06500007,-0.4158929,-0.4301055,-0.6847116,0.2546061
79,-0.59492785,-0.40542737,"('wavering', 'unwavering')",-0.35331792,-0.5075692,-0.45744237,-0.6834299,-0.4685627,-0.5321422,0.0635795
15,0.5880575,0.65639,"('boring', 'funny')",0.14974153,0.114910424,0.16510893,0.43399814,0.3009693,0.4017662,-0.1007969
58,-0.57988656,-0.5958883,"('undiscriminating', 'discriminating')",1.0821935,0.8851301,0.045069367,0.121757686,0.1824588,0.1369998,0.045459
20,-0.55816,-0.71081406,"('rough', 'thoughtful')",-0.16111887,-0.31139898,0.47110236,0.59473336,-0.0827255,-0.1424932,0.0597677
16,-0.54270566,-0.1331279,"('unpopular', 'popular')",-0.3731091,-0.30514604,0.14530773,0.29029942,-0.2568357,-0.0493248,-0.2075109
49,-0.50145906,-0.27821296,"('unable', 'able')",-0.29926178,-0.18773638,-0.508617,-0.21190204,-0.436446,-0.2259505,-0.2104955
38,-0.49472427,-0.27771726,"('untruthful', 'truthful')",0.41613218,0.37683436,-0.058341492,0.07536073,-0.0456445,0.0581593,-0.1038038
52,-0.49266663,-0.5235866,"('irrational', 'rational')",0.16266489,-0.14755131,-0.45742983,-0.6406667,-0.2624772,-0.4372682,0.174791
85,-0.48622078,-0.39375347,"('insignificant', 'prestigious')",0.6983167,0.3552963,-0.33290386,-0.72120285,-0.0402693,-0.25322,0.2129507
57,-0.48474923,-0.7013783,"('unimaginative', 'imaginative')",0.9982297,0.88010246,-3.0689263,-2.917424,-0.8518153,-0.9129,0.0610847
69,0.4683123,0.35260183,"('lazy', 'industrious')",0.783961,0.7341331,-0.8710068,-1.1153913,0.1270888,-0.0095521,0.1366409
72,-0.41305256,-0.41020417,"('unambitious', 'ambitious')",0.8013364,0.77269536,-0.43256298,-0.38079455,-0.0147597,-0.0061011,-0.0086586
76,0.38671857,0.5925271,"('anxious', 'daring')",-0.3159889,-0.23929155,-0.005952373,0.38046247,0.0215924,0.244566,-0.2229736
37,0.3695611,0.0046959408,"('fake', 'genuine')",0.36804342,0.0123945195,0.08783274,-0.10759848,0.2751457,-0.0301693,0.305315
35,-0.36820832,-0.71603626,"('corrupt', 'incorrupt')",-0.62927234,-0.96278405,-0.3755123,-0.8747503,-0.4576643,-0.8511902,0.3935259
33,0.33540392,0.052765932,"('wrong', 'right')",1.3223045,1.0802246,-0.63961756,-0.99328864,0.3393636,0.0465673,0.2927963
3,-0.33531985,-0.23936841,"('repellent', 'pleasant')",-0.2932245,-0.24191938,0.5583901,0.6544093,-0.0233847,0.0577072,-0.0810919
11,-0.3167475,0.08316832,"('unhelpful', 'helpful')",0.38964444,0.5179439,1.8509773,2.2343748,0.6412914,0.9451623,-0.3038709
42,0.3033315,0.5354787,"('unreliable', 'reliable')",0.22752398,0.3665179,-2.7138104,-2.2358696,-0.7276517,-0.4446243,-0.2830274
13,-0.28766584,-0.08388713,"('impolite', 'polite')",-0.21953315,0.069465466,-0.6178492,-0.10863161,-0.3750161,-0.0410178,-0.3339983
7,0.26998422,0.39930624,"('insensitive', 'sensitive')",0.8546623,0.9541908,0.048946902,0.2576676,0.3911978,0.5370549,-0.1458571
21,-0.25361195,0.28618446,"('immoral', 'moral')",0.8766784,1.1520393,-1.1785165,-0.37918156,-0.18515,0.3530141,-0.5381641
4,-0.24761675,-0.093848996,"('disliked', 'liked')",0.70583063,0.6407881,-6.546853,-6.3265033,-2.0295464,-1.9265215,-0.1030249
44,0.2456665,0.22334233,"('prejudiced', 'unprejudiced')",-0.26827475,-0.2749868,-0.7275109,-0.7170592,-0.2500397,-0.2562346,0.0061949
50,0.24560608,0.32462668,"('clumsy', 'skillful')",0.03709895,-0.1412008,-0.09284596,-0.03333085,0.0632864,0.0500317,0.0132547
22,-0.24232514,-0.08302672,"('untrustworthy', 'trustworthy')",-0.95791304,-0.93652433,-0.75054514,-0.41961306,-0.6502611,-0.4797214,-0.1705397
84,0.23858184,0.23558125,"('inferior', 'superior')",0.36324534,0.36213663,0.19234638,0.17083858,0.2647245,0.2561855,0.008539
60,0.23090053,0.2872582,"('inefficient', 'efficient')",1.4418184,1.743492,-0.41208762,0.1846443,0.4202104,0.7384648,-0.3182544
71,0.22241265,0.15928231,"('diffident', 'self-confident')",1.8391603,1.7714986,0.72214186,0.34086323,0.9279049,0.7572147,0.1706902
67,0.22065423,0.55091393,"('doubtful', 'determined')",0.057852864,0.3357447,-0.4705926,-0.15168194,-0.0640285,0.2449922,-0.3090207
81,-0.1950777,0.3723984,"('submissive', 'aggressive')",1.0237838,1.4359291,-1.1449137,-0.36743784,-0.1054025,0.4802965,-0.585699
29,-0.19189484,-0.36655527,"('unfair', 'fair')",-0.7071184,-0.7573457,-0.68036515,-0.8542932,-0.5264595,-0.659398,0.1329385
2,0.17510125,0.688392,"('unlikable', 'likable')",1.1264328,1.2266932,0.855416,1.3478701,0.7189833,1.0876517,-0.3686684
46,0.15685782,0.23058067,"('uncompetitive', 'competitive')",0.042551003,0.057694186,-0.92898333,-0.6035619,-0.2431915,-0.1050957,-0.1380958
43,0.14981471,0.069396324,"('irresponsible', 'responsible')",1.126554,1.0377465,0.365467,0.58714235,0.5472786,0.5647618,-0.0174832
61,-0.13867374,0.018707821,"('illogical', 'logical')",1.1338097,1.1541343,-0.32633895,-0.08169185,0.2229323,0.3637168,-0.1407845
83,0.13013242,0.124361865,"('powerless', 'powerful')",1.1262076,1.1334366,-1.3868906,-1.3605025,-0.0435169,-0.0342347,-0.0092822
47,-0.12301618,0.20990968,"('stupid', 'smart')",0.85162824,1.0032928,5.0782576,5.219061,1.9356232,2.1440878,-0.2084646
