,conocophillips_male,conocophillips_female,tuple,average_male,average_female,male-female
10,-2.490269,-2.5456777,"('unsympathetic', 'sympathetic')",-2.4902689,-2.5456777,0.0554088
69,2.2310684,2.3025026,"('lazy', 'industrious')",2.2310684,2.3025026,-0.0714342
46,-1.8101699,-1.8810576,"('uncompetitive', 'competitive')",-1.8101699,-1.8810576,0.0708877
55,-1.7360791,-1.7989944,"('incompetent', 'clever')",-1.7360791,-1.7989944,0.0629153
57,-1.6178346,-1.7409129,"('unimaginative', 'imaginative')",-1.6178346,-1.7409129,0.1230783
45,-1.5968685,-1.6772431,"('incompetent', 'competent')",-1.5968685,-1.6772431,0.0803746
86,-1.5896064,-1.6421605,"('uninfluential', 'influential')",-1.5896064,-1.6421605,0.0525541
13,-1.5480534,-1.3707498,"('impolite', 'polite')",-1.5480534,-1.3707498,-0.1773036
11,-1.539729,-1.5093657,"('unhelpful', 'helpful')",-1.539729,-1.5093657,-0.0303633
70,-1.4585038,-1.4900202,"('lethargic', 'energetic')",-1.4585038,-1.4900202,0.0315164
48,-1.4245986,-1.5372974,"('unintelligent', 'intelligent')",-1.4245986,-1.5372974,0.1126988
85,1.408452,1.4022717,"('insignificant', 'prestigious')",1.408452,1.4022717,0.0061803
30,-1.3826042,-1.3047777,"('intolerant', 'tolerant')",-1.3826042,-1.3047777,-0.0778265
51,-1.3638039,-1.2824063,"('uneducated', 'educated')",-1.3638039,-1.2824063,-0.0813976
43,-1.3636152,-1.3302722,"('irresponsible', 'responsible')",-1.3636152,-1.3302722,-0.033343
64,-1.3610702,-1.2900374,"('shy', 'confident')",-1.3610702,-1.2900374,-0.0710328
12,-1.3525274,-1.3743787,"('unsupportive', 'supportive')",-1.3525274,-1.3743787,0.0218513
35,1.3472952,1.4465574,"('corrupt', 'incorrupt')",1.3472952,1.4465574,-0.0992622
21,-1.2805704,-1.1315656,"('immoral', 'moral')",-1.2805704,-1.1315656,-0.1490048
81,-1.2385372,-1.2029364,"('submissive', 'aggressive')",-1.2385372,-1.2029364,-0.0356008
65,-1.2049863,-1.2049527,"('insecure', 'secure')",-1.2049863,-1.2049527,-3.36e-05
5,1.1657013,1.2557319,"('distant', 'outgoing')",1.1657013,1.2557319,-0.0900306
62,-1.0890229,-1.0937816,"('incompetent', 'brilliant')",-1.0890229,-1.0937816,0.0047587
0,-1.0869235,-1.1470753,"('unsociable', 'sociable')",-1.0869235,-1.1470753,0.0601518
6,1.0691023,1.1366539,"('distant', 'open')",1.0691023,1.1366539,-0.0675516
7,-1.0490402,-1.0398471,"('insensitive', 'sensitive')",-1.0490402,-1.0398471,-0.0091931
63,-1.0340642,-1.0733424,"('unperceptive', 'insightful')",-1.0340642,-1.0733424,0.0392782
60,-0.9269236,-0.86225754,"('inefficient', 'efficient')",-0.9269236,-0.8622575,-0.0646661
33,0.9063839,1.0157412,"('wrong', 'right')",0.9063839,1.0157412,-0.1093573
14,-0.8237217,-0.8577268,"('antisocial', 'social')",-0.8237217,-0.8577268,0.0340051
