,ryder_male,ryder_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
84,2.0214,1.714373,"('inferior', 'superior')",0.70392394,0.65033513,0.85421187,0.8382647,1.1931786,1.0676576,0.125521
31,-1.7777233,-1.9896181,"('evil', 'good')",-1.1796774,-1.102379,-0.8803543,-0.7612885,-1.2792517,-1.2844286,0.0051769
72,1.7229787,1.7671514,"('unambitious', 'ambitious')",-0.8975234,-0.79736435,-0.6327191,-0.61925143,0.0642454,0.1168452,-0.0525998
56,1.696409,2.0941126,"('impractical', 'practical')",0.7904044,0.80080456,0.025773168,0.043951407,0.8375289,0.9796229,-0.142094
39,1.64337,1.7761905,"('exploitative', 'cooperative')",1.1972079,1.3799103,0.09100369,0.16845661,0.9771939,1.1081858,-0.1309919
77,1.5638076,1.6081095,"('unmotivated', 'motivated')",0.5820615,0.5635134,-1.0327523,-1.1620607,0.371039,0.3365207,0.0345183
16,-1.5472031,-1.9269155,"('unpopular', 'popular')",-0.61612767,-0.64366406,0.5274833,0.5129453,-0.5452825,-0.6858781,0.1405956
60,1.4783616,2.0947258,"('inefficient', 'efficient')",2.1786532,2.1338925,0.36079866,0.22403504,1.3392712,1.484218,-0.1449468
62,1.4525069,2.0338507,"('incompetent', 'brilliant')",1.2733823,1.485736,0.47968188,0.6446559,1.0685237,1.3880808,-0.3195571
76,1.3880008,1.6098536,"('anxious', 'daring')",-0.19110459,-0.18611476,0.25998306,0.21011259,0.4856265,0.5446171,-0.0589906
44,-1.3715237,-1.4271927,"('prejudiced', 'unprejudiced')",-0.5491692,-0.5436135,-1.4750632,-1.4729816,-1.1319187,-1.1479292,0.0160105
57,-1.3378172,-0.93298984,"('unimaginative', 'imaginative')",-0.5539322,-0.509921,-2.4710588,-2.5499473,-1.4542694,-1.3309527,-0.1233167
36,-1.3314034,-1.7948182,"('hostile', 'amicable')",-1.9086475,-1.9773493,0.074844666,0.10534963,-1.0550687,-1.2222726,0.1672039
23,1.2604543,1.5919795,"('insincere', 'sincere')",1.2090766,1.1244601,5.788342,5.8786,2.7526245,2.8650131,-0.1123886
24,1.2415426,1.3708181,"('dishonest', 'honest')",-0.9407235,-0.8913358,0.71815366,0.86374104,0.3396576,0.4477411,-0.1080835
73,1.054081,0.8178384,"('helpless', 'self-reliant')",0.26036286,0.25007477,-2.8944714,-2.8315442,-0.5266759,-0.587877,0.0612011
27,-1.0023267,-0.88499624,"('hardhearted', 'softhearted')",-0.26686424,-0.23747142,1.2507157,1.3307705,-0.0061584,0.0694343,-0.0755927
55,0.9919883,1.5964166,"('incompetent', 'clever')",0.4942621,0.6423608,-0.14921127,-0.15182263,0.4456797,0.6956516,-0.2499719
75,-0.9699104,-1.3132188,"('meek', 'impulsive')",-1.246906,-1.3086091,-0.295989,-0.20039454,-0.8376018,-0.9407409,0.1031391
52,-0.9108042,-1.2472059,"('irrational', 'rational')",-0.42673025,-0.42553082,0.033190787,0.12387195,-0.4347812,-0.5162882,0.081507
69,-0.8487831,-1.17395,"('lazy', 'industrious')",0.2537162,0.26964015,-0.50499517,-0.4864873,-0.3666874,-0.463599,0.0969116
6,-0.84869736,-1.4934577,"('distant', 'open')",-1.5773301,-1.6919594,0.5505503,0.6867352,-0.6251591,-0.832894,0.2077349
78,-0.8478295,-0.7445942,"('nonresilient', 'resilient')",1.1052194,1.1038262,0.4158874,0.29132217,0.2244258,0.2168514,0.0075744
28,0.8313365,1.0809921,"('disloyal', 'loyal')",0.5176786,0.54315096,1.0939631,1.0470641,0.8143261,0.8904024,-0.0760763
1,-0.8058034,-1.0165812,"('unfriendly', 'friendly')",0.50963116,0.26021728,1.9956795,2.0195944,0.5665024,0.4210769,0.1454255
5,-0.8027957,-1.354508,"('distant', 'outgoing')",-1.1078725,-1.2536443,0.21280758,0.312481,-0.5659535,-0.7652238,0.1992703
35,-0.79557097,-1.0375663,"('corrupt', 'incorrupt')",-1.5191183,-1.5243244,-0.47010893,-0.33847004,-0.928266,-0.9667869,0.0385209
40,-0.79461175,-0.55215544,"('stingy', 'generous')",-0.2401642,0.07920429,-1.665111,-1.5221387,-0.8999623,-0.66503,-0.2349323
30,0.7941643,1.4873154,"('intolerant', 'tolerant')",1.5861307,1.575349,0.9833838,1.0527447,1.1212263,1.3718031,-0.2505768
67,0.7784495,0.76894623,"('doubtful', 'determined')",0.5263838,0.43803218,-0.43213746,-0.44609186,0.2908986,0.2536288,0.0372698
20,0.7776753,0.9331882,"('rough', 'thoughtful')",0.7225031,0.78378654,0.8835379,0.9813265,0.794572,0.8994338,-0.1048618
18,-0.7392716,-0.3675686,"('disagreeable', 'welcoming')",-0.33277863,-0.041320574,-0.48819563,-0.31591138,-0.520082,-0.2416002,-0.2784818
17,-0.7287086,-0.5855122,"('nasty', 'nice')",-0.97940356,-0.7654367,-0.7194418,-0.5391958,-0.8091847,-0.6300482,-0.1791365
7,0.7274826,1.0786357,"('insensitive', 'sensitive')",0.42848748,0.6025222,0.5712209,0.6808122,0.5757303,0.7873233,-0.211593
4,-0.68943626,-1.0751284,"('disliked', 'liked')",-1.2042571,-1.2394141,-6.008832,-6.234765,-2.6341751,-2.8497693,0.2155942
8,-0.6535628,-0.8383257,"('unaffectionate', 'affectionate')",-0.91156733,-1.0075103,0.87509143,0.97502315,-0.2300129,-0.2902709,0.060258
74,0.6492771,0.7758952,"('undedicated', 'dedicated')",0.4219658,0.5415301,-0.16999064,-0.22336069,0.3004174,0.3646882,-0.0642708
83,-0.63353854,-0.49249694,"('powerless', 'powerful')",-0.14686912,-0.09202729,-1.1435602,-1.1280136,-0.6413226,-0.5708459,-0.0704767
11,-0.626782,-0.36567625,"('unhelpful', 'helpful')",0.97937584,0.9350572,2.0942006,2.077365,0.8155982,0.8822486,-0.0666504
86,-0.62040526,-0.56232363,"('uninfluential', 'influential')",-0.3066892,-0.37202904,-0.37649155,-0.45892823,-0.4345287,-0.464427,0.0298983
48,0.59851164,1.1749325,"('unintelligent', 'intelligent')",0.8779767,0.9830771,0.7297344,0.6884676,0.7354076,0.9488257,-0.2134181
19,-0.5821009,-0.9051486,"('inhospitable', 'hospitable')",-1.6447577,-1.7600998,-0.0879918,0.00970508,-0.7716168,-0.8851811,0.1135643
26,-0.5732242,-0.37321028,"('hardhearted', 'benevolent')",0.2342534,0.3890924,1.1601532,1.2086358,0.2737275,0.4081726,-0.1344451
46,0.53458476,0.8063754,"('uncompetitive', 'competitive')",0.8272642,0.81007624,-0.70246106,-0.8419233,0.219796,0.2581761,-0.0383801
47,-0.5339593,-0.19903715,"('stupid', 'smart')",0.694229,0.8329097,5.57468,5.8574915,1.9116499,2.163788,-0.2521381
21,0.5256471,0.93113047,"('immoral', 'moral')",0.68947345,0.76301515,-0.82942367,-0.8049591,0.1285656,0.2963955,-0.1678299
15,-0.5157863,-0.55300426,"('boring', 'funny')",-1.0188046,-1.0183902,0.45329264,0.5323361,-0.3604327,-0.3463528,-0.0140799
2,0.50182253,0.55536985,"('unlikable', 'likable')",0.59258425,0.5050293,0.67976344,0.69498134,0.5913901,0.5851268,0.0062633
61,0.49659064,0.70239526,"('illogical', 'logical')",0.6114266,0.61297536,-0.0076566525,0.06414146,0.3667868,0.4598374,-0.0930506
53,-0.48889813,-0.39045852,"('uncreative', 'creative')",-0.12128632,-0.13376263,1.0826517,1.0828266,0.1574891,0.1862018,-0.0287127
54,0.47476435,0.23929116,"('incapable', 'capable')",-0.047290683,-0.21597362,1.4963328,1.5907445,0.6412688,0.5380207,0.1032481
66,-0.4314264,-0.68735373,"('inactive', 'active')",-1.7565894,-1.7018712,0.6379364,0.7383779,-0.5166932,-0.5502824,0.0335892
81,0.42036214,0.9012247,"('submissive', 'aggressive')",0.7001065,0.7242326,-0.6423933,-0.6627726,0.1593584,0.3208949,-0.1615365
13,0.41696894,0.8958579,"('impolite', 'polite')",-0.058291417,-0.0024840832,-0.062617324,-0.026245657,0.0986867,0.2890427,-0.190356
29,-0.41322067,-0.40734702,"('unfair', 'fair')",-0.20501655,-0.1473535,-0.558232,-0.36849165,-0.3921564,-0.3077307,-0.0844257
50,-0.41021597,-0.7104724,"('clumsy', 'skillful')",-0.24796166,-0.33092916,0.5391976,0.4696839,-0.03966,-0.1905726,0.1509126
25,-0.38927573,-0.48201114,"('egoistic', 'altruistic')",0.4251306,0.58540916,1.1776733,1.2577295,0.4045094,0.4537092,-0.0491998
32,-0.38712257,-0.29016313,"('unkind', 'kind')",-0.23928787,-0.2842286,0.96600974,0.87602675,0.1131998,0.100545,0.0126548
41,-0.33820108,-0.06234252,"('unforgiving', 'forgiving')",-0.5774763,-0.6023242,-0.017265595,-0.06821198,-0.310981,-0.2442929,-0.0666881
43,0.31398264,0.57164335,"('irresponsible', 'responsible')",0.074580334,-0.046473213,0.3309859,0.3304035,0.2398496,0.2851912,-0.0453416
88,-0.31129673,-0.33346742,"('low', 'eminent')",-0.42862982,-0.418106,0.2109911,0.08717476,-0.1763118,-0.2214662,0.0451544
59,-0.2969068,-0.6060937,"('foolish', 'wise')",-0.053844787,-0.12320457,0.62082154,0.72523695,0.0900233,-0.0013538,0.0913771
49,-0.28735024,-0.025186513,"('unable', 'able')",0.6381218,0.729384,0.32917452,0.48250362,0.2266487,0.395567,-0.1689183
3,0.28034517,0.4400786,"('repellent', 'pleasant')",0.59788126,0.6703263,-0.0024407888,0.009242809,0.2919285,0.3732159,-0.0812874
71,0.24507517,0.16327922,"('diffident', 'self-confident')",0.8790174,1.000934,0.5723051,0.5953222,0.5654659,0.5865118,-0.0210459
82,0.22602929,0.2518247,"('poor', 'rich')",-0.14962551,-0.30394104,6.273184,6.446298,2.1165291,2.1313939,-0.0148648
80,0.22405097,0.69693714,"('dominated', 'dominating')",0.0203375,0.3551314,-1.5135112,-1.3262678,-0.4230409,-0.0913998,-0.3316411
9,-0.22012359,-0.3979919,"('unaffectionate', 'caring')",-0.09164902,-0.2261112,1.4265184,1.4757186,0.371582,0.2838718,0.0877102
65,0.2173878,0.68465453,"('insecure', 'secure')",0.77777684,0.8512439,-0.2670277,-0.24210165,0.2427123,0.4312656,-0.1885533
87,0.19892442,0.18023975,"('unsuccessful', 'successful')",0.39377025,0.4631004,0.7503102,0.900035,0.4476683,0.5144584,-0.0667901
12,0.195639,0.37241256,"('unsupportive', 'supportive')",0.34485364,0.46420094,-1.6362991,-1.6725996,-0.3652688,-0.278662,-0.0866068
0,-0.17226672,0.14214155,"('unsociable', 'sociable')",0.2068795,0.22493239,-0.5480881,-0.5649843,-0.1711584,-0.0659701,-0.1051883
85,-0.17128558,-0.80919546,"('insignificant', 'prestigious')",-0.99792373,-0.95905185,0.16363567,0.3060968,-0.3351912,-0.4873835,0.1521923
51,0.16273957,0.14988872,"('uneducated', 'educated')",-0.5679414,-0.53645575,0.1430657,0.10004081,-0.0873787,-0.0955087,0.00813
68,0.1621544,0.10901539,"('dependent', 'independent')",0.5758419,0.5546429,-0.24424371,-0.23333673,0.1645842,0.1434405,0.0211437
79,0.16093503,-0.2209896,"('wavering', 'unwavering')",-2.063061,-2.0905018,0.060358655,0.18485071,-0.6139224,-0.7088803,0.0949579
33,0.14518572,-0.06431462,"('wrong', 'right')",-0.19466445,-0.2000322,-0.40675774,-0.28645423,-0.1520788,-0.1836003,0.0315215
38,0.1411121,0.14974602,"('untruthful', 'truthful')",-0.49979952,-0.54558337,0.3420058,0.37669808,-0.0055605,-0.0063798,0.0008193
22,0.11541866,0.5121158,"('untrustworthy', 'trustworthy')",0.32809505,0.5642502,-0.7657363,-0.55499506,-0.1074075,0.1737903,-0.2811978
64,-0.10225418,-0.15135619,"('shy', 'confident')",0.42880532,0.4625786,-6.2717276,-6.5323334,-1.9817255,-2.0737036,0.0919781
45,0.08383757,0.5104268,"('incompetent', 'competent')",0.034930155,0.050396368,-0.21906778,-0.22839203,-0.0334334,0.1108104,-0.1442438
70,-0.07464555,0.30269527,"('lethargic', 'energetic')",-0.20168597,-0.053372175,0.38029805,0.51543224,0.0346555,0.2549185,-0.220263
14,0.07459055,0.6534855,"('antisocial', 'social')",0.70169365,0.88512486,-1.0988048,-1.0180621,-0.1075069,0.1735161,-0.281023
34,0.057393614,0.013460172,"('mean', 'honorable')",0.32421198,0.30976158,5.8159404,5.9439173,2.0658487,2.0890463,-0.0231976
37,0.057185505,0.16623588,"('fake', 'genuine')",0.09645514,0.05053545,0.51955813,0.66901815,0.2243996,0.2952632,-0.0708636
42,0.056850802,0.1443447,"('unreliable', 'reliable')",-1.0877174,-1.0290257,-2.8448915,-2.7620525,-1.2919194,-1.2155778,-0.0763416
10,0.0039212545,0.58488506,"('unsympathetic', 'sympathetic')",-0.5275504,-0.51603085,-0.5317439,-0.5001808,-0.351791,-0.1437755,-0.2080155
63,0.0011689849,0.08911813,"('unperceptive', 'insightful')",0.61707956,0.5940268,1.2253437,1.1850312,0.6145307,0.6227254,-0.0081947
58,-4.104525e-05,0.19714946,"('undiscriminating', 'discriminating')",0.03458844,0.09506744,-0.1123065,-0.074979536,-0.0259197,0.0724125,-0.0983322
