,union_male,union_female,tuple,pacific_male,pacific_female,corp_male,corp_female,average_male,average_female,male-female
55,-2.8612945,-2.529264,"('incompetent', 'clever')",-1.5477443,-1.3394575,0.46408635,0.65062034,-1.3149841,-1.0727003,-0.2422838
81,-2.6402087,-2.0900195,"('submissive', 'aggressive')",-1.2153825,-0.9177222,-0.5553286,-0.22921118,-1.4703067,-1.0789843,-0.3913224
60,-2.41803,-1.7110393,"('inefficient', 'efficient')",-1.2595142,-0.7878597,-0.22861657,0.42252526,-1.3020535,-0.6921246,-0.6099289
13,-2.4175458,-1.8665167,"('impolite', 'polite')",-1.7147783,-1.5771798,-0.7902017,-0.38435104,-1.640842,-1.2760158,-0.3648262
49,-2.047568,-1.7517148,"('unable', 'able')",-0.73007333,-0.4774939,-0.43225417,-0.15841338,-1.0699651,-0.795874,-0.2740911
30,-2.002816,-1.661836,"('intolerant', 'tolerant')",-1.7953709,-1.7565078,0.091001585,0.25803256,-1.2357284,-1.0534371,-0.1822913
82,-1.953181,-1.5824988,"('poor', 'rich')",-0.35199267,-0.026637334,6.64742,6.921738,1.4474154,1.7708673,-0.3234519
77,-1.8610907,-1.5941054,"('unmotivated', 'motivated')",-0.4663822,-0.30836028,-0.9816742,-0.90548354,-1.103049,-0.935983,-0.167066
65,-1.7641318,-1.4383729,"('insecure', 'secure')",-0.6786764,-0.50019735,0.18354227,0.53443587,-0.7530886,-0.4680448,-0.2850438
69,1.713033,1.3550186,"('lazy', 'industrious')",1.1734945,1.0219405,-1.3144566,-1.568504,0.5240237,0.269485,0.2545387
46,-1.673976,-1.5141287,"('uncompetitive', 'competitive')",-0.24204695,-0.07444112,-0.82805973,-0.59690464,-0.9146942,-0.7284915,-0.1862027
51,-1.6427715,-1.0915313,"('uneducated', 'educated')",-0.59543264,-0.41691732,0.6096631,0.6953213,-0.542847,-0.2710424,-0.2718046
26,1.6275257,1.1199921,"('hardhearted', 'benevolent')",1.3131447,0.93460006,1.431887,1.0008851,1.4575192,1.0184924,0.4390268
45,-1.5934318,-1.5143738,"('incompetent', 'competent')",-0.99358946,-0.945359,-0.10731146,-0.06567339,-0.8981109,-0.841802,-0.0563089
52,1.5642419,1.1157197,"('irrational', 'rational')",-0.10650358,-0.39581078,-0.21512817,-0.44267794,0.4142034,0.0924103,0.3217931
22,-1.5635173,-1.5853671,"('untrustworthy', 'trustworthy')",-0.46129414,-0.6736221,-0.90602607,-0.93182075,-0.9769459,-1.0636032,0.0866573
85,1.5506318,0.7850451,"('insignificant', 'prestigious')",0.12835303,-0.06441435,-1.3086838,-1.57847,0.1234337,-0.2859464,0.4093801
10,-1.4734529,-1.4265453,"('unsympathetic', 'sympathetic')",-1.6310492,-1.5304627,0.24064577,0.41732407,-0.9546188,-0.8465613,-0.1080575
0,-1.4073455,-1.1744695,"('unsociable', 'sociable')",-1.392304,-1.2750907,-0.27367735,-0.20002335,-1.0244423,-0.8831945,-0.1412478
73,1.3889791,1.2249793,"('helpless', 'self-reliant')",-0.14410442,-0.27884084,-3.547763,-3.4481142,-0.7676295,-0.8339919,0.0663624
62,-1.3814163,-0.833882,"('incompetent', 'brilliant')",-0.7246428,-0.27322924,0.38796806,0.84609884,-0.572697,-0.0870041,-0.4856929
57,-1.3774647,-1.6482159,"('unimaginative', 'imaginative')",-0.05572554,-0.16370626,-2.8085427,-2.8432941,-1.413911,-1.5517387,0.1378277
48,-1.3299159,-1.0070409,"('unintelligent', 'intelligent')",-0.76022303,-0.4551813,0.40466735,0.59148866,-0.5618238,-0.2902445,-0.2715793
86,-1.2757703,-1.2257926,"('uninfluential', 'influential')",-0.46846694,-0.5155916,0.103098914,0.06048684,-0.5470461,-0.5602992,0.0132531
11,-1.2627938,-1.044183,"('unhelpful', 'helpful')",-1.7063615,-1.3825778,1.4115629,1.7313641,-0.5191975,-0.2317988,-0.2873987
25,1.213754,0.98202497,"('egoistic', 'altruistic')",0.35822582,0.34777158,1.3446138,1.1777384,0.9721979,0.835845,0.1363529
21,-1.1998445,-0.99125487,"('immoral', 'moral')",-0.30561376,-0.24600092,-0.10654886,0.02760888,-0.5373357,-0.4032156,-0.1341201
41,-1.1577249,-1.1912862,"('unforgiving', 'forgiving')",-0.11218617,-0.08246504,-0.27399087,-0.4632427,-0.514634,-0.578998,0.064364
64,-1.1476264,-1.065928,"('shy', 'confident')",-1.2840636,-1.3159353,-6.827958,-6.6699677,-3.0865494,-3.0172768,-0.0692726
54,-1.1341474,-1.256892,"('incapable', 'capable')",0.21890612,0.0809816,0.912709,0.9318937,-0.0008441,-0.0813389,0.0804948
76,-1.1224422,-0.600541,"('anxious', 'daring')",-0.14132789,0.31065682,0.10081405,0.4462604,-0.387652,0.0521254,-0.4397774
6,1.1156551,0.7151252,"('distant', 'open')",-0.14220038,-0.33526024,-0.78097445,-0.8241202,0.0641601,-0.1480851,0.2122452
70,-1.1085029,-0.89553094,"('lethargic', 'energetic')",-0.4589047,-0.35750306,0.6025323,0.761938,-0.3216251,-0.1636987,-0.1579264
47,-1.0715686,-0.9123798,"('stupid', 'smart')",-0.5936199,-0.42060462,5.1392865,5.315211,1.1580327,1.3274088,-0.1693761
56,-0.9499279,-0.51683325,"('impractical', 'practical')",-0.2723053,0.0338683,-0.7073084,-0.2574059,-0.6431806,-0.2467903,-0.3963903
79,0.9369465,0.62831,"('wavering', 'unwavering')",-0.14279959,-0.13045293,-0.45555964,-0.44884425,0.1128624,0.0163376,0.0965248
59,0.8858058,0.5098725,"('foolish', 'wise')",0.16052814,-0.20554525,-0.46613574,-0.45302567,0.1933994,-0.0495661,0.2429655
61,-0.8328793,-0.9097503,"('illogical', 'logical')",-0.7038894,-0.76704305,0.53936297,0.42210957,-0.3324686,-0.4182279,0.0857593
23,-0.8328361,-0.5634392,"('insincere', 'sincere')",-0.7972003,-0.60629374,6.2068844,6.4758277,1.525616,1.7686982,-0.2430822
67,0.80770165,0.96306527,"('doubtful', 'determined')",-0.781129,-0.72177374,-0.97844136,-0.9693018,-0.3172896,-0.2426701,-0.0746195
