,eastman_male,eastman_female,tuple,kodak_male,kodak_female,co_male,co_female,average_male,average_female,male-female
69,2.3148727,2.2093225,"('lazy', 'industrious')",3.2297227,3.1824408,-0.7642649,-0.622615,1.5934436,1.5897161,0.0037275
21,-2.2050347,-2.2420447,"('immoral', 'moral')",-2.3519816,-2.3817167,-0.5504736,-0.660003,-1.7024967,-1.7612548,0.0587581
85,2.1630323,1.9055644,"('insignificant', 'prestigious')",3.0601501,2.6972294,-0.7661592,-0.90311366,1.4856745,1.2332267,0.2524478
70,-1.9939973,-1.9936694,"('lethargic', 'energetic')",-2.681574,-2.602757,0.32259488,0.22114593,-1.4509923,-1.4584268,0.0074345
26,1.9520258,1.9282855,"('hardhearted', 'benevolent')",0.8455154,0.7905373,1.5694182,1.5506544,1.4556532,1.423159,0.0324942
10,-1.7863638,-1.6873369,"('unsympathetic', 'sympathetic')",-3.3329666,-3.135528,-0.1883937,-0.24527276,-1.7692413,-1.6893792,-0.0798621
46,-1.7436999,-1.7173833,"('uncompetitive', 'competitive')",-2.2929578,-2.1709316,-0.33589104,-0.47624516,-1.4575164,-1.4548534,-0.002663
45,-1.7350267,-1.6301045,"('incompetent', 'competent')",-2.5258403,-2.326367,-0.54349643,-0.53329533,-1.6014546,-1.4965889,-0.1048657
55,-1.6168202,-1.5784034,"('incompetent', 'clever')",-2.2895823,-2.2124863,0.52298224,0.31318438,-1.1278068,-1.1592352,0.0314284
1,1.6113207,1.395655,"('unfriendly', 'friendly')",0.11759413,-0.2441512,1.155846,1.002686,0.961587,0.7180633,0.2435237
36,1.5764974,1.2133902,"('hostile', 'amicable')",1.731591,1.3588961,-0.28804097,-0.66769654,1.0066825,0.6348633,0.3718192
33,1.5468187,1.3735528,"('wrong', 'right')",1.2973254,1.1403253,-0.5362597,-0.6130537,0.7692948,0.6336081,0.1356867
39,1.5168283,1.1509486,"('exploitative', 'cooperative')",0.04980603,-0.10058794,0.9684348,0.6776341,0.845023,0.5759983,0.2690247
74,1.4988254,1.422011,"('undedicated', 'dedicated')",-0.5260017,-0.5837739,0.24027833,0.13802785,0.4043674,0.3254217,0.0789457
76,-1.4909025,-1.4752501,"('anxious', 'daring')",-1.2994443,-1.2884344,0.330199,0.38012856,-0.8200493,-0.7945186,-0.0255307
59,1.4892697,1.172531,"('foolish', 'wise')",2.1313457,1.7760978,-0.10856395,-0.35432673,1.1706839,0.8647674,0.3059165
71,1.4826112,1.2132258,"('diffident', 'self-confident')",0.89301723,0.5850179,0.20173536,0.0031097606,0.8591212,0.6004512,0.25867
43,-1.4783727,-1.6192417,"('irresponsible', 'responsible')",-2.399701,-2.5166225,0.6327715,0.5237501,-1.0817674,-1.2040381,0.1222707
81,-1.4592086,-1.2984521,"('submissive', 'aggressive')",-2.132359,-1.8450416,-0.13323909,0.0047326535,-1.2416022,-1.0462537,-0.1953485
9,1.4289635,1.0871241,"('unaffectionate', 'caring')",0.22289243,-0.1884965,0.5716205,0.34709,0.7411588,0.4152392,0.3259196
6,1.4261786,1.2698758,"('distant', 'open')",0.70252675,0.3511778,-0.8276137,-0.9275772,0.4336972,0.2311588,0.2025384
40,1.3808343,1.419382,"('stingy', 'generous')",-0.044499893,0.01868695,-2.3452616,-2.4824622,-0.336309,-0.3481311,0.0118221
