,anadarko_male,anadarko_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,male-female
0,-1.9582208,-1.6421603,"('unsociable', 'sociable')",0.89016104,0.95955354,0.06967032,0.014354055,-0.3327965,-0.2227509,-0.1100456
10,-1.7489935,-1.4277412,"('unsympathetic', 'sympathetic')",0.19175404,0.2169719,-0.11670442,-0.21839225,-0.5579813,-0.4763872,-0.0815941
13,-1.6508839,-1.5605167,"('impolite', 'polite')",0.77095765,0.78491884,-0.18693264,-0.2324189,-0.3556196,-0.3360056,-0.019614
86,-1.600629,-1.6351696,"('uninfluential', 'influential')",0.41938308,0.25344586,-0.3816348,-0.5811469,-0.5209603,-0.6542902,0.1333299
21,-1.5325643,-0.8133433,"('immoral', 'moral')",1.7470206,2.0983386,-0.022925435,0.5303618,0.0638436,0.605119,-0.5412754
61,-1.5066017,-1.1821626,"('illogical', 'logical')",1.0737389,1.01746,0.47368848,0.4417554,0.0136086,0.0923509,-0.0787423
45,-1.4343292,-1.427406,"('incompetent', 'competent')",0.67693406,0.62190086,0.16795829,-0.122853234,-0.1964789,-0.3094528,0.1129739
43,-1.41957,-1.2663037,"('irresponsible', 'responsible')",0.5406865,0.6144296,0.5326383,0.4837845,-0.1154151,-0.0560299,-0.0593852
60,-1.4091313,-1.02205,"('inefficient', 'efficient')",1.1376548,1.2901825,0.52022135,0.41265208,0.0829149,0.2269282,-0.1440133
28,-1.339414,-1.5509255,"('disloyal', 'loyal')",0.91932535,0.6948891,0.763364,0.51426965,0.1144251,-0.1139222,0.2283473
63,-1.2554091,-1.4388608,"('unperceptive', 'insightful')",1.1528792,0.97147703,0.44890064,0.2196756,0.1154569,-0.0825694,0.1980263
20,-1.2464037,-1.1730202,"('rough', 'thoughtful')",-0.6712905,-0.5119,0.067111194,0.16295928,-0.616861,-0.5073203,-0.1095407
69,1.2435007,0.9416965,"('lazy', 'industrious')",0.2697696,0.1190348,-1.0364355,-1.0638202,0.158945,-0.0010297,0.1599747
