,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
57,-2.1493537,-2.1961055,"('unimaginative', 'imaginative')",-1.5667529,-1.2690288,-0.6249221,-0.42008793,-2.1003153,-2.2312667,-1.6103361,-1.5291221,-0.081214
10,-1.8876647,-2.0111938,"('unsympathetic', 'sympathetic')",-1.5896052,-1.5011207,-0.4034318,0.08629463,-0.02538173,0.35359442,-0.9765209,-0.7681063,-0.2084146
73,1.7104853,1.9092143,"('helpless', 'self-reliant')",0.7802192,0.73054886,-0.545912,-0.5660436,-3.1049645,-3.359614,-0.290043,-0.3214736,0.0314306
28,-1.6307603,-1.7434686,"('disloyal', 'loyal')",-0.21692504,-0.06840146,-0.26934558,-0.25768584,1.225418,1.3854415,-0.2229032,-0.1710286,-0.0518746
11,-1.5939158,-1.8836898,"('unhelpful', 'helpful')",-0.92810744,-0.99889994,-0.9966381,-1.1250396,1.9728172,2.2212512,-0.386461,-0.4465945,0.0601335
48,-1.5266544,-1.838793,"('unintelligent', 'intelligent')",0.24561897,0.3163864,-0.36270452,-0.36102456,0.49340183,0.46796197,-0.2875845,-0.3538673,0.0662828
0,-1.5142934,-1.7984685,"('unsociable', 'sociable')",-0.2675138,-0.38153058,0.29912692,0.37589285,-0.21953157,-0.34238106,-0.425553,-0.5366218,0.1110688
1,-1.5064474,-1.55815,"('unfriendly', 'friendly')",-0.7654632,-0.26827562,0.03395977,-0.1727537,1.7533586,1.5660124,-0.121148,-0.1082917,-0.0128563
86,-1.440006,-1.6472164,"('uninfluential', 'influential')",-0.8254918,-0.6070281,-0.11686381,0.1342803,-0.05983724,-0.15379596,-0.6105497,-0.5684401,-0.0421096
41,-1.4348233,-1.4952879,"('unforgiving', 'forgiving')",0.055964418,0.22818199,-0.013718292,-0.043216083,0.20957913,0.029525269,-0.2957495,-0.3201992,0.0244497
