,molson_male,molson_female,tuple,coors_male,coors_female,beverage_male,beverage_female,co_male,co_female,average_male,average_female,male-female
10,-1.9516628,-1.8691173,"('unsympathetic', 'sympathetic')",-3.403581,-3.658103,-1.8534799,-1.860622,0.29467854,0.11498082,-1.7285112,-1.8182154,0.0897042
55,-1.7207214,-1.4064356,"('incompetent', 'clever')",-2.1641617,-2.3016233,-1.0339273,-0.8974639,0.09202566,0.14847907,-1.2066962,-1.1142609,-0.0924353
73,1.598171,1.6245145,"('helpless', 'self-reliant')",2.7867444,2.8009953,1.220765,1.1936243,-3.1208718,-2.961049,0.6212022,0.6645212,-0.043319
81,-1.5693657,-1.1756961,"('submissive', 'aggressive')",-3.29705,-3.2050822,-1.4082651,-1.1834018,-1.1652046,-1.006786,-1.8599714,-1.6427416,-0.2172298
21,-1.5419625,-1.1517528,"('immoral', 'moral')",-2.4433544,-2.4845324,-0.6875269,-0.6604968,-0.81412834,-0.8454295,-1.371743,-1.2855529,-0.0861901
65,-1.5018948,-1.3572509,"('insecure', 'secure')",-2.0274756,-2.0497582,-0.97915876,-0.9396635,0.08288266,0.17500022,-1.1064116,-1.0429181,-0.0634935
85,1.4575473,0.972112,"('insignificant', 'prestigious')",2.2448158,2.1511405,2.287203,2.058516,-0.36583126,-0.4034779,1.4059336,1.1945727,0.2113609
3,-1.4297,-1.1399568,"('repellent', 'pleasant')",-1.4345709,-1.3858987,-1.8040388,-1.7950767,0.36249918,0.35202825,-1.0764526,-0.992226,-0.0842266
69,1.4216732,1.1494532,"('lazy', 'industrious')",2.5430207,2.6247194,1.1862986,1.1278292,-1.3699372,-1.374787,0.9452638,0.8818038,0.06346
57,-1.3380842,-1.4576516,"('unimaginative', 'imaginative')",-2.1825445,-2.4417377,-1.5366745,-1.5938016,-3.507694,-3.4935677,-2.1412494,-2.2466896,0.1054402
70,-1.3184103,-1.2215434,"('lethargic', 'energetic')",-1.9582748,-1.9627309,-1.2039537,-1.0485479,0.2886319,0.24330467,-1.0480018,-0.9973793,-0.0506225
48,-1.3005673,-1.2161064,"('unintelligent', 'intelligent')",-1.478036,-1.6742461,-0.13946925,-0.20378011,-0.14839642,-0.1739416,-0.7666172,-0.8170186,0.0504014
71,1.2704374,1.1824139,"('diffident', 'self-confident')",0.9783248,0.9971161,2.040459,2.0031235,0.42362943,0.3743202,1.1782125,1.1392434,0.0389691
62,-1.2310027,-0.88930017,"('incompetent', 'brilliant')",-2.1775534,-2.1488612,-0.46428362,-0.32345274,-0.2899622,-0.17779091,-1.0407004,-0.8848512,-0.1558492
11,-1.1280609,-1.0166367,"('unhelpful', 'helpful')",-1.4640348,-1.5559633,-0.060197957,-0.008104958,2.9301438,2.8922997,0.0694625,0.0778987,-0.0084362
5,1.1146029,0.85161257,"('distant', 'outgoing')",1.2416617,1.2839599,1.9725999,1.8671501,-0.78976136,-0.75272435,0.8847758,0.8124996,0.0722762
77,-1.0945207,-0.8255205,"('unmotivated', 'motivated')",-1.0352701,-0.98786104,-0.16691555,-0.075522184,-0.9912098,-1.0021987,-0.821979,-0.7227756,-0.0992034
30,-1.0740924,-0.80615866,"('intolerant', 'tolerant')",-2.0342689,-2.0095031,-0.1991399,-0.083411574,-0.05845788,0.10524884,-0.8414897,-0.6984562,-0.1430335
33,1.0500435,0.7989723,"('wrong', 'right')",1.3352487,1.2475636,1.545544,1.4159327,-0.5887006,-0.79937005,0.8355339,0.6657746,0.1697593
45,-1.0269352,-1.0540836,"('incompetent', 'competent')",-2.6398115,-2.7567046,0.063689455,-0.016431548,-0.5165284,-0.6464039,-1.0298964,-1.1184059,0.0885095
20,-1.0167164,-0.9368756,"('rough', 'thoughtful')",-0.40087992,-0.5101798,-0.4581473,-0.4925708,0.35091925,0.27416545,-0.3812061,-0.4163651,0.035159
14,-1.0130335,-0.60331464,"('antisocial', 'social')",-2.8523378,-2.772933,-0.11948249,-0.040668823,-1.1672342,-1.0964546,-1.288022,-1.1283427,-0.1596793
27,-1.0059849,-1.2896819,"('hardhearted', 'softhearted')",-0.53281933,-0.7017787,0.06808161,-0.107303694,0.80394983,0.6045221,-0.1666932,-0.3735605,0.2068673
