,sempra_male,sempra_female,tuple,energy_male,energy_female,average_male,average_female,male-female
86,-2.203154,-1.8650546,"('uninfluential', 'influential')",0.030547146,0.049331218,-1.0863035,-0.9078617,-0.1784418
10,-1.7226764,-1.4826894,"('unsympathetic', 'sympathetic')",-0.44734502,-0.43839964,-1.0850108,-0.9605445,-0.1244663
8,-1.5973692,-1.4460272,"('unaffectionate', 'affectionate')",0.9874342,1.1138109,-0.3049675,-0.1661081,-0.1388594
1,-1.5240872,-1.4935879,"('unfriendly', 'friendly')",1.9720176,1.874207,0.2239652,0.1903096,0.0336556
19,-1.5109954,-0.8481222,"('inhospitable', 'hospitable')",-0.7458282,-0.3700615,-1.1284118,-0.6090918,-0.51932
51,-1.5096083,-0.7142041,"('uneducated', 'educated')",-0.13528064,0.090071276,-0.8224444,-0.3120664,-0.510378
0,-1.4578868,-0.8233831,"('unsociable', 'sociable')",-0.22935426,-0.015923657,-0.8436205,-0.4196534,-0.4239671
9,-1.4220476,-1.3020002,"('unaffectionate', 'caring')",1.8395913,1.8022994,0.2087718,0.2501496,-0.0413778
44,1.3180457,1.0084769,"('prejudiced', 'unprejudiced')",-0.9936948,-1.2239628,0.1621755,-0.107743,0.2699185
6,-1.2188832,-1.1594092,"('distant', 'open')",-0.23059623,-0.026096217,-0.7247397,-0.5927527,-0.131987
82,-1.1856283,-0.22361271,"('poor', 'rich')",5.8538637,6.38419,2.3341177,3.0802886,-0.7461709
53,-1.1677462,-0.9894969,"('uncreative', 'creative')",0.6102632,0.6779035,-0.2787415,-0.1557967,-0.1229448
12,-1.1672257,-1.1280333,"('unsupportive', 'supportive')",-1.4427898,-1.5044721,-1.3050077,-1.3162527,0.011245
23,-1.1500868,-0.44774982,"('insincere', 'sincere')",6.37899,6.692021,2.6144516,3.1221356,-0.507684
46,-1.1047754,-0.92473245,"('uncompetitive', 'competitive')",-0.8126885,-0.9755224,-0.958732,-0.9501274,-0.0086046
