,walgreens_male,walgreens_female,tuple,boots_male,boots_female,alliance_male,alliance_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.130025,-2.4585934,"('unsympathetic', 'sympathetic')",-0.064046696,-0.6675449,1.3021812,1.0084894,0.4889403,0.22613896,-0.1007375,-0.4728775,0.37214
48,-1.9839463,-2.0124376,"('unintelligent', 'intelligent')",-0.56757575,-0.5288631,0.41907665,0.36037174,0.4015284,0.4481519,-0.4327292,-0.4331943,0.0004651
69,1.9205717,2.1185403,"('lazy', 'industrious')",0.25939056,0.48134857,0.061701193,0.18962584,-0.51622593,-0.74400586,0.4313594,0.5113772,-0.0800178
81,-1.8889027,-1.9894077,"('submissive', 'aggressive')",-0.2646292,-0.4456786,1.1627481,1.4042678,-1.2993639,-1.0746903,-0.5725369,-0.5263772,-0.0461597
57,-1.88142,-2.2285554,"('unimaginative', 'imaginative')",-1.0175848,-1.4104102,-0.52708435,-0.80057704,-2.2300055,-2.5616899,-1.4140236,-1.7503082,0.3362846
86,-1.6205685,-1.9063036,"('uninfluential', 'influential')",0.48713514,0.08931718,0.7575899,0.48200673,0.33107904,0.05967044,-0.0111911,-0.3188273,0.3076362
87,1.5778708,1.4949219,"('unsuccessful', 'successful')",0.72138333,0.76945245,0.66021675,0.8206603,0.48095217,0.38498604,0.8601058,0.8675052,-0.0073994
41,-1.5085045,-1.8531665,"('unforgiving', 'forgiving')",-0.069666095,-0.39635625,0.036946878,-0.20649138,-0.18917462,-0.2010641,-0.4325996,-0.6642696,0.23167
24,-1.441205,-1.6486273,"('dishonest', 'honest')",0.7463065,0.49960762,2.0176384,1.7614548,1.0759168,1.1435713,0.5996642,0.4390016,0.1606626
3,-1.432304,-1.4437904,"('repellent', 'pleasant')",-1.6602747,-1.6506488,0.27627763,0.3256167,-0.006537564,0.06394379,-0.7057098,-0.6762197,-0.0294901
72,-1.3776069,-1.421921,"('unambitious', 'ambitious')",-0.8314216,-0.8517987,-0.07447499,-0.047070496,-0.98998994,-0.7774324,-0.8183734,-0.7745557,-0.0438177
85,1.356834,1.3100774,"('insignificant', 'prestigious')",-0.109162025,0.0508056,-2.0869014,-2.3236618,0.5982521,0.4053763,-0.0602443,-0.1393506,0.0791063
50,1.33681,1.3656604,"('clumsy', 'skillful')",-0.38901776,-0.32806966,0.046492647,0.034537427,0.7481414,0.7035689,0.4356066,0.4439242,-0.0083176
21,-1.3202282,-1.4462572,"('immoral', 'moral')",-0.08392213,-0.3629129,1.6203455,1.618197,-0.88216686,-0.87832236,-0.1664929,-0.2673239,0.100831
70,-1.3187414,-1.3406255,"('lethargic', 'energetic')",0.011606306,-0.12654737,2.4033651,2.1203847,0.7117647,0.88785833,0.4519987,0.3852676,0.0667311
55,-1.2867652,-1.389446,"('incompetent', 'clever')",0.1639468,-0.07516697,1.632804,1.4952523,0.07729718,0.132904,0.1468207,0.0408858,0.1059349
30,-1.2476288,-1.4600973,"('intolerant', 'tolerant')",0.31269604,0.0574562,0.5815403,0.5600932,0.46550292,0.5805995,0.0280276,-0.0654871,0.0935147
18,-1.1274629,-1.1969355,"('disagreeable', 'welcoming')",-1.5254909,-1.6743802,-0.71420693,-0.8947528,-0.42813036,-0.37312216,-0.9488227,-1.0347977,0.085975
77,-1.1142739,-1.1655395,"('unmotivated', 'motivated')",-1.0074005,-1.0660975,0.36698925,0.507926,-1.2371092,-1.3149958,-0.7479486,-0.7596767,0.0117281
23,-1.110209,-1.2055705,"('insincere', 'sincere')",0.32877243,0.27306643,1.1311901,1.1803637,5.3381143,5.779989,1.4219669,1.5069621,-0.0849952
68,-1.1096363,-1.1508836,"('dependent', 'independent')",-1.7563055,-1.729,0.35278463,0.38172114,-0.5275974,-0.6182916,-0.7601886,-0.7791135,0.0189249
65,-1.1080106,-1.306534,"('insecure', 'secure')",-0.29163432,-0.6228084,1.7670034,1.7447,-0.5394946,-0.25864935,-0.043034,-0.110823,0.067789
58,-1.1062887,-1.2943918,"('undiscriminating', 'discriminating')",-0.88815767,-1.0486547,0.23579416,-0.19383329,0.5272424,0.25728905,-0.3078524,-0.5698977,0.2620453
35,1.0544792,1.0146475,"('corrupt', 'incorrupt')",-0.48082563,-0.4128641,-1.3255671,-1.3029263,0.12805584,-0.05883484,-0.1559644,-0.1899944,0.03403
71,0.9729698,0.92031074,"('diffident', 'self-confident')",2.2068079,2.3594813,1.2650756,1.0925889,0.6203822,0.5400505,1.2663089,1.2281079,0.038201
88,-0.9349006,-1.0624537,"('low', 'eminent')",0.16109756,0.05631724,0.17318511,-0.054252125,0.73148316,0.6842023,0.0327163,-0.0940466,0.1267629
14,-0.90670764,-1.211253,"('antisocial', 'social')",0.9292199,0.49593318,1.7918969,1.5473864,-0.8835449,-0.96347725,0.2327161,-0.0328527,0.2655688
22,-0.89254934,-1.0325916,"('untrustworthy', 'trustworthy')",-0.8364556,-1.0669827,2.0636046,1.7900776,-1.1288539,-1.0431088,-0.1985635,-0.3381514,0.1395879
27,-0.88344884,-0.9276341,"('hardhearted', 'softhearted')",0.08266293,0.06665524,0.93585306,0.6337305,1.6184359,1.5640327,0.4383758,0.3341961,0.1041797
73,0.87791324,0.91180736,"('helpless', 'self-reliant')",0.09203991,0.2754456,-0.78224677,-0.8916572,-3.3528802,-3.4410293,-0.7912934,-0.7863584,-0.004935
59,0.8212548,0.8615686,"('foolish', 'wise')",-0.0729025,0.08567166,-0.47031578,-0.4726546,0.35441867,0.33274227,0.1581138,0.201832,-0.0437182
7,-0.811885,-0.9556716,"('insensitive', 'sensitive')",0.23350759,0.062499896,1.4235464,1.138124,0.6266925,0.6711414,0.3679654,0.2290234,0.138942
40,-0.7966326,-1.0285916,"('stingy', 'generous')",-0.56137955,-0.8729601,-0.17817333,-0.60762674,-1.2758206,-1.648086,-0.7030015,-1.0393161,0.3363146
11,-0.7928038,-0.89974207,"('unhelpful', 'helpful')",0.6389532,0.5236946,1.4165515,1.3451005,2.5055673,2.4990401,0.942067,0.8670233,0.0750437
1,-0.7903192,-1.0559083,"('unfriendly', 'friendly')",1.2932748,1.0336366,0.23196986,-0.23585185,2.4506822,2.1480083,0.7964019,0.4724712,0.3239307
45,-0.7704636,-0.9982373,"('incompetent', 'competent')",0.6390569,0.4805034,1.5519729,1.3880866,0.060755193,-0.048127238,0.3703303,0.2055563,0.164774
28,-0.76749706,-1.1163071,"('disloyal', 'loyal')",1.4139551,0.95270145,1.116339,0.94839704,1.5994649,1.4367639,0.8405654,0.5553888,0.2851766
62,-0.74686795,-0.70057815,"('incompetent', 'brilliant')",0.2530796,0.28802878,0.7975805,0.9819304,-0.10565367,0.20207036,0.0495346,0.1928628,-0.1433282
43,-0.7311404,-0.95177656,"('irresponsible', 'responsible')",1.2088677,0.9715016,1.5038668,1.3013359,1.2640855,1.1697515,0.8114199,0.6227031,0.1887168
67,0.72394264,0.7964115,"('doubtful', 'determined')",0.4444871,0.55966324,1.2430645,1.5225511,-0.61467046,-0.5801541,0.4492059,0.5746179,-0.125412
79,0.72130847,0.711989,"('wavering', 'unwavering')",-0.4421585,-0.35718617,-1.2368761,-1.1772776,0.07318065,-0.067489,-0.2211364,-0.2224909,0.0013545
