,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.3625987,-2.2632303,"('unfriendly', 'friendly')",1.1741718,1.0888628,-0.5942134,-0.5871838,-0.0070296
8,-2.307708,-2.2388055,"('unaffectionate', 'affectionate')",0.4915418,0.6310188,-0.9080831,-0.8038933,-0.1041898
9,-2.111628,-2.0212,"('unaffectionate', 'caring')",1.1703929,1.3832242,-0.4706176,-0.3189878,-0.1516298
86,-2.107316,-2.0426369,"('uninfluential', 'influential')",-0.80198437,-0.8143295,-1.4546502,-1.4284832,-0.026167
53,-1.5184939,-1.5053276,"('uncreative', 'creative')",0.70749986,0.3980326,-0.405497,-0.5536475,0.1481505
19,-1.493472,-1.3587983,"('inhospitable', 'hospitable')",-0.78097254,-0.588167,-1.1372223,-0.9734826,-0.1637397
12,-1.4626715,-1.4307888,"('unsupportive', 'supportive')",-2.066106,-2.2214577,-1.7643888,-1.8261232,0.0617344
10,-1.3471895,-1.3919448,"('unsympathetic', 'sympathetic')",0.10285258,-0.10240303,-0.6221685,-0.7471739,0.1250054
28,-1.3336318,-1.2910713,"('disloyal', 'loyal')",1.2778367,1.2130929,-0.0278975,-0.0389892,0.0110917
44,1.316474,1.3323743,"('prejudiced', 'unprejudiced')",-1.1390953,-0.9323819,0.0886893,0.1999962,-0.1113069
0,-1.2059073,-1.3581519,"('unsociable', 'sociable')",-0.16091108,-0.3421567,-0.6834092,-0.8501543,0.1667451
6,-1.1892006,-0.91893244,"('distant', 'open')",-0.75098556,-0.5527233,-0.9700931,-0.7358279,-0.2342652
58,-1.1639295,-1.0755274,"('undiscriminating', 'discriminating')",-0.012224298,-0.21997711,-0.5880769,-0.6477523,0.0596754
42,1.1514893,0.97943556,"('unreliable', 'reliable')",-2.9363031,-3.2015529,-0.8924069,-1.1110587,0.2186518
31,-1.1503367,-1.1532512,"('evil', 'good')",-1.4296364,-1.2171063,-1.2899866,-1.1851788,-0.1048078
36,-1.1239462,-1.2086409,"('hostile', 'amicable')",-0.51642704,-0.45191544,-0.8201866,-0.8302782,0.0100916
38,-1.1198491,-1.1064799,"('untruthful', 'truthful')",-0.011408251,-0.08103428,-0.5656286,-0.5937571,0.0281285
85,-1.0426959,-0.92347455,"('insignificant', 'prestigious')",-0.7564529,-0.518783,-0.8995744,-0.7211288,-0.1784456
76,1.0369202,0.94300956,"('anxious', 'daring')",0.21280226,-0.0005567111,0.6248612,0.4712264,0.1536348
5,-0.99061185,-0.7873817,"('distant', 'outgoing')",-0.8117995,-0.63061786,-0.9012057,-0.7089998,-0.1922059
69,0.959633,0.9795695,"('lazy', 'industrious')",-0.8113208,-0.6495278,0.0741561,0.1650209,-0.0908648
2,0.9263829,0.7800743,"('unlikable', 'likable')",0.8518208,0.78468025,0.8891019,0.7823772,0.1067247
52,-0.91986305,-0.915532,"('irrational', 'rational')",-0.08137402,0.17692043,-0.5006185,-0.3693058,-0.1313127
41,-0.89185536,-1.0954025,"('unforgiving', 'forgiving')",-0.2009458,-0.30064926,-0.5464005,-0.6980259,0.1516254
73,0.8835863,0.81666327,"('helpless', 'self-reliant')",-3.4289205,-3.567211,-1.2726672,-1.3752738,0.1026066
80,0.8665311,0.9706558,"('dominated', 'dominating')",-0.92783624,-0.85537577,-0.0306526,0.05764,-0.0882926
26,-0.86314553,-0.7659757,"('hardhearted', 'benevolent')",1.2978057,1.3254348,0.2173301,0.2797295,-0.0623994
71,-0.8616473,-0.7427396,"('diffident', 'self-confident')",0.11050946,0.3734381,-0.3755689,-0.1846508,-0.1909181
57,-0.8592436,-0.7632663,"('unimaginative', 'imaginative')",-2.9320939,-3.3837955,-1.8956687,-2.0735309,0.1778622
72,-0.8154866,-0.8733314,"('unambitious', 'ambitious')",-0.40229538,-0.38137603,-0.608891,-0.6273537,0.0184627
23,-0.77149767,-0.8703101,"('insincere', 'sincere')",6.171018,6.2216787,2.6997602,2.6756842,0.024076
63,-0.75839114,-0.76151234,"('unperceptive', 'insightful')",0.38305214,0.21852183,-0.1876695,-0.2714953,0.0838258
24,-0.75597805,-0.7479635,"('dishonest', 'honest')",0.89213395,1.0190144,0.068078,0.1355254,-0.0674474
60,0.7473311,0.6946265,"('inefficient', 'efficient')",0.6966565,0.30092725,0.7219938,0.4977769,0.2242169
46,-0.7178972,-0.7831291,"('uncompetitive', 'competitive')",-0.62911195,-1.0531456,-0.6735046,-0.9181374,0.2446328
88,-0.7041515,-0.72597826,"('low', 'eminent')",0.08459324,-0.2293399,-0.3097791,-0.4776591,0.16788
79,-0.6995189,-0.7107958,"('wavering', 'unwavering')",-0.4426672,-0.28418013,-0.5710931,-0.497488,-0.0736051
56,0.6986321,0.6747337,"('impractical', 'practical')",0.21448223,-0.12831777,0.4565572,0.273208,0.1833492
78,-0.6650826,-0.5567787,"('nonresilient', 'resilient')",-0.00043692812,-0.16307743,-0.3327597,-0.3599281,0.0271684
27,-0.6546238,-0.52625597,"('hardhearted', 'softhearted')",0.68150157,0.8586876,0.0134389,0.1662158,-0.1527769
67,0.6269386,0.6090832,"('doubtful', 'determined')",-0.18133716,-0.0787098,0.2228007,0.2651867,-0.042386
50,0.61799556,0.41932496,"('clumsy', 'skillful')",0.30789578,0.12083256,0.4629457,0.2700788,0.1928669
25,-0.6111515,-0.6164946,"('egoistic', 'altruistic')",0.8026483,0.889192,0.0957484,0.1363487,-0.0406003
74,-0.60772973,-0.66547304,"('undedicated', 'dedicated')",-0.22800954,-0.51112694,-0.4178696,-0.5883,0.1704304
45,-0.6045498,-0.6565914,"('incompetent', 'competent')",0.049729493,-0.22012296,-0.2774102,-0.4383572,0.160947
54,-0.60266256,-0.5308217,"('incapable', 'capable')",0.6354541,1.0360961,0.0163958,0.2526372,-0.2362414
43,-0.5862053,-0.538203,"('irresponsible', 'responsible')",0.80857307,0.6695651,0.1111839,0.065681,0.0455029
48,-0.57206887,-0.42566028,"('unintelligent', 'intelligent')",0.9264081,0.7444936,0.1771696,0.1594167,0.0177529
39,0.55017275,0.6807789,"('exploitative', 'cooperative')",0.18132979,0.49553353,0.3657513,0.5881562,-0.2224049
4,-0.5437279,-0.6232683,"('disliked', 'liked')",-7.3326635,-7.7338414,-3.9381957,-4.178555,0.2403593
77,-0.5260532,-0.47985488,"('unmotivated', 'motivated')",-1.2062753,-1.2730336,-0.8661643,-0.8764442,0.0102799
18,-0.52007306,-0.66023755,"('disagreeable', 'welcoming')",-0.77004385,-0.7734642,-0.6450585,-0.7168509,0.0717924
64,0.51343894,0.43531278,"('shy', 'confident')",-6.176151,-6.4638605,-2.831356,-3.0142739,0.1829179
65,0.5113517,0.26459956,"('insecure', 'secure')",0.32442278,0.07347395,0.4178872,0.1690368,0.2488504
13,0.4989467,0.35185882,"('impolite', 'polite')",-0.32092988,-0.44830847,0.0890084,-0.0482248,0.1372332
32,-0.48269796,-0.57874155,"('unkind', 'kind')",1.2935991,1.0612105,0.4054506,0.2412345,0.1642161
61,-0.47083965,-0.53950965,"('illogical', 'logical')",0.27654335,0.26144892,-0.0971482,-0.1390304,0.0418822
83,-0.45013848,-0.23023762,"('powerless', 'powerful')",-0.85021895,-0.68581784,-0.6501787,-0.4580277,-0.192151
15,0.44079888,0.48745865,"('boring', 'funny')",0.22903779,0.22777693,0.3349183,0.3576178,-0.0226995
40,-0.4358424,-0.47661936,"('stingy', 'generous')",-2.3314085,-2.5599117,-1.3836255,-1.5182655,0.13464
35,0.43375486,0.58820844,"('corrupt', 'incorrupt')",-0.95023185,-0.5978879,-0.2582385,-0.0048397,-0.2533988
29,-0.4247204,-0.40983227,"('unfair', 'fair')",-0.53587526,-0.40971953,-0.4802978,-0.4097759,-0.0705219
59,-0.42440102,-0.32379878,"('foolish', 'wise')",0.032399632,0.3367869,-0.1960007,0.0064941,-0.2024948
11,-0.42318225,-0.49547672,"('unhelpful', 'helpful')",2.5310404,2.2388625,1.0539291,0.8716929,0.1822362
7,-0.41404533,-0.4485805,"('insensitive', 'sensitive')",0.32590324,0.10782373,-0.044071,-0.1703784,0.1263074
81,0.38704723,0.3168082,"('submissive', 'aggressive')",-0.08707156,-0.41468662,0.1499878,-0.0489392,0.198927
16,-0.37012377,-0.5224521,"('unpopular', 'popular')",0.041968934,-0.0036191419,-0.1640774,-0.2630356,0.0989582
30,0.35184205,0.23193394,"('intolerant', 'tolerant')",1.3291808,1.0948251,0.8405114,0.6633795,0.1771319
20,0.34076563,0.4950437,"('rough', 'thoughtful')",0.89178467,0.7442749,0.6162751,0.6196593,-0.0033842
37,0.30261025,0.30042505,"('fake', 'genuine')",0.45903906,0.48219877,0.3808247,0.3913119,-0.0104872
14,0.3024803,0.12047181,"('antisocial', 'social')",-0.106783,-0.1462514,0.0978487,-0.0128898,0.1107385
51,-0.29405206,-0.4672687,"('uneducated', 'educated')",0.2708828,0.015380546,-0.0115846,-0.2259441,0.2143595
70,-0.25370026,-0.35481563,"('lethargic', 'energetic')",0.451222,0.29451722,0.0987609,-0.0301492,0.1289101
34,0.24985617,0.27561167,"('mean', 'honorable')",5.9564342,6.083023,3.1031451,3.1793175,-0.0761724
49,-0.22588213,-0.086717084,"('unable', 'able')",-0.31067663,-0.1355682,-0.2682794,-0.1111426,-0.1571368
3,-0.1767035,-0.27011827,"('repellent', 'pleasant')",0.5959738,0.5345883,0.2096351,0.132235,0.0774001
62,0.15711378,0.075956546,"('incompetent', 'brilliant')",0.6299319,0.45704076,0.3935229,0.2664987,0.1270242
66,-0.15356436,-0.12422321,"('inactive', 'active')",-0.17557329,0.013347283,-0.1645688,-0.055438,-0.1091308
