,westrock_male,westrock_female,tuple,co_male,co_female,average_male,average_female,male-female
1,-1.8002886,-1.4023423,"('unfriendly', 'friendly')",1.1568936,1.3939686,-0.3216975,-0.0041869,-0.3175106
31,-1.7963984,-1.148969,"('evil', 'good')",-0.94106656,-0.86460465,-1.3687325,-1.0067868,-0.3619457
6,-1.7896376,-1.4520159,"('distant', 'open')",-0.36910397,-0.16575469,-1.0793707,-0.8088853,-0.2704854
36,-1.7050595,-1.040864,"('hostile', 'amicable')",-0.6279539,-0.4942394,-1.1665068,-0.7675517,-0.3989551
62,1.6595511,1.229273,"('incompetent', 'brilliant')",0.4734272,0.4161762,1.0664892,0.8227246,0.2437646
56,1.6363889,1.4353471,"('impractical', 'practical')",0.3380358,0.22311762,0.9872124,0.8292323,0.1579801
27,-1.5276911,-1.063807,"('hardhearted', 'softhearted')",0.57126576,0.6561326,-0.4782127,-0.2038372,-0.2743755
60,1.4987015,0.81816,"('inefficient', 'efficient')",0.5235846,0.35827222,1.011143,0.5882161,0.4229269
19,-1.3205262,-1.0164741,"('inhospitable', 'hospitable')",-0.41724968,-0.4491528,-0.868888,-0.7328135,-0.1360745
8,-1.2945663,-0.9395746,"('unaffectionate', 'affectionate')",0.41026953,0.6265426,-0.4421484,-0.156516,-0.2856324
5,-1.278067,-0.99424785,"('distant', 'outgoing')",-0.33400315,-0.20431396,-0.806035,-0.5992809,-0.2067541
88,-1.2173334,-1.3382381,"('low', 'eminent')",-0.7615657,-0.70605546,-0.9894496,-1.0221468,0.0326972
52,-1.2073214,-1.0990123,"('irrational', 'rational')",-0.36560568,-0.3642099,-0.7864636,-0.7316111,-0.0548525
85,-1.2050107,-0.7622511,"('insignificant', 'prestigious')",-1.2268795,-1.0315495,-1.215945,-0.8969003,-0.3190447
76,1.0824195,0.92722315,"('anxious', 'daring')",0.09782055,0.21470533,0.59012,0.5709642,0.0191558
35,-1.0560806,-0.4226977,"('corrupt', 'incorrupt')",-0.8081211,-0.7367315,-0.9321008,-0.5797146,-0.3523862
39,1.0224181,0.7787671,"('exploitative', 'cooperative')",0.55415624,0.58355784,0.7882872,0.6811625,0.1071247
80,1.0216091,0.89356905,"('dominated', 'dominating')",-0.755983,-0.8568413,0.132813,0.0183639,0.1144491
26,-1.019268,-0.7174902,"('hardhearted', 'benevolent')",1.0384108,1.2815115,0.0095714,0.2820107,-0.2724393
53,-0.9750667,-0.59071904,"('uncreative', 'creative')",0.31829965,0.5050136,-0.3283835,-0.0428527,-0.2855308
81,0.9594084,0.44204056,"('submissive', 'aggressive')",-0.47685796,-0.67111313,0.2412752,-0.1145363,0.3558115
79,-0.9342885,-0.44715533,"('wavering', 'unwavering')",-0.56228125,-0.565165,-0.7482849,-0.5061601,-0.2421248
42,0.9241212,1.0665786,"('unreliable', 'reliable')",-2.967648,-2.7154481,-1.0217634,-0.8244348,-0.1973286
86,-0.87013716,-0.95409256,"('uninfluential', 'influential')",-0.56326973,-0.5870439,-0.7167034,-0.7705683,0.0538649
23,0.8627803,0.40226594,"('insincere', 'sincere')",6.1387105,6.043404,3.5007453,3.2228351,0.2779102
