,dr_male,dr_female,tuple,horton_male,horton_female,inc_male,inc_female,average_male,average_female,male-female
36,-3.2898839,-2.9726639,"('hostile', 'amicable')",-1.6982869,-1.5022762,-0.10570182,-0.8564014,-1.6979575,-1.7771139,0.0791564
6,-3.2144136,-2.9147892,"('distant', 'open')",-2.11682,-1.4591359,-0.5793026,-0.5541428,-1.9701789,-1.6426894,-0.3274895
62,3.0396779,2.9375212,"('incompetent', 'brilliant')",1.6236193,1.5930717,0.40872866,1.0040874,1.6906753,1.8448935,-0.1542182
55,2.9953384,2.2730045,"('incompetent', 'clever')",1.9517437,1.2930604,0.55072707,0.3091671,1.832603,1.291744,0.540859
60,2.9845152,1.9142066,"('inefficient', 'efficient')",2.4390993,1.3228887,0.3134773,0.70711356,1.912364,1.3147363,0.5976277
35,-2.9678488,-2.5462027,"('corrupt', 'incorrupt')",-1.5528105,-1.0567553,-0.6273797,-0.9989385,-1.7160131,-1.5339654,-0.1820477
56,2.9582386,2.6496675,"('impractical', 'practical')",1.6053146,1.1073064,0.12982728,0.540902,1.5644603,1.4326253,0.131835
5,-2.848882,-2.3782375,"('distant', 'outgoing')",-1.7892747,-1.1879512,-0.9290825,-0.71534747,-1.8557464,-1.4271787,-0.4285677
46,2.843884,2.1363716,"('uncompetitive', 'competitive')",1.6001219,1.378897,0.42523408,0.03724217,1.6230799,1.1841702,0.4389097
31,-2.8405795,-2.2485974,"('evil', 'good')",-2.3031275,-1.614577,-1.230106,-1.2792234,-2.1246044,-1.7141326,-0.4104718
13,2.6331997,1.9108546,"('impolite', 'polite')",2.9300802,2.5583327,0.001756601,0.11758698,1.8550123,1.5289248,0.3260875
85,-2.6128008,-2.6063027,"('insignificant', 'prestigious')",-2.5305042,-2.2878616,0.14172722,-0.5781238,-1.6671925,-1.824096,0.1569035
81,2.6112084,1.7313635,"('submissive', 'aggressive')",1.0375053,0.19019681,-0.34096998,-0.27942723,1.1025812,0.5473777,0.5552035
51,2.5231402,2.816084,"('uneducated', 'educated')",1.4935821,1.0121588,0.5708549,0.456442,1.5291923,1.4282282,0.1009641
45,2.470116,2.2765858,"('incompetent', 'competent')",2.2513378,2.015618,0.50511366,0.6275345,1.7421891,1.6399128,0.1022763
0,2.3856187,1.8311276,"('unsociable', 'sociable')",2.0541356,1.404788,0.054255884,-0.081636146,1.4980035,1.0514265,0.446577
12,2.37258,2.2741332,"('unsupportive', 'supportive')",0.3891472,0.93470216,-1.2743788,-1.1013961,0.4957829,0.7024798,-0.2066969
30,2.3040051,1.7101872,"('intolerant', 'tolerant')",1.5352386,1.0480508,1.365066,1.3039047,1.73477,1.3540475,0.3807225
32,2.296048,1.7923989,"('unkind', 'kind')",0.44396237,-0.005176249,1.1614048,1.0784793,1.3004717,0.955234,0.3452377
69,-2.2953103,-1.7946017,"('lazy', 'industrious')",-0.9179241,-0.9508246,-1.0172714,-1.1306859,-1.4101686,-1.2920373,-0.1181313
