,lumen_male,lumen_female,tuple,techologies_male,techologies_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.2406223,-1.9082015,"('evil', 'good')",-2.091176,-2.0800266,-0.9699137,-0.90877753,-1.7672373,-1.6323352,-0.1349021
6,-2.1655035,-1.5272666,"('distant', 'open')",-1.8194603,-1.5163592,0.0758434,0.29869577,-1.3030402,-0.9149767,-0.3880635
5,-2.024634,-1.4332234,"('distant', 'outgoing')",-1.7904466,-1.5855992,-0.45079976,-0.3208496,-1.4219602,-1.1132241,-0.3087361
19,-1.9933498,-1.6072831,"('inhospitable', 'hospitable')",-1.8867842,-1.721854,-0.47385457,-0.5089716,-1.4513295,-1.2793695,-0.17196
36,-1.9824144,-1.574432,"('hostile', 'amicable')",-2.0979707,-2.0538795,0.0009023454,0.057417378,-1.3598277,-1.1902981,-0.1695296
79,-1.7495558,-1.2315161,"('wavering', 'unwavering')",-1.905909,-1.7120736,-0.46232906,-0.14155865,-1.3725979,-1.0283828,-0.3442151
9,-1.6615837,-1.440137,"('unaffectionate', 'caring')",-1.6361384,-1.6830646,0.8068588,0.79673254,-0.8302878,-0.7754896,-0.0547982
1,-1.6449522,-1.505778,"('unfriendly', 'friendly')",-1.2421775,-1.3538475,1.3440386,1.2044551,-0.5143637,-0.5517234,0.0373597
85,-1.6413399,-1.4064878,"('insignificant', 'prestigious')",-2.0141623,-1.9979568,0.24308418,0.1671331,-1.1374727,-1.0791039,-0.0583688
60,1.5743767,1.3428297,"('inefficient', 'efficient')",3.0452397,2.9810705,0.26424852,0.14510563,1.627955,1.4896687,0.1382863
53,-1.3841295,-1.0019745,"('uncreative', 'creative')",-0.5416688,-0.23296377,0.7651003,0.8535988,-0.3868993,-0.1271132,-0.2597861
66,-1.2561319,-1.1084307,"('inactive', 'active')",-0.8534743,-0.75639856,0.52455086,0.52624995,-0.5283518,-0.4461931,-0.0821587
8,-1.204549,-1.043297,"('unaffectionate', 'affectionate')",-2.2121427,-2.3327641,0.6165099,0.442014,-0.933394,-0.9780157,0.0446217
38,-1.1245137,-0.98368776,"('untruthful', 'truthful')",-0.51713127,-0.4288228,-0.3073258,-0.13247997,-0.6496569,-0.5149968,-0.1346601
76,1.1230541,1.4931543,"('anxious', 'daring')",1.5143812,1.7802851,0.6190657,0.9071466,1.0855004,1.3935286,-0.3080282
52,-1.0921174,-0.8089196,"('irrational', 'rational')",-1.3005271,-1.294281,-0.38934797,-0.25674483,-0.9273308,-0.7866485,-0.1406823
78,-1.0898848,-0.9405476,"('nonresilient', 'resilient')",0.2179095,0.19961858,0.30161047,0.11138717,-0.1901216,-0.2098473,0.0197257
55,1.0682206,0.81462866,"('incompetent', 'clever')",1.5051804,1.5731671,0.33657002,0.21760656,0.9699903,0.8684674,0.1015229
2,1.0672385,1.0808926,"('unlikable', 'likable')",0.15420273,0.25514016,0.5294856,0.59090966,0.5836422,0.6423141,-0.0586719
65,1.066281,1.013357,"('insecure', 'secure')",1.3885992,1.3191342,-0.08756163,0.14622855,0.7891062,0.82624,-0.0371338
67,1.0293958,0.8816028,"('doubtful', 'determined')",1.2564605,1.1013767,-0.47646925,-0.53213763,0.603129,0.483614,0.119515
4,-0.9884008,-0.9567855,"('disliked', 'liked')",-0.71671295,-0.65642685,-6.145804,-6.4916544,-2.6169726,-2.7016223,0.0846497
16,-0.9607282,-0.9436865,"('unpopular', 'popular')",-1.2040107,-1.1874745,0.39771312,0.4716202,-0.5890086,-0.5531803,-0.0358283
56,0.8873586,0.7823019,"('impractical', 'practical')",1.3985821,1.4977676,-0.37276646,-0.21517405,0.6377247,0.6882985,-0.0505738
86,-0.88595027,-1.1414828,"('uninfluential', 'influential')",-0.14659598,-0.27311888,-0.28662717,-0.61697304,-0.4397245,-0.6771916,0.2374671
44,0.8725453,0.82971317,"('prejudiced', 'unprejudiced')",0.90948105,0.98147696,-0.89783466,-0.79342943,0.2947305,0.3392536,-0.0445231
80,0.8489088,0.43517804,"('dominated', 'dominating')",1.1191286,1.0150872,-1.3017275,-1.463448,0.2221033,-0.0043943,0.2264976
14,0.82983136,0.63742805,"('antisocial', 'social')",2.025718,2.017691,-0.45685932,-0.4498773,0.7995633,0.7350806,0.0644827
57,-0.82679135,-0.8065644,"('unimaginative', 'imaginative')",0.77106404,0.90958196,-2.2605858,-2.5197604,-0.7721043,-0.8055809,0.0334766
51,-0.7707613,-0.7833926,"('uneducated', 'educated')",0.35489935,0.43825483,-0.21991117,-0.33563465,-0.2119244,-0.2269241,0.0149997
61,-0.76663667,-0.73674494,"('illogical', 'logical')",0.31645158,0.3463089,-0.16790393,-0.1660986,-0.2060297,-0.1855115,-0.0205182
88,-0.7554719,-0.93875635,"('low', 'eminent')",-0.025228262,-0.12795575,-0.080026895,-0.11473429,-0.286909,-0.3938155,0.1069065
81,0.7453615,0.46861446,"('submissive', 'aggressive')",2.0348814,2.0791514,-0.40968698,-0.35949308,0.7901853,0.7294242,0.0607611
