,eastman_male,eastman_female,tuple,chemical_male,chemical_female,co_male,co_female,average_male,average_female,male-female
26,2.9378724,2.7049882,"('hardhearted', 'benevolent')",2.056873,1.6647073,2.0558505,1.8662487,2.3501986,2.0786481,0.2715505
69,2.5056024,2.6737921,"('lazy', 'industrious')",1.6428328,1.6327245,-0.5116082,-0.56379,1.2122757,1.2475755,-0.0352998
76,-2.5007215,-2.6178334,"('anxious', 'daring')",-1.3289837,-1.3983088,-0.25482285,-0.19446458,-1.3615093,-1.4035355,0.0420262
85,2.3189487,2.4050193,"('insignificant', 'prestigious')",1.6495749,1.570232,-0.13697112,-0.38195068,1.2771842,1.1977669,0.0794173
55,-2.3156257,-2.300755,"('incompetent', 'clever')",-0.34484243,-0.42086437,-0.042672772,-0.029805157,-0.901047,-0.9171415,0.0160945
21,-2.2520342,-2.4885979,"('immoral', 'moral')",-0.75995106,-0.86756617,-0.9638794,-1.0841641,-1.3252882,-1.4801094,0.1548212
60,-2.249969,-2.1082587,"('inefficient', 'efficient')",-0.14066951,-0.0020544901,-0.785852,-0.4261703,-1.0588302,-0.8454945,-0.2133357
36,2.203163,2.0910113,"('hostile', 'amicable')",-0.39113432,-0.4763887,0.033480406,-0.2740816,0.6151697,0.446847,0.1683227
13,-2.1594872,-2.1987314,"('impolite', 'polite')",-0.70415884,-0.90236,-0.49593022,-0.28072333,-1.1198587,-1.1272716,0.0074129
43,-2.1282606,-2.014497,"('irresponsible', 'responsible')",-1.1799796,-0.91449404,0.014786493,0.40864384,-1.0978179,-0.8401157,-0.2577022
65,-2.0703933,-2.2033992,"('insecure', 'secure')",-1.3734999,-1.5674088,-0.38176087,-0.22518843,-1.275218,-1.3319988,0.0567808
46,-2.0380743,-2.1145518,"('uncompetitive', 'competitive')",-0.40441996,-0.56825507,-0.5948264,-0.7550513,-1.0124402,-1.1459528,0.1335126
45,-2.0347505,-1.8422886,"('incompetent', 'competent')",-0.53297293,-0.47551814,-0.38474214,-0.5449203,-0.9841552,-0.9542424,-0.0299128
1,1.8956574,1.856533,"('unfriendly', 'friendly')",1.4736346,1.3404862,1.7772017,1.8261366,1.715498,1.6743852,0.0411128
62,-1.8093226,-1.5126537,"('incompetent', 'brilliant')",-0.19955537,-0.018207904,-0.4286633,-0.08710435,-0.8125137,-0.539322,-0.2731917
5,1.7634679,1.7209479,"('distant', 'outgoing')",-0.062088393,-0.006054044,-0.699718,-0.44496626,0.3338872,0.4233092,-0.089422
70,-1.7298503,-1.601695,"('lethargic', 'energetic')",-1.2259989,-1.1763301,0.1659157,0.35789362,-0.9299778,-0.8067105,-0.1232673
33,1.6742688,1.6491888,"('wrong', 'right')",1.1208493,1.0918787,-0.5602536,-0.46929982,0.7449548,0.7572559,-0.0123011
74,1.6673807,1.7269646,"('undedicated', 'dedicated')",0.6114864,0.7720391,0.36668035,0.46888408,0.8818491,0.9892959,-0.1074468
63,-1.6367203,-1.6456395,"('unperceptive', 'insightful')",0.038127385,0.07720186,0.8265766,0.72927415,-0.2573388,-0.2797212,0.0223824
35,1.6104308,1.5749953,"('corrupt', 'incorrupt')",-0.49293542,-0.5174357,-0.6322694,-0.80688524,0.161742,0.0835581,0.0781839
6,1.5872581,1.6459132,"('distant', 'open')",-0.14751086,0.014312878,-0.4506477,-0.14015253,0.3296998,0.5066912,-0.1769914
42,-1.5660641,-1.4851482,"('unreliable', 'reliable')",-0.6697204,-0.57173795,-2.9174464,-2.7726257,-1.7177436,-1.6098372,-0.1079064
22,-1.5584906,-1.402864,"('untrustworthy', 'trustworthy')",-1.113072,-0.9055815,-0.9278573,-0.80852264,-1.1998067,-1.0389894,-0.1608173
0,-1.5471203,-1.8386234,"('unsociable', 'sociable')",0.3660056,0.010759953,-0.20782992,-0.4898668,-0.4629815,-0.7725767,0.3095952
81,-1.5413446,-1.7777288,"('submissive', 'aggressive')",-0.08194329,-0.2787723,-0.48420227,-0.74157125,-0.7024967,-0.9326908,0.2301941
64,-1.5314176,-1.5342715,"('shy', 'confident')",-0.99221724,-0.85563034,-6.387565,-6.1169314,-2.9703999,-2.835611,-0.1347889
9,1.5253023,1.3826598,"('unaffectionate', 'caring')",0.80712414,0.7363351,0.9611375,1.0929694,1.0978547,1.0706548,0.0271999
56,-1.512536,-1.4091312,"('impractical', 'practical')",0.59546334,0.78099084,-0.6224003,-0.42970037,-0.5131577,-0.3526136,-0.1605441
44,-1.5017645,-1.1874188,"('prejudiced', 'unprejudiced')",-1.4558424,-1.1699452,-2.0801282,-1.6744398,-1.679245,-1.3439347,-0.3353103
40,1.4391997,1.6174712,"('stingy', 'generous')",1.0728008,1.196687,-2.0939615,-1.9004833,0.1393464,0.3045583,-0.1652119
59,1.3764654,1.4940356,"('foolish', 'wise')",-0.33844903,-0.16242984,-0.27274245,-0.05110293,0.2550913,0.4268343,-0.171743
11,-1.2833849,-1.4407222,"('unhelpful', 'helpful')",-0.072887674,-0.15528876,2.5574765,2.5272439,0.4004013,0.310411,0.0899903
10,-1.2827814,-1.5896378,"('unsympathetic', 'sympathetic')",-0.9175261,-1.2142563,0.082417145,-0.18425712,-0.7059634,-0.9960504,0.290087
3,-1.2762623,-1.2778647,"('repellent', 'pleasant')",-1.2854106,-1.4176177,0.7613302,0.5297828,-0.6001143,-0.7218998,0.1217855
39,1.2754734,1.2740409,"('exploitative', 'cooperative')",0.26797915,0.29223338,0.27517632,0.35720512,0.6062096,0.6411598,-0.0349502
52,1.2541708,1.1097723,"('irrational', 'rational')",-0.3259217,-0.32999635,-0.18072225,-0.21925847,0.2491756,0.1868392,0.0623364
14,-1.253822,-1.4975355,"('antisocial', 'social')",-0.10243319,-0.42630613,-0.1393967,-0.4093532,-0.4985506,-0.7777316,0.279181
77,-1.2363425,-1.1591624,"('unmotivated', 'motivated')",0.14747344,0.10487814,-1.3006452,-1.4173434,-0.7965048,-0.8238759,0.0273711
80,-1.2353086,-1.1363397,"('dominated', 'dominating')",-0.7817105,-0.8519212,-0.07920244,-0.1496361,-0.6987406,-0.7126323,0.0138917
8,1.2338476,1.1266366,"('unaffectionate', 'affectionate')",0.8526187,0.83436394,0.6053441,0.7070752,0.8972701,0.8893586,0.0079115
15,1.201343,0.95531833,"('boring', 'funny')",-0.3019813,-0.18152514,0.8307695,0.7828016,0.5767104,0.5188649,0.0578455
29,-1.1360048,-1.0765256,"('unfair', 'fair')",-1.0728471,-0.9348145,-1.039818,-0.994864,-1.08289,-1.002068,-0.080822
71,1.1353177,1.1050069,"('diffident', 'self-confident')",1.0041192,0.95675296,0.11907257,-0.015127838,0.7528365,0.6822107,0.0706258
66,1.1018088,1.0620297,"('inactive', 'active')",-0.74898607,-0.91585344,0.6912407,0.51183784,0.3480211,0.219338,0.1286831
53,1.0998908,0.93993044,"('uncreative', 'creative')",0.6114212,0.31731388,1.0175089,0.78426015,0.9096069,0.6805015,0.2291054
30,-1.0964694,-1.2321328,"('intolerant', 'tolerant')",-0.6897077,-0.8078214,0.10179196,0.034946125,-0.5614617,-0.668336,0.1068743
7,-1.0841135,-1.1162161,"('insensitive', 'sensitive')",-0.41451222,-0.5099757,0.3269924,0.3668027,-0.3905445,-0.4197963,0.0292518
51,-0.9748255,-1.436339,"('uneducated', 'educated')",-0.24140649,-0.48379704,0.9957135,0.61978865,-0.0735062,-0.4334491,0.3599429
31,0.9661337,1.2690964,"('evil', 'good')",0.28613192,0.40181357,-1.020505,-1.0180491,0.0772536,0.2176203,-0.1403667
18,0.95279205,0.8777122,"('disagreeable', 'welcoming')",0.09718071,0.0051377416,-0.93308055,-0.85205954,0.0389641,0.0102635,0.0287006
27,0.85943204,0.6994093,"('hardhearted', 'softhearted')",-0.7965898,-0.8635689,0.8000032,0.9518178,0.2876151,0.2625527,0.0250624
25,0.83831245,0.8042269,"('egoistic', 'altruistic')",0.911425,0.86939126,1.2884552,1.3248892,1.0127309,0.9995024,0.0132285
38,-0.82828605,-0.75820255,"('untruthful', 'truthful')",-0.21277563,0.03677757,0.18217567,0.26551354,-0.2862953,-0.1519705,-0.1343248
19,0.78483653,0.67340916,"('inhospitable', 'hospitable')",-0.47433636,-0.49529088,0.27758107,0.2684193,0.1960271,0.1488459,0.0471812
54,0.7603872,0.60065985,"('incapable', 'capable')",-0.050003953,-0.34160942,1.0796858,0.9950735,0.5966897,0.4180413,0.1786484
47,-0.7118964,-0.54992986,"('stupid', 'smart')",0.052426368,0.06534049,4.7876554,4.8892612,1.3760618,1.4682239,-0.0921621
28,-0.6815522,-1.0893551,"('disloyal', 'loyal')",0.49787974,0.13390881,1.1518562,0.68197095,0.3227279,-0.0911584,0.4138863
88,0.6522591,0.26406643,"('low', 'eminent')",-0.044891424,-0.33671555,0.11291945,-0.31610504,0.2400957,-0.1295847,0.3696804
57,-0.6424657,-0.7645499,"('unimaginative', 'imaginative')",-0.15100256,-0.28092322,-2.7356892,-2.917726,-1.1763858,-1.3210664,0.1446806
83,-0.59819305,-0.4578059,"('powerless', 'powerful')",-0.12132845,-0.0011695847,-1.4604852,-1.4922472,-0.7266689,-0.6504076,-0.0762613
12,0.5913949,0.7138582,"('unsupportive', 'supportive')",0.8729991,1.0248454,-1.5262222,-1.3739086,-0.0206094,0.1215983,-0.1422077
73,0.56056076,0.78213555,"('helpless', 'self-reliant')",0.089099616,0.2492424,-3.6955912,-3.173845,-1.0153103,-0.7141557,-0.3011546
2,0.5282534,0.6648951,"('unlikable', 'likable')",0.67012143,0.6992331,0.9372788,1.019408,0.7118845,0.7945121,-0.0826276
48,-0.50773644,-0.67457503,"('unintelligent', 'intelligent')",0.3981293,0.29903322,-0.3336096,-0.40964895,-0.1477389,-0.2617303,0.1139914
82,-0.49326766,-0.7267632,"('poor', 'rich')",-0.7540052,-0.760767,5.9000645,5.865476,1.5509305,1.4593153,0.0916152
23,-0.49189982,-0.54444325,"('insincere', 'sincere')",-0.022310853,-0.15334742,5.8504586,5.776567,1.7787493,1.6929255,0.0858238
68,-0.48691478,-0.6011416,"('dependent', 'independent')",-1.2670141,-1.3450164,-1.5455282,-1.5371146,-1.099819,-1.1610909,0.0612719
4,0.48132163,0.48239422,"('disliked', 'liked')",-0.20921788,-0.05223121,-6.4898057,-6.5816717,-2.0725673,-2.0505029,-0.0220644
17,-0.4639836,-0.6401726,"('nasty', 'nice')",-0.3976797,-0.57778025,-0.2557649,-0.39242974,-0.3724761,-0.5367942,0.1643181
78,-0.4425041,-0.41506425,"('nonresilient', 'resilient')",1.0795915,1.096636,0.46295145,0.31630543,0.3666796,0.3326257,0.0340539
79,0.3583476,0.3591318,"('wavering', 'unwavering')",-0.44131887,-0.4354234,-0.34043747,-0.4421676,-0.1411362,-0.1728197,0.0316835
86,0.3224349,0.011408221,"('uninfluential', 'influential')",0.64551216,0.4033143,0.19341427,-0.10881944,0.3871204,0.1019677,0.2851527
