,plum_male,plum_female,tuple,creek_male,creek_female,timber_male,timber_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
51,-1.9101015,-1.8240957,"('uneducated', 'educated')",-0.79010034,-0.6545646,-0.8636012,-0.9313292,-0.30912235,-0.40468886,0.3447132,0.24692917,-0.7056425,-0.7135499,0.0079074
85,1.8840221,1.8116792,"('insignificant', 'prestigious')",-0.28024864,-0.31865746,1.3911554,1.3134602,-0.08856542,-0.07958192,0.888926,0.95417845,0.7590579,0.7362157,0.0228422
81,-1.8409318,-1.7453487,"('submissive', 'aggressive')",-0.98360735,-0.9327872,-0.71218693,-0.61411077,-0.6091661,-0.5327393,-1.2118378,-1.1705084,-1.071546,-0.9990989,-0.0724471
86,-1.7718441,-1.8531607,"('uninfluential', 'influential')",-0.970008,-1.088204,-0.04263369,-0.07302546,-0.7297451,-0.8014602,-0.073092006,-0.15195636,-0.7174646,-0.7935614,0.0760968
65,-1.7433031,-1.7396176,"('insecure', 'secure')",-1.968241,-1.8533009,-0.18378209,-0.15580115,0.016807765,-0.029834218,-0.7334743,-0.76584816,-0.9223986,-0.9088804,-0.0135182
46,-1.7420555,-1.6680343,"('uncompetitive', 'competitive')",0.3931911,0.48098236,0.033447437,0.065521404,-0.26037908,-0.34312385,-0.70279104,-0.8458943,-0.4557174,-0.4621098,0.0063924
34,-1.7273118,-1.6670165,"('mean', 'honorable')",-0.91758674,-0.8268796,-0.28063706,-0.09108932,-0.40748343,-0.16386622,6.374884,6.4593673,0.608373,0.7421031,-0.1337301
70,-1.695331,-1.6226842,"('lethargic', 'energetic')",-0.26173532,-0.2487161,-0.11681594,-0.043475844,-0.7056813,-0.5339027,0.60358715,0.6461257,-0.4351953,-0.3605306,-0.0746647
55,-1.5636882,-1.5834087,"('incompetent', 'clever')",-1.0086355,-1.0878131,-1.02376,-0.9560311,-0.43362352,-0.4949602,-0.4241156,-0.5601492,-0.8907645,-0.9364724,0.0457079
10,-1.5209966,-1.5702236,"('unsympathetic', 'sympathetic')",-1.0450774,-1.0418153,-0.597204,-0.6084519,-1.1692991,-1.2166907,-0.19315651,-0.30755597,-0.9051467,-0.9489475,0.0438008
5,1.515138,1.5009763,"('distant', 'outgoing')",0.30244115,0.28646186,0.20615865,0.19538847,-0.09115894,-0.09408996,0.17071451,0.2735155,0.4206587,0.4324504,-0.0117917
68,-1.4969039,-1.3064338,"('dependent', 'independent')",-1.4588563,-1.3794017,-2.0229952,-1.9672418,-2.1050417,-2.0469043,-0.8202869,-0.9276209,-1.5808168,-1.5255205,-0.0552963
52,1.4919597,1.3170345,"('irrational', 'rational')",0.11237717,-0.03490454,0.6046574,0.60487854,-0.35432208,-0.3168362,0.2013692,0.33443764,0.4112083,0.380922,0.0302863
0,-1.4785774,-1.6314082,"('unsociable', 'sociable')",-1.1225039,-1.1538117,-0.059536066,-0.05504337,-0.32884136,-0.45371515,-0.55664057,-0.6475963,-0.7092199,-0.788315,0.0790951
43,-1.4554354,-1.3748785,"('irresponsible', 'responsible')",-0.2897543,-0.29539973,0.73961025,0.9579628,-0.18515417,0.012538776,0.72948134,0.73942316,-0.0922505,0.0079293,-0.1001798
11,-1.3639482,-1.2364824,"('unhelpful', 'helpful')",0.013591321,0.107668534,0.28856575,0.3263391,-0.48582384,-0.3430436,1.9756963,2.0151932,0.0856163,0.173935,-0.0883187
33,1.3524785,1.3950833,"('wrong', 'right')",0.438281,0.31296915,1.5593345,1.4403877,0.72042286,0.6574449,-0.06081859,-0.061019056,0.8019397,0.7489732,0.0529665
35,1.3228812,1.3227466,"('corrupt', 'incorrupt')",0.55360085,0.45936045,-0.5120183,-0.65209574,-0.054228306,-0.075443275,0.23781928,0.27004236,0.3096109,0.2649221,0.0446888
21,-1.3173167,-1.0995358,"('immoral', 'moral')",-0.8356943,-0.5881481,0.32511526,0.4999273,-0.14470956,-0.0010529533,-0.8520927,-0.8994828,-0.5649396,-0.4176585,-0.1472811
82,-1.3080086,-1.1010321,"('poor', 'rich')",-0.5197523,-0.3448563,0.05830404,0.20042095,0.093284875,0.1820946,6.5890365,6.4616404,0.9825729,1.0796535,-0.0970806
6,1.2113599,1.1787462,"('distant', 'open')",0.16676044,0.06251015,-0.15004411,-0.22342636,-0.62673986,-0.6925155,0.82911515,0.8876356,0.2860903,0.24259,0.0435003
88,-1.2076734,-1.0938588,"('low', 'eminent')",-1.4723105,-1.4828603,-0.7578709,-0.6810427,-0.98697734,-1.0633016,0.12659022,0.06208129,-0.8596484,-0.8517964,-0.007852
63,-1.1776986,-1.0783702,"('unperceptive', 'insightful')",0.59346265,0.60366845,0.73419446,0.7560583,-0.38830823,-0.33528778,1.0142504,0.88528615,0.1551801,0.166271,-0.0110909
49,-1.1520703,-1.1106033,"('unable', 'able')",-1.4139495,-1.3160278,-0.92119396,-0.7415883,-1.4015518,-1.1940066,-0.64516103,-0.5805476,-1.1067853,-0.9885548,-0.1182305
83,-1.1363503,-1.0656024,"('powerless', 'powerful')",-0.8715189,-0.8501228,0.5031633,0.5035316,-0.9913007,-0.9628887,-1.2527045,-1.2835788,-0.7497422,-0.7317323,-0.0180099
56,-1.1190203,-0.9847476,"('impractical', 'practical')",-0.60548013,-0.45854914,1.2069812,1.475684,-0.22768782,0.005055301,-0.51854044,-0.43628484,-0.2527495,-0.0797684,-0.1729811
73,1.110571,1.2837985,"('helpless', 'self-reliant')",0.9570758,1.091412,0.29045415,0.25133282,0.88591814,0.79893357,-3.7406852,-3.6618063,-0.0993332,-0.047266,-0.0520672
48,-1.0505676,-1.0274861,"('unintelligent', 'intelligent')",-1.5062734,-1.5260043,-0.5222316,-0.49553654,-1.2875264,-1.243607,0.37178546,0.3017298,-0.7989627,-0.7981809,-0.0007818
57,-1.0283577,-0.96157724,"('unimaginative', 'imaginative')",-0.88695955,-0.9084884,0.055829376,-0.06078451,-0.5622978,-0.6330057,-3.028532,-2.9462283,-1.0900636,-1.1020168,0.0119532
45,-1.0180999,-1.0732095,"('incompetent', 'competent')",-0.44329694,-0.5146212,0.095151946,0.06441259,-0.28008384,-0.2745244,-0.2559326,-0.42164785,-0.3804523,-0.4439181,0.0634658
23,-1.0122577,-0.98484147,"('insincere', 'sincere')",-0.48953402,-0.5460668,0.43174937,0.6193641,-1.0942179,-0.8621299,5.9610314,5.810946,0.7593542,0.8074543,-0.0481001
47,-1.0066506,-0.97833824,"('stupid', 'smart')",-0.69946456,-0.7526195,0.26325342,0.35484123,0.49458623,0.5573502,6.0956044,6.0146966,1.0294658,1.0391861,-0.0097203
20,-0.99745643,-0.83212745,"('rough', 'thoughtful')",-1.1333708,-1.0718306,-0.6706555,-0.6962083,-0.4113697,-0.4612382,0.87311727,0.70562947,-0.4679471,-0.471155,0.0032079
22,-0.93372655,-0.76108134,"('untrustworthy', 'trustworthy')",0.2567332,0.27287778,-0.5640693,-0.57651687,0.1230129,0.1368211,-1.0975243,-1.1645032,-0.4431148,-0.4184805,-0.0246343
32,-0.9270182,-0.78342134,"('unkind', 'kind')",-0.8635826,-0.72540516,0.13916801,0.17657389,-0.2795546,-0.21483094,0.67160916,0.64581704,-0.2518756,-0.1802533,-0.0716223
60,-0.91842073,-0.81673735,"('inefficient', 'efficient')",-0.40810224,-0.28300747,0.20990027,0.43494475,-0.41924462,-0.19659889,-0.29008332,-0.22181846,-0.3651901,-0.2166435,-0.1485466
9,0.883981,0.73268557,"('unaffectionate', 'caring')",0.2465339,0.03948912,1.3285488,1.2584194,-0.6807444,-0.6818217,1.5299206,1.5722146,0.6616479,0.5841974,0.0774505
14,-0.80147576,-0.7456389,"('antisocial', 'social')",-0.8034217,-0.74687165,0.47245488,0.5277182,0.28072587,0.25630853,-0.88002765,-0.9974254,-0.3463489,-0.3411819,-0.005167
72,-0.7928435,-0.67201924,"('unambitious', 'ambitious')",-0.9947472,-0.9363514,-0.06525775,-0.013534438,-0.9611344,-1.0892689,-1.0688782,-1.0775871,-0.7765722,-0.7577522,-0.01882
76,-0.72674567,-0.63310224,"('anxious', 'daring')",-0.059565656,0.115740255,-0.026068084,0.07653112,0.35104194,0.54115,-0.25670934,-0.09877378,-0.1436094,0.0003091,-0.1439185
7,-0.71333027,-0.7056538,"('insensitive', 'sensitive')",-0.23165396,-0.1863386,0.22570358,0.35251823,-0.5992704,-0.52072513,0.8466086,0.7726991,-0.0943885,-0.0575,-0.0368885
18,0.7034096,0.797832,"('disagreeable', 'welcoming')",0.21948935,0.37938124,-0.30728322,-0.14864928,-0.74846554,-0.6689304,-0.5295638,-0.5341713,-0.1324827,-0.0349075,-0.0975752
50,-0.6996625,-0.6367886,"('clumsy', 'skillful')",0.04830897,0.18750449,0.39174587,0.2136413,0.3267925,0.31139785,0.8142619,0.72316843,0.1762893,0.1597847,0.0165046
17,0.69503754,0.5547251,"('nasty', 'nice')",-0.06396052,-0.17934725,0.056015085,-0.089557506,0.09892513,-0.008236032,-0.56684333,-0.6695817,0.0438348,-0.0783995,0.1222343
