,westrock_male,westrock_female,tuple,co_male,co_female,average_male,average_female,male-female
88,-1.4511826,-1.2862719,"('low', 'eminent')",-0.76727283,-0.7708496,-1.1092277,-1.0285608,-0.0806669
1,-1.4163423,-1.0380857,"('unfriendly', 'friendly')",1.2932187,1.391558,-0.0615618,0.1767362,-0.238298
56,1.3936919,1.0973779,"('impractical', 'practical')",0.54906183,0.59019053,0.9713769,0.8437842,0.1275927
6,-1.3716917,-0.9846971,"('distant', 'open')",-0.55960757,-0.439709,-0.9656496,-0.712203,-0.2534466
62,1.3251215,1.0690964,"('incompetent', 'brilliant')",0.59189683,0.68250376,0.9585092,0.8758001,0.0827091
80,1.3160862,0.7606892,"('dominated', 'dominating')",-0.5408608,-0.6560119,0.3876127,0.0523387,0.335274
42,1.2800329,1.0845027,"('unreliable', 'reliable')",-2.6896462,-2.7067988,-0.7048067,-0.811148,0.1063413
52,-1.2755575,-0.9435994,"('irrational', 'rational')",-0.68249196,-0.64155823,-0.9790248,-0.7925788,-0.186446
31,-1.2236661,-0.8179463,"('evil', 'good')",-1.0977166,-1.1226115,-1.1606913,-0.9702789,-0.1904124
27,-1.2032194,-1.4645283,"('hardhearted', 'softhearted')",0.7986942,0.82291496,-0.2022626,-0.3208067,0.1185441
18,-1.0865576,-1.0215298,"('disagreeable', 'welcoming')",-0.9661218,-0.8847727,-1.0263398,-0.9531512,-0.0731886
19,-1.0154452,-0.96419525,"('inhospitable', 'hospitable')",-0.42696634,-0.40692744,-0.7212058,-0.6855614,-0.0356444
8,-0.9859148,-0.7123916,"('unaffectionate', 'affectionate')",0.33419883,0.51123697,-0.325858,-0.1005773,-0.2252807
76,0.96317965,0.66964793,"('anxious', 'daring')",0.3482825,0.34563178,0.6557311,0.5076399,0.1480912
5,-0.9606266,-0.65512544,"('distant', 'outgoing')",-0.45084652,-0.40728965,-0.7057366,-0.5312076,-0.174529
48,-0.90859896,-1.1906893,"('unintelligent', 'intelligent')",0.20427936,0.17051923,-0.3521598,-0.510085,0.1579252
14,0.8515981,0.3896721,"('antisocial', 'social')",0.17968272,0.11042565,0.5156404,0.2500489,0.2655915
36,-0.797377,-0.6383449,"('hostile', 'amicable')",-0.7297701,-0.8017541,-0.7635735,-0.7200495,-0.043524
