,leggett_male,leggett_female,tuple,&_male,&_female,platt_male,platt_female,inc_male,inc_female,average_male,average_female,male-female
23,-2.7970893,-2.99333,"('insincere', 'sincere')",-0.8257523,-0.7430271,-0.25718707,-0.23704474,4.24235,4.6765614,0.0905803,0.1757898,-0.0852095
86,-2.7731771,-2.9670262,"('uninfluential', 'influential')",0.07930493,-0.14713565,-0.6856121,-0.90372723,-0.37120754,-0.5208973,-0.9376729,-1.1346966,0.1970237
10,-2.3675058,-2.594997,"('unsympathetic', 'sympathetic')",0.19464454,0.091311716,-0.7252981,-0.8335462,-0.38271824,-0.29830116,-0.8202195,-0.9088832,0.0886637
35,2.2209065,2.4288168,"('corrupt', 'incorrupt')",-0.63776934,-0.65595144,0.42417386,0.47062784,0.3250114,0.12333227,0.5830806,0.5917063,-0.0086257
1,-2.204931,-2.2398295,"('unfriendly', 'friendly')",-0.37733653,-0.7461322,-0.79638547,-0.965144,1.9986706,1.8097274,-0.3449956,-0.5353445,0.1903489
46,-2.1204178,-2.1692963,"('uncompetitive', 'competitive')",1.5563023,1.5281506,-1.3112375,-1.2592264,-0.6360852,-0.6029936,-0.6278595,-0.6258414,-0.0020181
48,-2.117456,-2.2490578,"('unintelligent', 'intelligent')",-0.20277956,-0.48509338,-0.89831746,-0.9967355,0.23837024,0.14409089,-0.7450457,-0.896699,0.1516533
11,-2.0190537,-2.037171,"('unhelpful', 'helpful')",-0.9764309,-0.90328896,-1.1084512,-1.1306641,1.1060073,1.5795676,-0.7494821,-0.6228892,-0.1265929
43,-1.980132,-2.2135491,"('irresponsible', 'responsible')",0.10478756,0.26137775,0.036299367,-0.041950457,0.07419784,0.5618982,-0.4412118,-0.3580559,-0.0831559
63,-1.9205191,-1.8969188,"('unperceptive', 'insightful')",0.86271745,0.9714443,-0.90082407,-0.94043905,1.0981855,1.4092376,-0.2151101,-0.114169,-0.1009411
57,-1.9074574,-1.8109585,"('unimaginative', 'imaginative')",-0.20440558,-0.20040138,-0.5975729,-0.4145721,-2.1483395,-2.2948463,-1.2144439,-1.1801946,-0.0342493
69,1.8457454,1.804372,"('lazy', 'industrious')",0.46975505,0.46609843,1.2485774,0.8187456,0.2658479,0.08481722,0.9574814,0.7935083,0.1639731
60,-1.8224726,-2.1899676,"('inefficient', 'efficient')",0.48768738,0.6301637,-0.3101457,-0.37775072,-0.6620858,-0.2280578,-0.5767542,-0.5414031,-0.0353511
72,-1.808605,-1.8099455,"('unambitious', 'ambitious')",-0.4631565,-0.38342535,1.2560266,1.4731686,-1.1074704,-1.0333438,-0.5308013,-0.4383865,-0.0924148
41,-1.7922164,-1.7735894,"('unforgiving', 'forgiving')",-0.6371208,-0.90899897,0.21024106,0.10685058,-0.26198652,-0.23162274,-0.6202707,-0.7018401,0.0815694
62,-1.7904801,-1.7884495,"('incompetent', 'brilliant')",-0.21056059,0.17387734,0.4432833,0.47877342,-0.35333765,0.026798125,-0.4777738,-0.2772501,-0.2005237
73,1.7677661,2.1112578,"('helpless', 'self-reliant')",0.55508965,0.44658428,0.54174036,0.7236768,-2.333572,-2.394502,0.1327561,0.2217543,-0.0889982
12,-1.6839484,-1.611088,"('unsupportive', 'supportive')",0.65679014,0.7870056,0.11867346,0.13075694,-1.2578554,-1.0023333,-0.5415851,-0.4239147,-0.1176704
28,-1.6709234,-2.062712,"('disloyal', 'loyal')",-0.049173333,-0.27182022,-0.42258856,-0.47281408,0.4223365,0.32703647,-0.4300872,-0.6200775,0.1899903
9,-1.6482197,-1.6567001,"('unaffectionate', 'caring')",-0.1704694,-0.4415475,0.60195065,0.5845161,1.2797647,1.3431878,0.0157565,-0.0426359,0.0583924
32,-1.6474365,-2.10434,"('unkind', 'kind')",-0.12842317,-0.32671893,-2.2127647,-2.5000696,0.2448048,0.32669783,-0.9359549,-1.1511077,0.2151528
44,1.6074055,1.7509418,"('prejudiced', 'unprejudiced')",-1.5085943,-1.4755498,-1.1735123,-0.9621001,-1.5555335,-1.4588114,-0.6575587,-0.5363799,-0.1211788
53,-1.5448728,-1.5876925,"('uncreative', 'creative')",0.15052764,0.34825695,0.29253295,0.47606036,0.90613544,0.84646803,-0.0489192,0.0207732,-0.0696924
45,-1.524397,-1.7229557,"('incompetent', 'competent')",0.3635169,0.391433,0.39774323,0.17820409,-0.60572094,-0.65813655,-0.3422145,-0.4528638,0.1106493
65,-1.4622911,-1.770257,"('insecure', 'secure')",0.8718035,0.66678935,-1.3298686,-1.4740183,-0.9580283,-0.97314197,-0.7195961,-0.887657,0.1680609
0,-1.4538778,-2.041248,"('unsociable', 'sociable')",0.276403,0.12597635,0.117979646,-0.3953421,-0.6882906,-0.91747624,-0.4369464,-0.8070225,0.3700761
38,-1.4041271,-1.4044753,"('untruthful', 'truthful')",-1.5533649,-1.6428703,0.02524395,0.13188441,-0.2678159,0.11927969,-0.8000159,-0.6990454,-0.1009705
3,-1.393089,-1.466473,"('repellent', 'pleasant')",0.14047757,0.07179272,-1.039564,-0.9452784,-0.3396174,-0.39215595,-0.6579483,-0.6830286,0.0250803
7,-1.3541908,-1.4831868,"('insensitive', 'sensitive')",-0.09817885,-0.039952695,-0.34734505,-0.4386858,0.5303252,0.69853246,-0.3173474,-0.3158232,-0.0015242
55,-1.3463937,-1.5934273,"('incompetent', 'clever')",0.9288852,0.84630066,0.38032445,0.38312328,-0.61878735,-0.78837883,-0.1639929,-0.2880955,0.1241026
49,-1.3248863,-1.2849978,"('unable', 'able')",-0.28413564,-0.04428883,-0.67642045,-0.6791308,-0.5005523,-0.36253956,-0.6964986,-0.5927393,-0.1037593
24,-1.3160319,-1.5990107,"('dishonest', 'honest')",-0.4343817,-0.5673892,-0.15239912,-0.13836974,0.098392606,0.30556116,-0.451105,-0.4998021,0.0486971
78,-1.2484746,-1.0736593,"('nonresilient', 'resilient')",0.48478767,0.59451485,-1.126088,-1.1537472,0.8899704,0.86690676,-0.2499511,-0.1914962,-0.0584549
58,-1.2096206,-1.0104674,"('undiscriminating', 'discriminating')",0.15001446,-0.160306,-0.19349945,-0.15386163,0.3804264,0.2807903,-0.2181698,-0.2609612,0.0427914
40,-1.1860464,-1.1155114,"('stingy', 'generous')",0.10561159,-0.26188603,0.313636,0.18762985,-0.81098443,-1.2762562,-0.3944458,-0.616506,0.2220602
34,-1.1295708,-1.1969433,"('mean', 'honorable')",-0.24159297,-0.17144479,-0.25904554,-0.46810302,5.341845,5.626639,0.9279089,0.9475369,-0.019628
30,-1.1224332,-1.3375269,"('intolerant', 'tolerant')",-0.37665334,-0.5038156,0.3950322,0.3846795,1.0174567,1.0068972,-0.0216494,-0.1124414,0.090792
21,-1.094191,-1.3778121,"('immoral', 'moral')",0.58474153,0.5580704,-1.9512705,-2.15546,-1.2806144,-1.3369147,-0.9353335,-1.078029,0.1426955
82,-1.079265,-1.0505688,"('poor', 'rich')",-0.30333582,-0.33385134,-0.5766362,-0.5026378,4.6885943,4.776836,0.6823393,0.7224445,-0.0401052
13,-1.0106701,-1.5504277,"('impolite', 'polite')",0.17507821,0.17240596,0.3530624,0.124551505,-0.9692992,-0.79842037,-0.3629572,-0.5129727,0.1500155
27,-1.0053438,-0.89450663,"('hardhearted', 'softhearted')",-0.47722125,-0.52965444,-0.23201454,-0.25161386,1.5802772,1.4432069,-0.0335756,-0.058142,0.0245664
14,-1.0041559,-1.4954736,"('antisocial', 'social')",0.8419562,0.82091033,-0.09825618,-0.46340486,-1.1589187,-1.2382647,-0.3548436,-0.5940582,0.2392146
77,-0.98198605,-1.0895398,"('unmotivated', 'motivated')",0.04615234,0.30148143,-0.42338538,-0.4315806,-0.8695452,-0.91775584,-0.5571911,-0.5343487,-0.0228424
74,-0.9530742,-0.88441163,"('undedicated', 'dedicated')",0.72766066,0.63492423,-0.25708273,-0.26358095,0.13647467,0.24576327,-0.0865054,-0.0668263,-0.0196791
33,0.9189398,0.96534485,"('wrong', 'right')",0.08421702,0.0012902543,0.75028265,0.8217411,-0.30073524,-0.3685272,0.3631761,0.3549623,0.0082138
67,0.90911484,0.7520718,"('doubtful', 'determined')",-0.32435244,-0.24315783,0.18192303,-0.074451536,-0.52698076,-0.32206082,0.0599262,0.0281004,0.0318258
47,-0.9009258,-0.9190229,"('stupid', 'smart')",-0.09032734,0.075093,-0.404993,-0.48546398,4.2859926,4.5798926,0.7224366,0.8126247,-0.0901881
18,-0.8909877,-0.71363354,"('disagreeable', 'welcoming')",0.32410356,0.37042737,-0.37768984,-0.3515609,-0.56634724,-0.5730563,-0.3777303,-0.3169558,-0.0607745
88,-0.8888595,-0.9156543,"('low', 'eminent')",-0.13116834,-0.19711483,-0.5282645,-0.5505612,0.32431334,0.32905075,-0.3059947,-0.3335699,0.0275752
22,-0.88379115,-0.7994448,"('untrustworthy', 'trustworthy')",0.010125997,-0.077041894,-0.59051526,-0.5755871,-1.0282763,-0.99079466,-0.6231142,-0.6107171,-0.0123971
70,-0.8568879,-0.7479328,"('lethargic', 'energetic')",0.71751636,0.7747466,-0.49768895,-0.3833571,0.45109347,0.83879155,-0.0464917,0.1205621,-0.1670538
8,-0.84468675,-0.65894157,"('unaffectionate', 'affectionate')",-0.12697981,-0.39825633,1.3469906,1.4176602,1.2601959,1.1987295,0.40888,0.389798,0.019082
61,-0.8330835,-1.0884783,"('illogical', 'logical')",0.35825664,0.48719832,-0.10985488,-0.10105878,0.0014520623,-0.041420616,-0.1458074,-0.1859398,0.0401324
