,ppl_male,ppl_female,tuple,corp_male,corp_female,average_male,average_female,male-female
60,2.7154431,2.8874278,"('inefficient', 'efficient')",0.7081342,0.7760482,1.7117887,1.831738,-0.1199493
36,-2.3523872,-2.2704878,"('hostile', 'amicable')",-0.50947225,-0.4873607,-1.4309297,-1.3789243,-0.0520054
56,2.1658337,2.2758029,"('impractical', 'practical')",-0.19616883,-0.0169954,0.9848325,1.1294037,-0.1445712
62,2.1068199,2.2274246,"('incompetent', 'brilliant')",1.1607419,1.1560422,1.633781,1.6917334,-0.0579524
31,-1.9944276,-1.9072819,"('evil', 'good')",-1.2925295,-1.1985204,-1.6434785,-1.5529011,-0.0905774
79,-1.9010652,-1.9404589,"('wavering', 'unwavering')",-0.8588751,-0.875136,-1.3799702,-1.4077975,0.0278273
14,1.8520849,2.0015695,"('antisocial', 'social')",0.15835427,0.23030795,1.0052196,1.1159388,-0.1107192
39,1.7373564,1.8641237,"('exploitative', 'cooperative')",0.055377327,0.21157113,0.8963669,1.0378474,-0.1414805
8,-1.6090796,-1.6819166,"('unaffectionate', 'affectionate')",0.19870265,0.2156548,-0.7051885,-0.7331309,0.0279424
6,-1.5846788,-1.7018516,"('distant', 'open')",-0.9781761,-0.9312466,-1.2814274,-1.3165491,0.0351217
81,1.5497208,1.6948847,"('submissive', 'aggressive')",-0.2672106,-0.045388423,0.6412551,0.8247481,-0.183493
35,-1.5042702,-1.5167464,"('corrupt', 'incorrupt')",-0.9934974,-0.87652385,-1.2488837,-1.1966351,-0.0522486
1,-1.4966038,-1.4799687,"('unfriendly', 'friendly')",1.0318272,1.0509907,-0.2323883,-0.214489,-0.0178993
61,1.4808108,1.4203615,"('illogical', 'logical')",0.7287679,0.6450278,1.1047893,1.0326947,0.0720946
26,-1.4618148,-1.459665,"('hardhearted', 'benevolent')",1.3769946,1.3760757,-0.0424101,-0.0417946,-0.0006155
76,1.4498603,1.4713386,"('anxious', 'daring')",-0.16474727,-0.18329501,0.6425565,0.6440218,-0.0014653
80,1.4287218,1.3034699,"('dominated', 'dominating')",-0.6382422,-0.71858054,0.3952398,0.2924447,0.1027951
21,1.4054157,1.4404995,"('immoral', 'moral')",-0.088092625,-0.114332855,0.6586615,0.6630833,-0.0044218
42,1.273624,1.1641746,"('unreliable', 'reliable')",-3.5093672,-3.358411,-1.1178716,-1.0971183,-0.0207533
65,1.2610669,1.350803,"('insecure', 'secure')",-0.011605263,0.020269152,0.6247308,0.6855361,-0.0608053
5,-1.2314726,-1.2989275,"('distant', 'outgoing')",-0.79322356,-0.6690843,-1.0123481,-0.9840059,-0.0283422
55,1.1676325,1.2912889,"('incompetent', 'clever')",0.66292816,0.48864767,0.9152803,0.8899683,0.025312
77,1.1528064,1.2956161,"('unmotivated', 'motivated')",-0.5793955,-0.6236733,0.2867055,0.3359714,-0.0492659
30,1.1112175,1.1698716,"('intolerant', 'tolerant')",1.0247381,1.2719033,1.0679778,1.2208874,-0.1529096
85,-1.0953181,-1.0657556,"('insignificant', 'prestigious')",-0.4926428,-0.40558678,-0.7939804,-0.7356712,-0.0583092
87,1.0621157,1.1181765,"('unsuccessful', 'successful')",0.9065103,1.0439019,0.984313,1.0810392,-0.0967262
18,-1.0540893,-0.9389906,"('disagreeable', 'welcoming')",-0.67081577,-0.6083917,-0.8624525,-0.7736912,-0.0887613
66,-1.0004997,-1.2939818,"('inactive', 'active')",-0.12771727,-0.26160434,-0.5641085,-0.777793,0.2136845
52,-0.9928378,-1.0074657,"('irrational', 'rational')",-0.34125295,-0.21645096,-0.6670454,-0.6119583,-0.0550871
70,0.93980145,0.8539999,"('lethargic', 'energetic')",0.3001621,0.19301853,0.6199818,0.5235092,0.0964726
13,0.93548936,0.849198,"('impolite', 'polite')",-0.3346702,-0.35836223,0.3004096,0.2454179,0.0549917
64,0.9189286,0.84233433,"('shy', 'confident')",-6.5137925,-6.472987,-2.7974319,-2.8153265,0.0178946
3,0.8863072,0.9216647,"('repellent', 'pleasant')",0.99365646,0.84428734,0.9399818,0.8829761,0.0570057
67,0.8710377,0.8365456,"('doubtful', 'determined')",-0.46622717,-0.28447378,0.2024053,0.2760359,-0.0736306
63,0.85974354,0.8228516,"('unperceptive', 'insightful')",0.90523636,0.7033537,0.8824899,0.7631027,0.1193872
46,0.83879924,0.8535808,"('uncompetitive', 'competitive')",-0.4950083,-0.6597345,0.1718955,0.0969231,0.0749724
20,0.8160372,0.9325307,"('rough', 'thoughtful')",0.86688083,0.79066885,0.841459,0.8615998,-0.0201408
19,-0.77250737,-0.8621321,"('inhospitable', 'hospitable')",-0.8621783,-0.6356644,-0.8173429,-0.7488983,-0.0684446
53,-0.77189183,-0.78595155,"('uncreative', 'creative')",0.55276877,0.43754226,-0.1095615,-0.1742046,0.0646431
16,-0.77059877,-0.6315908,"('unpopular', 'popular')",0.43372223,0.42408022,-0.1684383,-0.1037553,-0.064683
2,0.7491176,0.77214783,"('unlikable', 'likable')",0.5081803,0.6745478,0.628649,0.7233478,-0.0946988
45,0.74198526,0.79553175,"('incompetent', 'competent')",0.19181994,0.07717341,0.4669026,0.4363526,0.03055
9,-0.73129416,-0.8183189,"('unaffectionate', 'caring')",1.0699509,1.0317682,0.1693284,0.1067246,0.0626038
0,0.72977537,0.6956755,"('unsociable', 'sociable')",0.1424499,0.053913925,0.4361126,0.3747947,0.0613179
88,-0.7237081,-0.5744217,"('low', 'eminent')",-0.31186515,-0.1517975,-0.5177866,-0.3631096,-0.154677
75,-0.72183025,-0.6608966,"('meek', 'impulsive')",-0.6950187,-0.6920413,-0.7084244,-0.676469,-0.0319554
