,el_male,el_female,tuple,paso_male,paso_female,corp_male,corp_female,average_male,average_female,male-female
86,-2.7049685,-2.2368855,"('uninfluential', 'influential')",-1.2596765,-1.0867757,-0.70889485,-0.61428016,-1.5578465,-1.3126472,-0.2451993
45,-2.4845066,-2.3092635,"('incompetent', 'competent')",-1.2972205,-1.1525794,-0.35773084,-0.21209794,-1.3798192,-1.224647,-0.1551722
10,-2.3424215,-1.5745208,"('unsympathetic', 'sympathetic')",-1.414273,-0.9600631,-0.79774,-0.42940354,-1.5181449,-0.9879959,-0.530149
28,-2.0296085,-2.148058,"('disloyal', 'loyal')",0.16173501,0.15189423,0.5780474,0.63555616,-0.429942,-0.4535359,0.0235939
0,-1.8440509,-1.4004289,"('unsociable', 'sociable')",-0.5845138,-0.43470043,-0.37489808,-0.18751052,-0.9344875,-0.6742133,-0.2602742
55,-1.8299176,-1.21289,"('incompetent', 'clever')",-0.93881214,-0.5361943,0.45078602,0.74007696,-0.7726479,-0.3363358,-0.4363121
1,-1.6909949,-2.208501,"('unfriendly', 'friendly')",0.864458,0.39638808,1.1753463,0.81268775,0.1162698,-0.3331418,0.4494116
14,-1.6876929,-1.1190401,"('antisocial', 'social')",-1.1453912,-0.8757946,0.13274354,0.4040855,-0.9001135,-0.5302497,-0.3698638
8,-1.6633008,-2.1134174,"('unaffectionate', 'affectionate')",0.57105935,0.3784324,0.2482974,0.06483626,-0.2813147,-0.5567162,0.2754015
65,-1.5228946,-1.245476,"('insecure', 'secure')",-0.6157789,-0.34075105,-0.130335,0.19801547,-0.7563362,-0.4627372,-0.293599
48,-1.5110716,-1.2519182,"('unintelligent', 'intelligent')",-0.14243995,0.039179694,0.8289656,0.95669717,-0.2748486,-0.0853471,-0.1895015
21,-1.5022509,-0.77188534,"('immoral', 'moral')",-1.7761282,-1.2812065,-0.35091272,0.043730993,-1.2097639,-0.6697869,-0.539977
63,-1.4674665,-1.3087357,"('unperceptive', 'insightful')",0.03980796,0.022821723,0.15226793,0.20719293,-0.4251302,-0.3595737,-0.0655565
30,-1.438205,-1.1014985,"('intolerant', 'tolerant')",-0.8178595,-0.57658577,0.63273066,0.9234895,-0.5411112,-0.2515316,-0.2895796
22,-1.4265805,-1.4014052,"('untrustworthy', 'trustworthy')",-0.85936666,-0.7025251,-1.0215408,-0.9503558,-1.102496,-1.0180953,-0.0844007
77,-1.3735422,-0.96840096,"('unmotivated', 'motivated')",-0.16024572,0.03235406,-0.8714223,-0.8426308,-0.8017368,-0.5928926,-0.2088442
47,-1.362448,-1.2237566,"('stupid', 'smart')",-1.3651778,-1.2850633,4.7387495,5.1055627,0.6703746,0.865581,-0.1952064
60,-1.3624011,-0.7008982,"('inefficient', 'efficient')",-0.4183423,0.05176428,0.18933359,0.73159045,-0.5304699,0.0274855,-0.5579554
61,-1.3420366,-1.2937337,"('illogical', 'logical')",-0.36916843,-0.30413282,0.72528917,0.65955293,-0.3286386,-0.3127712,-0.0158674
41,-1.2934319,-1.4268472,"('unforgiving', 'forgiving')",-0.4073624,-0.44622946,-0.18623906,-0.22955452,-0.6290111,-0.700877,0.0718659
9,-1.2875918,-1.3980377,"('unaffectionate', 'caring')",0.8066139,0.7563261,0.85374355,0.8284001,0.1242552,0.0622295,0.0620257
44,1.2847189,1.0692469,"('prejudiced', 'unprejudiced')",-0.4542123,-0.41177619,-1.2162402,-1.2119874,-0.1285779,-0.1848389,0.056261
43,-1.2206813,-0.84696704,"('irresponsible', 'responsible')",-0.71927345,-0.46791565,0.45084408,0.6697822,-0.4963702,-0.2150335,-0.2813367
32,-1.2024872,-1.2021654,"('unkind', 'kind')",-0.2187789,-0.11019246,0.42052484,0.6187444,-0.3335804,-0.2312045,-0.1023759
11,-1.1516355,-0.8365279,"('unhelpful', 'helpful')",-1.1264828,-0.87338954,1.4248652,1.6629127,-0.2844177,-0.0156682,-0.2687495
75,1.1497229,0.8685785,"('meek', 'impulsive')",-0.1606313,-0.32328913,-0.6676342,-0.9150819,0.1071525,-0.1232642,0.2304167
37,-1.1416715,-1.0386816,"('fake', 'genuine')",-0.12066657,0.15561661,-0.2305317,-0.09836529,-0.4976233,-0.3271434,-0.1704799
23,-1.1359968,-0.98103464,"('insincere', 'sincere')",-0.327509,-0.14206187,5.210872,5.659863,1.2491221,1.5122555,-0.2631334
24,-1.1246096,-1.2520132,"('dishonest', 'honest')",0.22646536,0.35796544,0.4221632,0.6380565,-0.1586604,-0.0853304,-0.07333
26,-1.0982902,-1.4833401,"('hardhearted', 'benevolent')",0.92785954,0.57921386,1.875102,1.7033472,0.5682238,0.266407,0.3018168
7,-1.0536199,-0.76976305,"('insensitive', 'sensitive')",-0.49435908,-0.23720314,0.40576458,0.6057352,-0.3807381,-0.1337437,-0.2469944
19,-1.0456058,-1.1466908,"('inhospitable', 'hospitable')",0.41207504,0.3397026,-0.91350764,-0.99748755,-0.5156794,-0.6014919,0.0858125
81,-1.0311946,-0.26788297,"('submissive', 'aggressive')",-1.983112,-1.4310235,-0.48243526,-0.044279188,-1.1655806,-0.5810619,-0.5845187
