,whirlpool_male,whirlpool_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.8955748,-3.7027512,"('unsympathetic', 'sympathetic')",-0.13388461,-0.5464429,-2.0147297,-2.1245971,0.1098674
86,-3.2383819,-2.9941907,"('uninfluential', 'influential')",-0.39954704,-0.52945596,-1.8189645,-1.7618233,-0.0571412
28,-2.7780578,-2.549998,"('disloyal', 'loyal')",1.1793865,1.0929239,-0.7993357,-0.7285371,-0.0707986
45,-2.6483333,-2.220863,"('incompetent', 'competent')",0.17722571,0.016140658,-1.2355537,-1.1023612,-0.1331925
24,-2.6020734,-2.3420095,"('dishonest', 'honest')",0.52823853,0.4405807,-1.0369174,-0.9507144,-0.086203
12,-2.4350572,-2.0133717,"('unsupportive', 'supportive')",-2.2194824,-1.9958909,-2.3272698,-2.0046313,-0.3226385
43,-2.3725178,-1.9407045,"('irresponsible', 'responsible')",0.5783788,0.56542706,-0.8970695,-0.6876387,-0.2094308
11,-2.2496164,-1.9453157,"('unhelpful', 'helpful')",1.4026763,1.6218274,-0.42347,-0.1617442,-0.2617258
23,-2.1720295,-1.883239,"('insincere', 'sincere')",6.3808713,6.0298114,2.1044209,2.0732861,0.0311348
46,-2.1550605,-1.9056007,"('uncompetitive', 'competitive')",-0.73158705,-1.0136752,-1.4433239,-1.4596379,0.016314
0,-2.1230896,-2.0414062,"('unsociable', 'sociable')",0.13204575,-0.13405028,-0.9955219,-1.0877283,0.0922064
55,-2.0973682,-1.9342283,"('incompetent', 'clever')",0.7444538,0.41643453,-0.6764572,-0.7588969,0.0824397
13,-2.0862622,-2.11824,"('impolite', 'polite')",-0.64571214,-0.8883518,-1.3659872,-1.5032959,0.1373087
35,2.0789928,1.8333526,"('corrupt', 'incorrupt')",-0.73839647,-0.48428306,0.6702982,0.6745347,-0.0042365
70,-2.0740714,-1.6805177,"('lethargic', 'energetic')",0.18477762,0.11308204,-0.9446469,-0.7837178,-0.1609291
48,-2.064222,-1.8897833,"('unintelligent', 'intelligent')",0.88516104,0.8151974,-0.5895305,-0.537293,-0.0522375
62,-2.0450213,-1.6027361,"('incompetent', 'brilliant')",0.47759563,0.58617496,-0.7837129,-0.5082806,-0.2754323
57,-1.9404422,-1.719287,"('unimaginative', 'imaginative')",-3.317575,-3.239331,-2.6290085,-2.4793091,-0.1496994
30,-1.8379574,-1.7093549,"('intolerant', 'tolerant')",0.9810998,0.7946991,-0.4284288,-0.4573279,0.0288991
7,-1.823726,-1.5779527,"('insensitive', 'sensitive')",0.5275767,0.5396933,-0.6480747,-0.5191298,-0.1289449
81,-1.7920805,-1.7808847,"('submissive', 'aggressive')",-0.37244892,-0.58802897,-1.0822647,-1.1844568,0.1021921
38,-1.7304301,-1.2721064,"('untruthful', 'truthful')",-0.5648116,-0.24584419,-1.1476209,-0.7589753,-0.3886456
69,1.7302548,1.6316755,"('lazy', 'industrious')",-1.1160192,-0.719008,0.3071178,0.4563337,-0.1492159
60,-1.7257752,-1.5128628,"('inefficient', 'efficient')",0.49480602,0.443189,-0.6154846,-0.5348369,-0.0806477
1,-1.7115189,-1.60559,"('unfriendly', 'friendly')",1.3795326,1.4970114,-0.1659932,-0.0542893,-0.1117039
21,-1.7086434,-1.6505011,"('immoral', 'moral')",-0.23495355,-0.5711739,-0.9717985,-1.1108375,0.139039
63,-1.7019458,-1.245021,"('unperceptive', 'insightful')",0.2923426,0.49340993,-0.7048016,-0.3758055,-0.3289961
9,-1.568659,-1.2972841,"('unaffectionate', 'caring')",1.1831268,1.3219684,-0.1927661,0.0123422,-0.2051083
41,-1.5311247,-1.2777511,"('unforgiving', 'forgiving')",-0.40333092,-0.46750247,-0.9672278,-0.8726268,-0.094601
44,1.4709558,1.3870155,"('prejudiced', 'unprejudiced')",-1.165872,-1.1368105,0.1525419,0.1251025,0.0274394
51,-1.452226,-1.2115424,"('uneducated', 'educated')",0.19556487,0.12633315,-0.6283306,-0.5426046,-0.085726
22,-1.3736492,-1.2920021,"('untrustworthy', 'trustworthy')",-0.7572272,-0.97099465,-1.0654383,-1.1314983,0.06606
75,1.3710256,1.3327382,"('meek', 'impulsive')",-1.0064712,-0.86905855,0.1822772,0.2318398,-0.0495626
85,1.3625654,1.155657,"('insignificant', 'prestigious')",-0.29101384,-0.12269917,0.5357758,0.516479,0.0192968
