,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,inc_male,inc_female,average_male,average_female,male-female
69,2.052986,2.265007,"('lazy', 'industrious')",1.7241455,1.7213247,-0.8373312,-0.06146506,-0.028993493,0.18289249,0.7277017,1.0269397,-0.299238
8,-1.9935719,-1.6427306,"('unaffectionate', 'affectionate')",-1.6012644,-1.3701801,-3.160865,-2.565292,0.117629826,0.38919228,-1.6595178,-1.2972527,-0.3622651
1,-1.9419088,-1.8065814,"('unfriendly', 'friendly')",-1.0453769,-1.178493,-0.6996651,-0.4187744,1.3712969,1.6493862,-0.5789135,-0.4386157,-0.1402978
53,-1.8113647,-1.7468776,"('uncreative', 'creative')",-0.33394313,-0.40562713,-0.106328264,-0.15803581,0.7043171,0.8120346,-0.3868297,-0.3746265,-0.0122032
67,1.6746876,1.6677344,"('doubtful', 'determined')",0.32797226,0.4439617,-0.16220093,-0.22399847,-0.42644602,-0.22877887,0.3535032,0.4147297,-0.0612265
48,-1.5994014,-1.6490577,"('unintelligent', 'intelligent')",-0.59586585,-0.80743235,0.03937816,-0.46203747,0.375982,0.11453115,-0.4449767,-0.7009991,0.2560224
73,1.5886759,1.6811486,"('helpless', 'self-reliant')",-0.017844565,0.115448914,-1.1116598,-0.64018863,-3.366533,-2.9546475,-0.7268404,-0.4495596,-0.2772808
86,-1.5590271,-1.6800872,"('uninfluential', 'influential')",-0.072283804,-0.31036147,1.4087688,0.3719403,-0.17678443,-0.3954718,-0.0998316,-0.503495,0.4036634
55,-1.5233771,-1.6282457,"('incompetent', 'clever')",-0.5002154,-0.5682671,2.1332958,0.9002344,-0.22544003,-0.52406526,-0.0289342,-0.4550859,0.4261517
64,1.5087566,1.3832885,"('shy', 'confident')",0.5391529,0.54778457,-0.05078194,-0.24004184,-6.422378,-6.135455,-1.1063126,-1.1111059,0.0047933
9,-1.4978118,-1.3032826,"('unaffectionate', 'caring')",-0.5535018,-0.5478212,-0.815138,-0.5070459,1.0788399,1.1456289,-0.446903,-0.3031302,-0.1437728
