,baxter_male,baxter_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
71,2.3497493,1.954723,"('diffident', 'self-confident')",1.2983723,1.0796251,0.68733484,0.42911306,1.4451521,1.1544871,0.290665
44,-2.3410435,-2.0681672,"('prejudiced', 'unprejudiced')",0.2707215,0.17946981,-1.4650377,-1.5542613,-1.1784533,-1.1476529,-0.0308004
9,2.0477774,1.6270987,"('unaffectionate', 'caring')",0.41210997,0.23043486,1.2164537,0.9411696,1.225447,0.9329011,0.2925459
75,-1.7700682,-1.5182276,"('meek', 'impulsive')",-0.23460217,0.064901404,-0.5877185,-0.3186692,-0.8641296,-0.5906651,-0.2734645
1,1.5763366,0.9372488,"('unfriendly', 'friendly')",0.41169664,0.3493677,1.7450184,1.5162745,1.2443506,0.934297,0.3100536
26,1.5595413,1.3227865,"('hardhearted', 'benevolent')",1.2643675,1.50353,1.4904814,1.3908546,1.4381301,1.4057236,0.0324065
61,1.4708688,1.3549247,"('illogical', 'logical')",-0.2573216,-0.5068018,0.4147243,0.18115777,0.5427572,0.3430936,0.1996636
3,-1.4350358,-1.3211414,"('repellent', 'pleasant')",-0.5261223,-0.6199771,-0.08953296,-0.014517647,-0.6835636,-0.6518787,-0.0316849
16,-1.4215803,-1.6145941,"('unpopular', 'popular')",0.25573292,0.112024985,0.7741945,0.53554463,-0.130551,-0.3223415,0.1917905
74,1.3832086,1.309866,"('undedicated', 'dedicated')",0.30046034,0.2761057,-0.08132194,-0.117216595,0.5341157,0.489585,0.0445307
57,-1.3668314,-1.2413578,"('unimaginative', 'imaginative')",-0.57179594,-0.60877323,-2.7321134,-2.434199,-1.5569135,-1.4281101,-0.1288034
46,-1.3589785,-1.109628,"('uncompetitive', 'competitive')",0.0010914057,-0.06003412,-0.72874564,-0.31848094,-0.6955442,-0.4960477,-0.1994965
59,1.3147715,1.0256085,"('foolish', 'wise')",0.663428,0.63708425,0.673674,0.4117793,0.8839579,0.6914907,0.1924672
81,-1.3072118,-0.8275677,"('submissive', 'aggressive')",0.8984707,0.9371518,-0.24312885,0.072786614,-0.21729,0.0607902,-0.2780802
39,1.2382603,1.3667643,"('exploitative', 'cooperative')",0.54665536,0.50412524,-0.14664103,-0.21318495,0.5460916,0.5525682,-0.0064766
32,1.1978961,1.0456532,"('unkind', 'kind')",0.11733851,0.15572824,1.0673903,1.1981152,0.7942084,0.7998322,-0.0056238
12,1.1772594,1.1653234,"('unsupportive', 'supportive')",0.4977291,0.43276173,-1.5892279,-1.5757034,0.0285869,0.0074606,0.0211263
27,1.115316,0.7286292,"('hardhearted', 'softhearted')",0.07264972,-0.10672611,1.4537967,1.10293,0.8805875,0.5749443,0.3056432
82,-1.0650971,-1.0412846,"('poor', 'rich')",-1.1173106,-1.0687354,6.0488744,6.1266913,1.2888222,1.3388904,-0.0500682
33,1.0558794,0.8184724,"('wrong', 'right')",0.5053775,0.46339107,-0.55168855,-0.7841973,0.3365228,0.1658887,0.1706341
20,-1.0243286,-0.7866374,"('rough', 'thoughtful')",0.07632249,0.1160254,0.9493779,1.0132307,0.0004573,0.1142062,-0.1137489
64,-1.0202672,-0.89875174,"('shy', 'confident')",-0.023904601,0.12347187,-6.6231947,-6.094899,-2.5557888,-2.2900597,-0.2657291
37,-1.0190557,-0.6923145,"('fake', 'genuine')",-1.0327505,-0.96491444,0.013002165,0.25843033,-0.6796014,-0.4662662,-0.2133352
78,1.0087227,0.5710705,"('nonresilient', 'resilient')",1.1656649,0.8533785,0.69975054,0.6587102,0.958046,0.6943864,0.2636596
