,baxter_male,baxter_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
44,-2.4251318,-2.2686229,"('prejudiced', 'unprejudiced')",0.026920121,-0.0017954186,-1.591979,-1.6850247,-1.3300636,-1.318481,-0.0115826
75,-2.139403,-1.6854298,"('meek', 'impulsive')",-0.62403584,-0.18754871,-0.7706332,-0.6260034,-1.1780241,-0.832994,-0.3450301
71,2.1087067,2.1702867,"('diffident', 'self-confident')",0.6824389,0.8328747,0.53896004,0.42015693,1.1100352,1.1411061,-0.0310709
9,1.9879323,1.9292041,"('unaffectionate', 'caring')",0.3555103,0.35788557,1.2586339,1.3752269,1.2006922,1.2207721,-0.0200799
26,1.7743635,1.5805203,"('hardhearted', 'benevolent')",1.6030693,1.4265107,1.7718722,1.4307494,1.716435,1.4792601,0.2371749
1,1.6401625,1.4250182,"('unfriendly', 'friendly')",0.5735625,0.57783014,2.1329837,2.0367563,1.4489029,1.3465349,0.102368
16,-1.562407,-1.5319071,"('unpopular', 'popular')",-0.11763133,-0.056737185,0.46448636,0.36751613,-0.405184,-0.4070427,0.0018587
74,1.4626396,1.3518506,"('undedicated', 'dedicated')",0.46012655,0.5581953,0.42863116,0.36520725,0.7837991,0.7584177,0.0253814
39,1.4050945,1.3674603,"('exploitative', 'cooperative')",0.7033227,0.48945016,0.0980296,0.116670415,0.7354823,0.6578603,0.077622
61,1.3879087,1.2093905,"('illogical', 'logical')",-0.31815702,-0.3963289,0.35242176,0.31539032,0.4740578,0.3761506,0.0979072
12,1.3679059,1.2611437,"('unsupportive', 'supportive')",0.5230588,0.6184876,-1.275392,-1.2435931,0.2051909,0.2120127,-0.0068218
32,1.2398958,0.95141864,"('unkind', 'kind')",0.14151359,-0.11532053,1.3680937,1.3023515,0.916501,0.7128166,0.2036844
3,-1.1731052,-1.3434055,"('repellent', 'pleasant')",-0.047004264,-0.26344293,0.26864326,0.39863607,-0.3171554,-0.4027375,0.0855821
46,-1.1439859,-1.6371503,"('uncompetitive', 'competitive')",0.10868904,-0.16551448,-0.40645432,-0.45421728,-0.4805837,-0.752294,0.2717103
59,1.0862943,1.1789025,"('foolish', 'wise')",0.4056243,0.5250426,0.65102166,0.6366717,0.7143134,0.7802056,-0.0658922
66,-1.0617484,-0.8999406,"('inactive', 'active')",0.60785407,0.6362555,0.82413054,0.60720664,0.1234121,0.1145072,0.0089049
81,-1.0588274,-1.2613481,"('submissive', 'aggressive')",0.61674976,0.60334975,-0.5596736,-0.50886416,-0.3339171,-0.3889542,0.0550371
57,-1.0572115,-1.3164698,"('unimaginative', 'imaginative')",-0.18957424,-0.35458317,-2.2507677,-2.3598874,-1.1658511,-1.3436467,0.1777956
78,1.0492992,0.814841,"('nonresilient', 'resilient')",1.1342263,1.1143682,0.5899262,0.5205894,0.9244839,0.8165995,0.1078844
64,-1.0446316,-1.2003733,"('shy', 'confident')",-0.057392523,-0.07332413,-6.373575,-6.5011387,-2.4918664,-2.591612,0.0997456
41,1.0208658,0.83646786,"('unforgiving', 'forgiving')",0.15456434,0.16062093,0.10992713,0.043087997,0.4284525,0.3467256,0.0817269
8,1.0076995,1.0229841,"('unaffectionate', 'affectionate')",-0.41355228,-0.46594593,0.7397501,0.7492771,0.4446325,0.4354384,0.0091941
56,0.9989716,0.95586604,"('impractical', 'practical')",0.9707902,1.1564096,-0.42422956,-0.048525482,0.5151774,0.6879167,-0.1727393
48,0.97101355,0.7686503,"('unintelligent', 'intelligent')",0.37158975,0.3618768,0.6889164,0.7252997,0.6771732,0.6186089,0.0585643
82,-0.9486984,-1.1249715,"('poor', 'rich')",-0.99277717,-1.1247785,5.996178,6.325025,1.3515676,1.358425,-0.0068574
20,-0.9285,-0.87128586,"('rough', 'thoughtful')",0.37157512,0.40201867,1.0258572,1.0608189,0.1563108,0.1971839,-0.0408731
68,-0.8911865,-0.95217824,"('dependent', 'independent')",-0.008870047,0.0063971207,-0.47931436,-0.50557846,-0.4597903,-0.4837865,0.0239962
33,0.8910648,0.8209746,"('wrong', 'right')",0.42075557,0.52574366,-0.43612623,-0.5736897,0.2918981,0.2576762,0.0342219
49,-0.8836647,-0.70272803,"('unable', 'able')",-0.7329632,-0.44579965,-0.30042112,0.026235707,-0.6390164,-0.3740973,-0.2649191
27,0.87241024,0.80495757,"('hardhearted', 'softhearted')",0.07195068,0.06954718,1.6425381,1.4994111,0.8622997,0.7913053,0.0709944
84,0.85407263,0.81766623,"('inferior', 'superior')",0.5884077,0.67974746,0.8804641,0.9597553,0.7743148,0.8190564,-0.0447416
23,0.78775746,0.42795417,"('insincere', 'sincere')",0.51677585,0.31003007,6.018687,6.315403,2.4410734,2.3511291,0.0899443
50,-0.7443562,-0.8343172,"('clumsy', 'skillful')",-0.18520302,-0.3379821,0.40926296,0.33360386,-0.1734321,-0.2795651,0.106133
77,-0.73431647,-1.0348965,"('unmotivated', 'motivated')",-0.46120462,-0.52725285,-1.4368957,-1.4095556,-0.8774722,-0.9905683,0.1130961
76,-0.70698494,-0.843727,"('anxious', 'daring')",0.5317602,0.4114476,0.16780427,0.30523673,-0.0024735,-0.0423476,0.0398741
4,-0.65270704,-0.5202386,"('disliked', 'liked')",-0.5769026,-0.25239983,-6.3300385,-6.4050426,-2.5198828,-2.3925603,-0.1273225
63,0.6493917,0.39897567,"('unperceptive', 'insightful')",1.0902476,1.1267446,1.4285785,1.5690976,1.0560726,1.031606,0.0244666
43,0.64452773,0.4284104,"('irresponsible', 'responsible')",0.22586152,0.103575565,0.48842198,0.6270387,0.452937,0.3863416,0.0665954
83,-0.6180852,-0.727095,"('powerless', 'powerful')",-0.42492303,-0.20371574,-1.0462105,-0.94640017,-0.6964062,-0.625737,-0.0706692
34,-0.57481086,-0.5773996,"('mean', 'honorable')",0.12666985,0.20591134,5.8860693,6.1486883,1.8126427,1.9257334,-0.1130907
40,-0.5318969,-0.6027452,"('stingy', 'generous')",0.048091102,0.38801798,-1.1448385,-1.0047566,-0.5428814,-0.4064946,-0.1363868
65,-0.52192706,-0.645713,"('insecure', 'secure')",0.31881458,0.14060912,-0.22976816,-0.04516615,-0.1442935,-0.1834233,0.0391298
58,0.4853034,0.3486072,"('undiscriminating', 'discriminating')",0.24419156,0.12936866,0.1408598,0.08960822,0.2901182,0.1891947,0.1009235
