,sandisk_male,sandisk_female,tuple,corp_male,corp_female,average_male,average_female,male-female
43,-1.4564879,-1.1065451,"('irresponsible', 'responsible')",0.056391083,-0.2514962,-0.7000484,-0.6790206,-0.0210278
10,-1.3483866,-1.2581099,"('unsympathetic', 'sympathetic')",-0.58377576,-1.1426299,-0.9660812,-1.2003698,0.2342886
69,1.3477495,1.1900443,"('lazy', 'industrious')",-0.8420135,-0.25870717,0.252868,0.4656686,-0.2128006
86,-1.3265908,-1.0289638,"('uninfluential', 'influential')",-0.43143514,-0.6017887,-0.8790129,-0.8153763,-0.0636366
57,-1.322938,-1.3430891,"('unimaginative', 'imaginative')",-3.3535967,-3.3571935,-2.3382673,-2.3501413,0.011874
33,1.2286279,1.2409035,"('wrong', 'right')",-0.34057778,0.017557576,0.4440251,0.6292306,-0.1852055
19,-1.2227185,-0.85300446,"('inhospitable', 'hospitable')",-0.19577923,0.21086842,-0.7092488,-0.321068,-0.3881808
32,-1.1825074,-0.99000686,"('unkind', 'kind')",0.64867795,0.4117142,-0.2669147,-0.2891463,0.0222316
13,-1.154292,-0.957494,"('impolite', 'polite')",-0.7080281,-1.083442,-0.93116,-1.020468,0.089308
28,-1.0910975,-0.97908485,"('disloyal', 'loyal')",1.1396437,0.76664543,0.0242731,-0.1062197,0.1304928
0,-1.0647666,-0.9163328,"('unsociable', 'sociable')",-0.3817201,-0.73989993,-0.7232434,-0.8281164,0.104873
72,-0.98729295,-0.6592276,"('unambitious', 'ambitious')",-0.5339208,-0.58531296,-0.7606069,-0.6222703,-0.1383366
38,-0.96246904,-0.6818355,"('untruthful', 'truthful')",-0.24395251,-0.084713556,-0.6032108,-0.3832745,-0.2199363
45,-0.924122,-0.88582337,"('incompetent', 'competent')",-0.12688129,-0.5300458,-0.5255016,-0.7079346,0.182433
1,-0.9180418,-0.657821,"('unfriendly', 'friendly')",1.7618306,1.8943769,0.4218944,0.6182779,-0.1963835
9,-0.87217396,-0.51278913,"('unaffectionate', 'caring')",1.6123719,1.6249261,0.370099,0.5560685,-0.1859695
79,-0.84578866,-0.82747024,"('wavering', 'unwavering')",-0.2543388,-0.070257746,-0.5500637,-0.448864,-0.1011997
53,-0.83892524,-0.7877577,"('uncreative', 'creative')",0.39138678,0.3747292,-0.2237692,-0.2065143,-0.0172549
11,-0.8315291,-0.8110356,"('unhelpful', 'helpful')",1.8242242,1.3725057,0.4963476,0.280735,0.2156126
8,-0.77655673,-0.4618783,"('unaffectionate', 'affectionate')",1.2415367,1.3898697,0.23249,0.4639957,-0.2315057
6,-0.7492261,-0.42720833,"('distant', 'open')",-0.24125808,0.16887894,-0.4952421,-0.1291647,-0.3660774
51,-0.74843323,-0.9071166,"('uneducated', 'educated')",0.63116926,0.20905408,-0.058632,-0.3490313,0.2903993
24,-0.7428759,-0.33108056,"('dishonest', 'honest')",0.4516484,0.35076174,-0.1456137,0.0098406,-0.1554543
17,-0.7332764,-0.72424865,"('nasty', 'nice')",-0.66629267,-0.58134955,-0.6997845,-0.6527991,-0.0469854
67,0.72301304,0.8367453,"('doubtful', 'determined')",-0.9791999,-0.71341914,-0.1280934,0.0616631,-0.1897565
64,-0.70951647,-0.62081087,"('shy', 'confident')",-7.0525184,-6.7505527,-3.8810174,-3.6856818,-0.1953356
65,-0.690037,-0.65847296,"('insecure', 'secure')",-0.39609617,-0.8918304,-0.5430666,-0.7751517,0.2320851
84,0.68211955,0.62244415,"('inferior', 'superior')",1.0785913,1.2212496,0.8803555,0.9218469,-0.0414914
31,-0.6641038,-0.502156,"('evil', 'good')",-0.7506914,-0.22591397,-0.7073976,-0.364035,-0.3433626
82,-0.6557521,-0.41015744,"('poor', 'rich')",6.419789,6.025328,2.8820183,2.8075852,0.0744331
54,-0.6531135,-0.40345463,"('incapable', 'capable')",1.134395,1.2004005,0.2406408,0.3984729,-0.1578321
27,-0.6521269,-0.6091664,"('hardhearted', 'softhearted')",1.4184809,1.3543401,0.383177,0.3725868,0.0105902
70,-0.6300255,-0.7532572,"('lethargic', 'energetic')",0.022964355,-0.47664946,-0.3035306,-0.6149533,0.3114227
7,-0.6268863,-0.64521635,"('insensitive', 'sensitive')",0.73711896,0.1234407,0.0551163,-0.2608878,0.3160041
77,-0.62674844,-0.60919106,"('unmotivated', 'motivated')",-1.4736774,-1.5034336,-1.0502129,-1.0563123,0.0060994
73,0.5803012,0.61569166,"('helpless', 'self-reliant')",-2.8775208,-2.492377,-1.1486098,-0.9383427,-0.2102671
88,-0.5776403,-0.43122387,"('low', 'eminent')",-0.38202423,-0.3707602,-0.4798323,-0.400992,-0.0788403
25,0.5641627,0.55399287,"('egoistic', 'altruistic')",1.3743882,1.7061429,0.9692755,1.1300678,-0.1607923
