,goodyear_male,goodyear_female,tuple,tire_male,tire_female,&_male,&_female,rubber_male,rubber_female,co_male,co_female,average_male,average_female,male-female
10,-2.377923,-2.3160014,"('unsympathetic', 'sympathetic')",-1.893755,-1.8986695,-1.8170472,-1.8735299,-1.5457401,-1.6299219,0.02518709,-0.12841609,-1.5218556,-1.5693078,0.0474522
57,-2.2220976,-2.3419693,"('unimaginative', 'imaginative')",-1.2786213,-1.3186768,-1.7624053,-1.8388053,-0.9744008,-1.0940785,-3.4161646,-3.0839074,-1.9307381,-1.9354874,0.0047493
65,-1.9937522,-2.0672581,"('insecure', 'secure')",-2.2223213,-2.2252643,-0.39050692,-0.49044347,-1.9932678,-2.0539043,0.12029493,-0.042270947,-1.2959105,-1.3758283,0.0799178
0,-1.9823896,-2.193387,"('unsociable', 'sociable')",-0.5023168,-0.5613378,0.011067037,-0.18080047,-0.3075833,-0.46081126,0.50052506,0.37041986,-0.4561395,-0.6051833,0.1490438
48,-1.9706285,-2.2741487,"('unintelligent', 'intelligent')",-1.2803273,-1.4783747,-1.3230106,-1.6619183,-1.9444451,-2.1879241,-0.07764313,-0.51016647,-1.3192109,-1.6225063,0.3032954
35,1.9295751,1.8892739,"('corrupt', 'incorrupt')",1.37479,1.3457816,0.6639169,0.7554078,0.8445684,0.8853046,-0.68467027,-0.7174776,0.825636,0.831658,-0.006022
60,-1.8059238,-1.9698215,"('inefficient', 'efficient')",-1.4150286,-1.4830346,-0.39713278,-0.62153846,-1.7050487,-1.8346053,0.22253063,0.17005515,-1.0201206,-1.147789,0.1276684
27,-1.7388307,-1.8869954,"('hardhearted', 'softhearted')",-0.73408335,-0.7937527,-1.1252584,-1.4095939,-0.91848266,-1.1144291,0.31101215,0.0016290992,-0.8411285,-1.0406284,0.1994999
43,-1.6659842,-1.528976,"('irresponsible', 'responsible')",-1.2279084,-1.1945827,-1.0916252,-0.8675143,-1.6289053,-1.6423538,0.13688943,0.1586886,-1.0955067,-1.0149477,-0.080559
61,-1.6567553,-1.6492983,"('illogical', 'logical')",0.48640433,0.45874247,0.23750453,0.25167713,-0.088467136,-0.16890162,-0.2350989,-0.34473428,-0.2512825,-0.2905029,0.0392204
69,1.6369418,1.8001673,"('lazy', 'industrious')",1.6109486,1.7182457,1.3434887,1.3567944,1.780378,1.9289864,-0.69069755,-0.36236313,1.1362119,1.2883661,-0.1521542
55,-1.6304278,-1.8273504,"('incompetent', 'clever')",-2.223214,-2.2893844,-0.37783846,-0.5563919,-2.7686598,-2.8903396,0.25230753,0.13803482,-1.3495666,-1.4850863,0.1355197
86,-1.5959783,-1.9306052,"('uninfluential', 'influential')",-0.12906937,-0.17616287,-1.0300373,-1.2352641,-0.9301265,-1.0572482,-0.034719735,-0.12425347,-0.7439862,-0.9047068,0.1607206
