,newell_male,newell_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
71,2.7714765,3.0769947,"('diffident', 'self-confident')",2.2626412,2.4144135,0.8774049,1.0675025,1.9705076,2.1863036,-0.215796
26,2.3097172,2.4179277,"('hardhearted', 'benevolent')",0.75934136,0.8973819,1.6029724,1.8405786,1.5573436,1.7186294,-0.1612858
1,2.2519186,2.4278944,"('unfriendly', 'friendly')",1.072087,1.1575471,1.7291827,1.9065593,1.6843961,1.830667,-0.1462709
85,2.238352,2.6243427,"('insignificant', 'prestigious')",0.6033719,0.8061816,1.274709,1.6435521,1.3721444,1.6913589,-0.3192145
12,2.2194571,2.3754036,"('unsupportive', 'supportive')",0.7335056,0.80156064,-1.3669091,-1.2470386,0.5286846,0.6433086,-0.114624
87,1.7315981,1.7954615,"('unsuccessful', 'successful')",1.8810688,1.9439573,0.8993269,0.9992044,1.503998,1.5795412,-0.0755432
33,1.5886141,1.709067,"('wrong', 'right')",0.95739037,1.1093047,-0.3957682,-0.10172501,0.7167455,0.9055489,-0.1888034
53,1.511588,1.8750669,"('uncreative', 'creative')",0.9567105,1.1028215,0.9899634,1.1797049,1.152754,1.3858644,-0.2331104
73,1.4582596,1.4590552,"('helpless', 'self-reliant')",1.028262,0.89775777,-3.0174158,-2.945613,-0.1769647,-0.1962667,0.019302
3,-1.452337,-1.5641819,"('repellent', 'pleasant')",-0.67804,-0.6816333,-0.08475284,-0.27659744,-0.7383766,-0.8408043,0.1024277
75,-1.4367486,-1.532706,"('meek', 'impulsive')",-1.0783703,-1.218301,-0.3548025,-0.438385,-0.9566406,-1.0631307,0.1064901
57,-1.2915846,-1.1348037,"('unimaginative', 'imaginative')",-1.1537497,-1.0329007,-2.5576243,-2.388401,-1.6676529,-1.5187019,-0.148951
9,1.2915611,1.4776895,"('unaffectionate', 'caring')",0.903263,0.99974674,0.98015493,1.0734088,1.0583264,1.183615,-0.1252886
84,1.2386591,1.3026047,"('inferior', 'superior')",0.13536738,0.14033146,1.0227458,1.020918,0.7989241,0.8212848,-0.0223607
56,1.2383695,1.0221343,"('impractical', 'practical')",1.1003407,0.9139354,-0.21590728,-0.49266014,0.707601,0.4811365,0.2264645
81,-1.2095557,-1.2789148,"('submissive', 'aggressive')",-0.09590737,-0.16489458,-0.9808069,-1.196614,-0.76209,-0.8801411,0.1180511
19,1.1848209,1.3693078,"('inhospitable', 'hospitable')",0.03873874,0.15209518,0.26722533,0.49676406,0.4969283,0.6727223,-0.175794
2,1.1285288,1.0856417,"('unlikable', 'likable')",0.9035556,0.92316973,0.63164896,0.56289154,0.8879112,0.8572343,0.0306769
78,1.1041646,1.0693749,"('nonresilient', 'resilient')",1.046513,1.0473562,0.8552494,0.89625996,1.0019757,1.0043304,-0.0023547
69,1.0718955,1.0764879,"('lazy', 'industrious')",0.64099866,0.6970544,-0.38419968,-0.09999609,0.4428982,0.5578487,-0.1149505
5,1.0308036,1.2824612,"('distant', 'outgoing')",0.1312539,0.16653202,-0.030293847,0.1886338,0.3772545,0.5458757,-0.1686212
68,-1.0044727,-0.87601835,"('dependent', 'independent')",-0.73888177,-0.6844118,-0.40353456,-0.37485582,-0.7156297,-0.6450953,-0.0705344
42,0.9826051,1.1733139,"('unreliable', 'reliable')",0.55299735,0.57294023,-2.6252406,-2.5862246,-0.3632127,-0.2799902,-0.0832225
