,thermo_male,thermo_female,tuple,fisher_male,fisher_female,scientific_male,scientific_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.0981886,-1.8692727,"('uninfluential', 'influential')",-0.64218444,-0.45229194,0.21273483,0.34721968,-0.545716,-0.31305283,-0.7683386,-0.5718495,-0.1964891
1,-2.0880413,-1.8006332,"('unfriendly', 'friendly')",-0.10974637,0.37323967,-0.36006814,-0.180881,1.9102719,2.1519516,-0.161896,0.1359192,-0.2978152
19,-1.9181858,-1.6988899,"('inhospitable', 'hospitable')",-0.48409963,0.067705266,-0.6481598,-0.4829582,0.11505933,0.3801544,-0.7338465,-0.4334971,-0.3003494
10,-1.8728017,-1.7958974,"('unsympathetic', 'sympathetic')",-0.68175566,-0.6670997,-0.8495197,-0.8268989,-0.26500347,-0.43887478,-0.9172701,-0.9321926,0.0149225
8,-1.8577552,-1.6990435,"('unaffectionate', 'affectionate')",-0.15831676,0.29971534,-0.3746838,-0.29608008,0.59866554,0.79158837,-0.4480226,-0.225955,-0.2220676
9,-1.8023397,-1.7057331,"('unaffectionate', 'caring')",0.4522094,0.6544968,0.13160937,0.1350151,1.3403347,1.2925547,0.0304534,0.0940834,-0.06363
53,-1.770461,-1.6577767,"('uncreative', 'creative')",-0.7011748,-0.46982867,0.09625812,0.11742109,0.9613034,1.1153846,-0.3535185,-0.2236999,-0.1298186
6,-1.7401103,-1.4806249,"('distant', 'open')",-1.8177098,-1.2712421,-1.5041589,-1.4300014,-0.20033115,0.04336568,-1.3155775,-1.0346258,-0.2809517
5,-1.6099701,-1.3798077,"('distant', 'outgoing')",-1.2426497,-0.78829783,-1.1487225,-1.02837,-0.41086864,-0.26101744,-1.1030527,-0.8643732,-0.2386795
79,-1.5085629,-1.167397,"('wavering', 'unwavering')",-0.8281726,-0.34890363,-1.7601961,-1.6218675,-0.26433328,-0.010884568,-1.0903162,-0.7872632,-0.303053
54,-1.2533259,-1.2129215,"('incapable', 'capable')",0.10099001,0.08559809,-0.07982147,-0.12707254,1.0423305,1.0377333,-0.0474567,-0.0541657,0.006709
57,-1.2274595,-1.1406816,"('unimaginative', 'imaginative')",-1.9299933,-1.7659867,-0.3837229,-0.38767105,-2.4926577,-2.3725526,-1.5084584,-1.416723,-0.0917354
66,-1.2206329,-0.939013,"('inactive', 'active')",-1.0430759,-0.72552025,-0.8819573,-0.5891412,0.11671777,0.58543277,-0.7572371,-0.4170604,-0.3401767
28,-1.210379,-1.1883963,"('disloyal', 'loyal')",-0.36684772,-0.27140325,0.43100384,0.30125004,0.99119127,0.81608653,-0.0387579,-0.0856158,0.0468579
69,1.1729366,1.3475641,"('lazy', 'industrious')",0.5875316,0.9476418,0.66769487,0.69635975,-0.94704294,-0.5875659,0.37028,0.601,-0.23072
12,-1.1396425,-1.0439986,"('unsupportive', 'supportive')",0.7384939,0.7930919,0.25076678,0.2864876,-1.6408134,-1.5757959,-0.4477988,-0.3850538,-0.062745
0,-1.1344602,-0.9138652,"('unsociable', 'sociable')",0.31168252,0.25958908,0.6207334,0.7617485,-0.6166046,-0.7268949,-0.2046622,-0.1548556,-0.0498066
36,-1.0658648,-0.68678665,"('hostile', 'amicable')",-1.1988821,-0.38162464,-1.4996604,-1.2525314,-0.32400635,0.11340991,-1.0221034,-0.5518832,-0.4702202
82,-1.0476857,-1.2403884,"('poor', 'rich')",-0.7775328,-1.0028344,0.42323565,0.24695721,6.235442,5.732312,1.2083648,0.9340117,0.2743531
63,-1.0303348,-1.1226816,"('unperceptive', 'insightful')",-0.6144205,-0.9836025,0.28503156,0.14848241,1.1854571,0.91806626,-0.0435667,-0.2599339,0.2163672
31,-0.9934249,-0.6042013,"('evil', 'good')",-1.7430247,-1.1521715,-1.3418852,-1.1781975,-1.5831906,-0.95615023,-1.4153813,-0.9726802,-0.4427011
78,-0.98960817,-1.0326424,"('nonresilient', 'resilient')",-1.0534018,-1.2311112,0.8997768,0.833998,0.42692983,0.4802782,-0.1790758,-0.2373693,0.0582935
