,monster_male,monster_female,tuple,worldwide_male,worldwide_female,inc_male,inc_female,average_male,average_female,male-female
31,-2.7343762,-2.89451,"('evil', 'good')",-1.4672539,-1.2082491,-1.0434204,-0.88556224,-1.7483501,-1.6627739,-0.0855762
36,-2.4726682,-2.7666223,"('hostile', 'amicable')",-1.1771349,-1.0478759,-0.11797254,-0.09632885,-1.2559253,-1.303609,0.0476837
48,2.1483197,2.1671891,"('unintelligent', 'intelligent')",0.18779288,0.07886458,0.7562495,0.7587776,1.0307873,1.0016104,0.0291769
17,-2.0244002,-2.1164727,"('nasty', 'nice')",-1.9723532,-1.632972,-0.7153106,-0.4254338,-1.5706879,-1.3916262,-0.1790617
44,-1.974215,-1.9576427,"('prejudiced', 'unprejudiced')",-0.52632374,-0.41656393,-1.5395547,-1.3297688,-1.3466978,-1.2346584,-0.1120394
56,1.9068859,2.2052934,"('impractical', 'practical')",1.3482517,1.3194616,-0.40511757,-0.43533316,0.9500066,1.0298072,-0.0798006
18,-1.8351382,-1.6196878,"('disagreeable', 'welcoming')",0.21186882,0.3295682,-0.6267839,-0.48868135,-0.7500177,-0.5929337,-0.157084
69,-1.6206255,-1.5525688,"('lazy', 'industrious')",0.42348877,0.64639264,-0.47420782,-0.15236333,-0.5571148,-0.3528465,-0.2042683
4,-1.5307368,-1.7409402,"('disliked', 'liked')",-0.22023651,-0.25499684,-6.9022207,-6.4079165,-2.8843981,-2.8012845,-0.0831136
16,-1.4934244,-1.7430534,"('unpopular', 'popular')",-0.010275379,-0.071539804,0.743307,0.7911059,-0.2534643,-0.3411624,0.0876981
72,1.472769,1.2611148,"('unambitious', 'ambitious')",1.1529237,0.9268232,0.11391327,-0.07328498,0.913202,0.7048844,0.2083176
66,-1.4387109,-1.7132515,"('inactive', 'active')",0.60068655,0.2541814,0.7082031,0.5524696,-0.0432738,-0.3022002,0.2589264
81,1.4258672,1.9522375,"('submissive', 'aggressive')",0.91565967,0.81286633,-0.33085358,-0.39593577,0.6702245,0.7897227,-0.1194982
