,johnson_male,johnson_female,tuple,&_male,&_female,average_male,average_female,male-female
81,-2.3186684,-2.2734132,"('submissive', 'aggressive')",-0.018540964,0.06822255,-1.1686046,-1.1025953,-0.0660093
69,2.139319,2.2022405,"('lazy', 'industrious')",1.1492406,1.1271726,1.6442797,1.6647065,-0.0204268
71,2.0479622,2.2490513,"('diffident', 'self-confident')",0.9465792,0.97128147,1.4972707,1.6101664,-0.1128957
85,2.0402317,2.092702,"('insignificant', 'prestigious')",1.2141467,1.2222058,1.6271892,1.6574538,-0.0302646
6,1.9237112,1.9250141,"('distant', 'open')",0.5991307,0.4680054,1.261421,1.1965097,0.0649113
59,1.8180093,2.0276577,"('foolish', 'wise')",0.9113519,1.0633197,1.3646805,1.5454887,-0.1808082
82,-1.7155412,-1.7298813,"('poor', 'rich')",-0.65162367,-0.6920928,-1.1835824,-1.2109871,0.0274047
84,1.5540911,1.7474914,"('inferior', 'superior')",0.8253542,0.901294,1.1897227,1.3243927,-0.13467
14,-1.5520736,-1.5545485,"('antisocial', 'social')",0.55102265,0.6644081,-0.5005255,-0.4450702,-0.0554553
21,-1.5400158,-1.5171992,"('immoral', 'moral')",0.4737016,0.49669352,-0.5331571,-0.5102528,-0.0229043
51,-1.4542007,-1.3746284,"('uneducated', 'educated')",-0.50843966,-0.43071726,-0.9813202,-0.9026728,-0.0786474
13,-1.4226754,-1.4897947,"('impolite', 'polite')",-0.44495738,-0.4123395,-0.9338164,-0.9510671,0.0172507
10,-1.4069622,-1.563663,"('unsympathetic', 'sympathetic')",-0.5399164,-0.66032875,-0.9734393,-1.1119959,0.1385566
33,1.3973718,1.4379262,"('wrong', 'right')",0.89229834,0.7377472,1.144835,1.0878367,0.0569983
36,1.3649021,1.2456006,"('hostile', 'amicable')",0.5286434,0.4800865,0.9467728,0.8628435,0.0839293
70,-1.290287,-1.4315298,"('lethargic', 'energetic')",-0.26033425,-0.486203,-0.7753106,-0.9588664,0.1835558
35,1.2785898,1.5345867,"('corrupt', 'incorrupt')",0.26390028,0.34907895,0.7712451,0.9418328,-0.1705877
62,-1.277588,-1.2846338,"('incompetent', 'brilliant')",-0.32043397,-0.4017615,-0.799011,-0.8431976,0.0441866
75,-1.2609471,-1.2960865,"('meek', 'impulsive')",-1.0534832,-1.1104878,-1.1572151,-1.2032871,0.046072
57,-1.2596434,-1.5797254,"('unimaginative', 'imaginative')",-1.0537457,-1.1259754,-1.1566947,-1.3528504,0.1961557
49,-1.1528795,-1.0578518,"('unable', 'able')",-0.03363663,0.08768652,-0.593258,-0.4850826,-0.1081754
68,-1.0979685,-0.99870056,"('dependent', 'independent')",-1.3110476,-1.1611527,-1.2045081,-1.0799266,-0.1245815
22,-1.0528822,-1.3131574,"('untrustworthy', 'trustworthy')",-0.1935308,-0.42432076,-0.6232065,-0.8687391,0.2455326
31,1.0459998,0.7081408,"('evil', 'good')",0.3384192,0.09894131,0.6922095,0.4035411,0.2886684
66,-1.0391508,-0.89942175,"('inactive', 'active')",0.94149375,0.98244643,-0.0488285,0.0415123,-0.0903408
1,1.0349574,0.84512985,"('unfriendly', 'friendly')",1.0161875,0.8747349,1.0255725,0.8599324,0.1656401
20,-1.0343091,-0.9291094,"('rough', 'thoughtful')",0.2742942,0.42067513,-0.3800075,-0.2542171,-0.1257904
45,-1.031311,-1.6105152,"('incompetent', 'competent')",0.29847515,-0.07645942,-0.3664179,-0.8434873,0.4770694
5,1.0141838,1.0214369,"('distant', 'outgoing')",0.55225086,0.51839834,0.7832173,0.7699176,0.0132997
25,1.0096437,1.1340224,"('egoistic', 'altruistic')",0.666587,0.7009865,0.8381153,0.9175044,-0.0793891
76,-1.0022365,-0.83849895,"('anxious', 'daring')",0.6986573,0.757955,-0.1517896,-0.040272,-0.1115176
18,-0.96264184,-0.8854487,"('disagreeable', 'welcoming')",0.54850465,0.5439544,-0.2070686,-0.1707472,-0.0363214
29,0.93510187,0.95801014,"('unfair', 'fair')",-0.49782175,-0.5236717,0.2186401,0.2171692,0.0014709
60,-0.9315857,-0.8184416,"('inefficient', 'efficient')",0.48501596,0.56939393,-0.2232849,-0.1245238,-0.0987611
26,0.90091646,0.61100405,"('hardhearted', 'benevolent')",2.1612904,2.1575763,1.5311034,1.3842902,0.1468132
73,0.8878542,0.93500304,"('helpless', 'self-reliant')",-0.0031259903,-0.18846686,0.4423641,0.3732681,0.069096
55,-0.8785861,-0.9347328,"('incompetent', 'clever')",0.24366,0.22713056,-0.317463,-0.3538011,0.0363381
86,-0.87146455,-1.1101125,"('uninfluential', 'influential')",0.1595045,-0.08014222,-0.35598,-0.5951274,0.2391474
30,-0.84989744,-0.87910783,"('intolerant', 'tolerant')",-0.38855788,-0.4739015,-0.6192276,-0.6765047,0.0572771
67,0.8294353,1.1721264,"('doubtful', 'determined')",0.011094169,0.054960996,0.4202647,0.6135437,-0.193279
52,0.82911396,0.6699642,"('irrational', 'rational')",0.6159094,0.48921525,0.7225116,0.5795897,0.1429219
3,-0.8054966,-0.75647444,"('repellent', 'pleasant')",-0.705891,-0.652409,-0.7556938,-0.7044417,-0.0512521
15,0.8049403,0.65676594,"('boring', 'funny')",1.1678916,1.050372,0.986416,0.853569,0.132847
64,-0.7976225,-0.59776086,"('shy', 'confident')",0.08695014,0.19403268,-0.3553362,-0.2018641,-0.1534721
43,-0.7822011,-0.58937466,"('irresponsible', 'responsible')",-0.07340085,-0.054568734,-0.427801,-0.3219717,-0.1058293
72,-0.7715784,-0.62932765,"('unambitious', 'ambitious')",-1.2010413,-1.0646213,-0.9863099,-0.8469745,-0.1393354
44,-0.7570578,-0.7788464,"('prejudiced', 'unprejudiced')",-1.3672812,-1.388343,-1.0621696,-1.0835947,0.0214251
39,0.7136326,0.91006374,"('exploitative', 'cooperative')",0.3226222,0.44912562,0.5181274,0.6795947,-0.1614673
74,0.6795585,0.5320585,"('undedicated', 'dedicated')",0.90814245,0.73946184,0.7938505,0.6357602,0.1580903
12,0.66204274,0.62275076,"('unsupportive', 'supportive')",0.7646887,0.76689565,0.7133657,0.6948232,0.0185425
46,-0.6597372,-0.81577575,"('uncompetitive', 'competitive')",0.50203294,0.39507455,-0.0788521,-0.2103506,0.1314985
19,0.58344644,0.51745313,"('inhospitable', 'hospitable')",-0.6620842,-0.7085834,-0.0393189,-0.0955651,0.0562462
9,0.5512958,0.6025908,"('unaffectionate', 'caring')",0.6779359,0.6650464,0.6146159,0.6338186,-0.0192027
61,0.519312,0.37666768,"('illogical', 'logical')",0.81178564,0.7247677,0.6655488,0.5507177,0.1148311
2,0.5141674,0.5901978,"('unlikable', 'likable')",1.2442389,1.1776886,0.8792031,0.8839432,-0.0047401
41,-0.50996125,-0.5818321,"('unforgiving', 'forgiving')",0.04694618,-0.01965122,-0.2315075,-0.3007417,0.0692342
58,-0.44112092,-0.74605715,"('undiscriminating', 'discriminating')",-0.088578746,-0.30080864,-0.2648498,-0.5234329,0.2585831
79,0.44081682,0.5143732,"('wavering', 'unwavering')",0.10038707,0.017712552,0.2706019,0.2660429,0.004559
80,-0.42498016,-0.519189,"('dominated', 'dominating')",-0.10084572,-0.09851575,-0.2629129,-0.3088524,0.0459395
78,0.42135066,0.39387566,"('nonresilient', 'resilient')",0.51280826,0.4450603,0.4670795,0.419468,0.0476115
53,0.4204447,0.5699821,"('uncreative', 'creative')",0.014268391,0.18909264,0.2173565,0.3795374,-0.1621809
8,0.40071768,0.4308668,"('unaffectionate', 'affectionate')",0.7148309,0.66607577,0.5577743,0.5484713,0.009303
54,-0.3388162,-0.18538135,"('incapable', 'capable')",0.3309344,0.48219442,-0.0039409,0.1484065,-0.1523474
50,0.33436793,0.53589034,"('clumsy', 'skillful')",1.3565378,1.3426043,0.8454529,0.9392473,-0.0937944
63,0.3182161,0.12752944,"('unperceptive', 'insightful')",0.8767906,0.71483374,0.5975033,0.4211816,0.1763217
56,-0.3173707,-0.2939297,"('impractical', 'practical')",-0.119173534,-0.003848184,-0.2182721,-0.1488889,-0.0693832
23,-0.30925617,-0.25629428,"('insincere', 'sincere')",-0.5881375,-0.5605438,-0.4486969,-0.408419,-0.0402779
28,-0.27571467,-0.27574936,"('disloyal', 'loyal')",0.20358908,0.06498771,-0.0360628,-0.1053808,0.069318
65,-0.27204192,-0.072011046,"('insecure', 'secure')",-0.15361725,-0.12122134,-0.2128296,-0.0966162,-0.1162134
37,0.2580082,0.145863,"('fake', 'genuine')",0.049327187,0.016178442,0.1536677,0.0810207,0.072647
88,-0.2567224,-0.253222,"('low', 'eminent')",0.23630524,0.11874096,-0.0102086,-0.0672405,0.0570319
83,-0.23853546,-0.24353305,"('powerless', 'powerful')",0.00417763,-0.022446968,-0.1171789,-0.13299,0.0158111
0,-0.23084077,-0.50974584,"('unsociable', 'sociable')",0.629572,0.5161826,0.1993656,0.0032184,0.1961472
40,0.21899424,0.105867095,"('stingy', 'generous')",-0.56967616,-0.7848403,-0.175341,-0.3394866,0.1641456
42,-0.21741818,-0.07760198,"('unreliable', 'reliable')",0.65821844,0.7346893,0.2204001,0.3285437,-0.1081436
47,-0.20320168,-0.23386869,"('stupid', 'smart')",0.56042296,0.59947586,0.1786106,0.1828036,-0.004193
7,-0.20160927,-0.055468984,"('insensitive', 'sensitive')",-0.42535034,-0.40035072,-0.3134798,-0.2279098,-0.08557
32,0.2006047,0.326671,"('unkind', 'kind')",0.44361556,0.47763142,0.3221101,0.4021512,-0.0800411
16,0.19965766,0.43226087,"('unpopular', 'popular')",0.4057578,0.46445918,0.3027077,0.44836,-0.1456523
48,-0.19435887,-0.13529637,"('unintelligent', 'intelligent')",0.027670912,0.071754545,-0.083344,-0.0317709,-0.0515731
87,0.18638796,0.11560172,"('unsuccessful', 'successful')",2.3086486,2.277214,1.2475183,1.1964079,0.0511104
34,-0.17794257,-0.13690567,"('mean', 'honorable')",0.30976743,0.31844884,0.0659124,0.0907716,-0.0248592
4,0.15510048,-0.013304584,"('disliked', 'liked')",0.31352624,0.06528273,0.2343134,0.0259891,0.2083243
77,-0.1306138,-0.1546741,"('unmotivated', 'motivated')",0.05108968,0.15077735,-0.0397621,-0.0019484,-0.0378137
38,0.12730746,0.09928817,"('untruthful', 'truthful')",-0.7897594,-1.0413852,-0.331226,-0.4710485,0.1398225
17,-0.058568303,0.14699394,"('nasty', 'nice')",0.01974079,0.112734415,-0.0194138,0.1298642,-0.149278
27,-0.05658388,-0.11428647,"('hardhearted', 'softhearted')",-0.52605116,-0.61566913,-0.2913175,-0.3649778,0.0736603
11,0.050219256,-0.0010051318,"('unhelpful', 'helpful')",-0.7537054,-0.8248081,-0.3517431,-0.4129066,0.0611635
24,-0.007260209,0.06655012,"('dishonest', 'honest')",0.38491747,0.18202184,0.1888286,0.124286,0.0645426
