,exelon_male,exelon_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.5829215,-2.5830219,"('unsympathetic', 'sympathetic')",-0.7386266,-0.55828303,-1.660774,-1.5706525,-0.0901215
0,-2.561002,-2.3847158,"('unsociable', 'sociable')",-0.51391226,-0.3714121,-1.5374571,-1.3780639,-0.1593932
86,-2.3322272,-2.3120308,"('uninfluential', 'influential')",-0.5400506,-0.34397513,-1.4361389,-1.3280029,-0.108136
57,-2.251918,-2.333343,"('unimaginative', 'imaginative')",-3.0229523,-2.7639458,-2.6374352,-2.5486445,-0.0887907
45,-2.123637,-2.0904443,"('incompetent', 'competent')",-0.3244997,-0.20896365,-1.2240683,-1.149704,-0.0743643
55,-1.9273579,-1.9451991,"('incompetent', 'clever')",0.0040233675,0.03042084,-0.9616673,-0.9573891,-0.0042782
43,-1.9237957,-1.6844895,"('irresponsible', 'responsible')",-0.18288979,0.060955647,-1.0533427,-0.8117669,-0.2415758
46,-1.7892927,-1.6642101,"('uncompetitive', 'competitive')",-1.0035132,-0.9059865,-1.396403,-1.2850983,-0.1113047
13,-1.7685766,-1.4014972,"('impolite', 'polite')",-0.8033423,-0.6293677,-1.2859595,-1.0154325,-0.270527
53,-1.6425718,-1.873751,"('uncreative', 'creative')",0.44045785,0.37181777,-0.601057,-0.7509667,0.1499097
22,-1.6244303,-1.526345,"('untrustworthy', 'trustworthy')",-1.4744279,-1.3941381,-1.5494292,-1.4602416,-0.0891876
65,-1.5748146,-1.3185622,"('insecure', 'secure')",-0.6907169,-0.53787607,-1.1327658,-0.9282191,-0.2045467
70,-1.5432824,-1.3392419,"('lethargic', 'energetic')",-0.24806397,-0.1570355,-0.8956732,-0.7481387,-0.1475345
56,-1.372641,-1.1628367,"('impractical', 'practical')",-0.27528304,-0.113524355,-0.823962,-0.6381805,-0.1857815
75,1.3563317,1.2523903,"('meek', 'impulsive')",-0.24534468,-0.33117428,0.5554935,0.460608,0.0948855
63,-1.3395594,-1.2464883,"('unperceptive', 'insightful')",0.53980124,0.63139486,-0.3998791,-0.3075467,-0.0923324
32,-1.3300346,-1.2879772,"('unkind', 'kind')",0.2681166,0.40543184,-0.530959,-0.4412727,-0.0896863
12,-1.318319,-1.4374301,"('unsupportive', 'supportive')",-1.8668727,-1.7206377,-1.5925958,-1.5790339,-0.0135619
14,-1.3112054,-1.0791011,"('antisocial', 'social')",-0.48220554,-0.3514053,-0.8967054,-0.7152532,-0.1814522
1,-1.2956359,-1.4792404,"('unfriendly', 'friendly')",1.093103,1.1513773,-0.1012664,-0.1639315,0.0626651
