,legg_male,legg_female,tuple,mason_male,mason_female,inc_male,inc_female,average_male,average_female,male-female
48,-2.2662208,-2.2716973,"('unintelligent', 'intelligent')",0.26105344,0.23204853,0.676125,0.6676744,-0.4430141,-0.4573248,0.0143107
0,-1.9328462,-1.9855101,"('unsociable', 'sociable')",0.5157232,0.30080482,-0.48435012,-0.459175,-0.6338243,-0.7146268,0.0808025
57,-1.8973615,-1.9639075,"('unimaginative', 'imaginative')",-0.5165433,-0.7099608,-2.5434666,-2.522906,-1.6524572,-1.7322582,0.079801
86,-1.862661,-1.8713652,"('uninfluential', 'influential')",-0.14644426,-0.2854449,-0.35687757,-0.4042714,-0.7886609,-0.8536938,0.0650329
73,1.846884,1.8352412,"('helpless', 'self-reliant')",0.5441353,0.5436394,-2.7944808,-2.8043323,-0.1344872,-0.1418173,0.0073301
10,-1.838184,-1.8622942,"('unsympathetic', 'sympathetic')",0.5978819,0.45103845,0.3663078,0.48628882,-0.2913314,-0.3083223,0.0169909
23,-1.7291588,-1.814487,"('insincere', 'sincere')",1.2753584,1.0876285,5.8890967,5.825704,1.8117655,1.6996152,0.1121503
1,-1.6857152,-1.5784385,"('unfriendly', 'friendly')",-0.6647824,-0.60121465,1.3567185,1.2952818,-0.3312597,-0.2947905,-0.0364692
41,-1.4161935,-1.3699898,"('unforgiving', 'forgiving')",0.32348025,0.3014181,-0.29747617,-0.2935741,-0.4633965,-0.4540486,-0.0093479
11,-1.2968988,-1.412256,"('unhelpful', 'helpful')",0.9384542,0.7028375,2.3671608,2.3540452,0.669572,0.5482089,0.1213631
72,-1.2717751,-1.2647111,"('unambitious', 'ambitious')",-0.023536462,0.07121472,-1.0364124,-0.90180963,-0.7772413,-0.6984354,-0.0788059
28,-1.2640014,-1.1657232,"('disloyal', 'loyal')",0.7110386,0.69135684,0.7071465,0.72934735,0.0513946,0.0849937,-0.0335991
8,-1.2510014,-1.09049,"('unaffectionate', 'affectionate')",-0.6924867,-0.63031524,0.42365322,0.48295695,-0.5066116,-0.4126161,-0.0939955
53,-1.1703243,-1.1378675,"('uncreative', 'creative')",-0.08525007,-0.13965942,0.8095223,0.77178186,-0.148684,-0.1685817,0.0198977
32,-1.1661997,-1.0758966,"('unkind', 'kind')",0.1381447,0.27553472,0.9258276,1.0762397,-0.0340758,0.0919593,-0.1260351
9,-1.1552324,-1.033202,"('unaffectionate', 'caring')",0.7460217,0.7888856,1.0959456,1.1270432,0.2289116,0.2942423,-0.0653307
27,-1.1491389,-1.1393602,"('hardhearted', 'softhearted')",-0.025317233,-0.10744094,1.2985121,1.3254845,0.041352,0.0262278,0.0151242
26,-1.112834,-0.9829417,"('hardhearted', 'benevolent')",-0.19294997,-0.13943604,1.139404,1.1308203,-0.05546,0.0028142,-0.0582742
49,-1.0657096,-0.95295644,"('unable', 'able')",-0.8059823,-0.79891026,-0.20384896,-0.052994072,-0.691847,-0.6016203,-0.0902267
35,1.0438446,1.2405064,"('corrupt', 'incorrupt')",-0.4456947,-0.20929492,-0.85223526,-0.7876413,-0.0846951,0.0811901,-0.1658852
46,-1.0382532,-1.0690207,"('uncompetitive', 'competitive')",-0.09388493,-0.2696954,0.11886207,0.07952129,-0.3377587,-0.4197316,0.0819729
