,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,male-female
26,2.2079685,1.9160355,"('hardhearted', 'benevolent')",1.5624061,1.535593,1.8851873,1.7258143,0.159373
71,1.8256285,2.0496929,"('diffident', 'self-confident')",1.2287402,1.3719321,1.5271844,1.7108126,-0.1836282
85,1.7212498,2.0655367,"('insignificant', 'prestigious')",-0.37857792,-0.3417798,0.6713359,0.8618785,-0.1905426
34,1.6441324,1.5675981,"('mean', 'honorable')",5.2100563,5.4318123,3.4270945,3.4997053,-0.0726108
15,1.6020212,1.3880316,"('boring', 'funny')",0.23226951,0.06628765,0.9171454,0.7271596,0.1899858
9,1.5742997,1.0881732,"('unaffectionate', 'caring')",2.0998907,1.6812828,1.8370953,1.384728,0.4523673
2,1.4397845,1.9084039,"('unlikable', 'likable')",0.37698045,0.45193622,0.9083825,1.1801701,-0.2717876
27,1.3092192,0.75927657,"('hardhearted', 'softhearted')",1.1734946,0.80708206,1.2413568,0.7831793,0.4581775
12,1.3058968,1.4147758,"('unsupportive', 'supportive')",-1.1262434,-1.0731676,0.0898267,0.1708041,-0.0809774
68,-1.2330955,-1.190001,"('dependent', 'independent')",-1.4652069,-1.3552288,-1.3491511,-1.272615,-0.0765361
23,1.2134621,1.3359351,"('insincere', 'sincere')",7.036097,7.425139,4.1247797,4.380537,-0.2557573
61,1.1654099,0.9097731,"('illogical', 'logical')",0.30652347,0.4094969,0.7359667,0.659635,0.0763317
66,1.1351947,0.8486334,"('inactive', 'active')",0.5449887,0.44614223,0.8400917,0.6473878,0.1927039
86,-1.1206617,-1.3963021,"('uninfluential', 'influential')",0.07385371,0.14909273,-0.523404,-0.6236047,0.1002007
44,-1.1066914,-0.6473035,"('prejudiced', 'unprejudiced')",-1.2009704,-1.0550678,-1.1538309,-0.8511857,-0.3026452
30,1.1066561,1.4531498,"('intolerant', 'tolerant')",1.1086913,1.518563,1.1076736,1.4858564,-0.3781828
73,1.0974106,1.0573472,"('helpless', 'self-reliant')",-3.2139046,-3.6132305,-1.0582471,-1.2779417,0.2196946
